split,label,image_id,relative_path,absolute_path,file_size_bytes,width,height,aspect_ratio,sha1
train,Abnormal,00000004,train/Abnormal/00000004.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000004.png,729914,720,576,1.25,
train,Abnormal,00000043,train/Abnormal/00000043.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000043.png,520218,720,576,1.25,
train,Abnormal,00000078,train/Abnormal/00000078.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000078.png,119276,352,288,1.222222,
train,Abnormal,00000079,train/Abnormal/00000079.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000079.png,99081,352,288,1.222222,
train,Abnormal,00000082,train/Abnormal/00000082.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000082.png,130739,352,288,1.222222,
train,Abnormal,00000085,train/Abnormal/00000085.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000085.png,97969,352,288,1.222222,
train,Abnormal,00000086,train/Abnormal/00000086.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000086.png,129679,352,288,1.222222,
train,Abnormal,00000087,train/Abnormal/00000087.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000087.png,121634,352,288,1.222222,
train,Abnormal,00000088,train/Abnormal/00000088.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000088.png,97858,352,288,1.222222,
train,Abnormal,00000089,train/Abnormal/00000089.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000089.png,105462,352,288,1.222222,
train,Abnormal,00000090,train/Abnormal/00000090.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000090.png,97760,352,288,1.222222,
train,Abnormal,00000091,train/Abnormal/00000091.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000091.png,138318,352,288,1.222222,
train,Abnormal,00000101,train/Abnormal/00000101.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000101.png,592930,720,576,1.25,
train,Abnormal,00000144,train/Abnormal/00000144.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000144.png,657444,720,576,1.25,
train,Abnormal,00000153,train/Abnormal/00000153.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000153.png,480919,720,576,1.25,
train,Abnormal,00000266,train/Abnormal/00000266.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000266.png,173280,352,288,1.222222,
train,Abnormal,00000301,train/Abnormal/00000301.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000301.png,178683,352,288,1.222222,
train,Abnormal,00000305,train/Abnormal/00000305.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000305.png,165324,352,288,1.222222,
train,Abnormal,00000321,train/Abnormal/00000321.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000321.png,148176,352,288,1.222222,
train,Abnormal,00000322,train/Abnormal/00000322.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000322.png,146661,352,288,1.222222,
train,Abnormal,00000353,train/Abnormal/00000353.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000353.png,134158,352,288,1.222222,
train,Abnormal,00000357,train/Abnormal/00000357.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000357.png,146648,352,288,1.222222,
train,Abnormal,00000360,train/Abnormal/00000360.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000360.png,134355,352,288,1.222222,
train,Abnormal,00000368,train/Abnormal/00000368.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000368.png,213750,352,288,1.222222,
train,Abnormal,00000409,train/Abnormal/00000409.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000409.png,92050,352,288,1.222222,
train,Abnormal,00000416,train/Abnormal/00000416.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000416.png,108795,352,288,1.222222,
train,Abnormal,00000477,train/Abnormal/00000477.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11l_gate2_hn02\train\Abnormal\00000477.png,184588,352,288,1.222222,
