epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,0.40798,0.49424,0.85417,1.0,0.00331715210355987,0.00331715210355987,0.00331715210355987,75.29339361190796,75.29339361190796,32,1,32,17.320378368,17.320378368,12.145586688,0.92708,0.92708,1,0,0,1
2,0.36845,0.46401,0.8625,1.0,0.006617565533980583,0.006617565533980583,0.006617565533980583,71.99841403961182,147.29280757904053,32,2,64,16.720592896,16.720592896,12.131588608,0.93125,0.93125,2,0,0,1
3,0.38852,0.47699,0.85278,1.0,0.009884978964401296,0.009884978964401296,0.009884978964401296,70.8202862739563,218.11209392547607,32,2,64,16.747855872,16.747855872,12.132964864,0.92639,0.93125,2,0,0,0
4,0.38182,0.45858,0.85833,1.0,0.0098515,0.0098515,0.0098515,71.73415946960449,289.84625339508057,32,2,64,16.74575872,16.74575872,12.134144512,0.92917,0.93125,2,0,0,0
5,0.37151,0.46574,0.85694,1.0,0.009802,0.009802,0.009802,72.32129001617432,362.1675434112549,32,2,64,16.74575872,16.74575872,12.132571648,0.92847,0.93125,2,0,0,0
6,0.35687,0.46472,0.87778,1.0,0.009752499999999999,0.009752499999999999,0.009752499999999999,71.75124073028564,433.9197897911072,32,2,64,16.752050176,16.752050176,12.132964864,0.93889,0.93889,6,0,0,1
7,0.34241,0.46476,0.85833,1.0,0.009703,0.009703,0.009703,71.04859209060669,504.96837735176086,32,2,64,16.74575872,16.74575872,12.133161472,0.92917,0.93889,6,0,0,0
8,0.32664,0.46665,0.85139,1.0,0.009653499999999999,0.009653499999999999,0.009653499999999999,71.16840100288391,576.1367764472961,32,2,64,16.743661568,16.743661568,12.134078976,0.92569,0.93889,6,0,0,0
9,0.3126,0.42751,0.89028,1.0,0.009604,0.009604,0.009604,71.1247398853302,647.2605171203613,32,2,64,16.749953024,16.749953024,12.133882368,0.94514,0.94514,9,0,0,1
10,0.30182,0.4846,0.86806,1.0,0.009554499999999999,0.009554499999999999,0.009554499999999999,71.14489912986755,718.406415939331,32,2,64,16.747855872,16.747855872,12.132964864,0.93403,0.94514,9,0,0,0
11,0.30159,0.44039,0.87778,1.0,0.009505,0.009505,0.009505,71.05896472930908,789.464380979538,32,2,64,16.74575872,16.74575872,12.134144512,0.93889,0.94514,9,0,0,0
12,0.29476,0.43791,0.88889,1.0,0.0094555,0.0094555,0.0094555,71.80936121940613,861.2752261161804,32,2,64,16.74575872,16.74575872,12.132571648,0.94444,0.94514,9,0,0,0
13,0.28012,0.41984,0.90694,1.0,0.009406,0.009406,0.009406,71.43502449989319,932.7087666988373,32,2,64,16.752050176,16.752050176,12.132964864,0.95347,0.95347,13,0,0,1
14,0.28209,0.43433,0.89722,1.0,0.009356500000000002,0.009356500000000002,0.009356500000000002,70.93517589569092,1003.6439425945282,32,2,64,16.74575872,16.74575872,12.133161472,0.94861,0.95347,13,0,0,0
15,0.26972,0.41652,0.90833,1.0,0.009307,0.009307,0.009307,71.13880515098572,1074.782747745514,32,2,64,16.743661568,16.743661568,12.134078976,0.95417,0.95417,15,0,0,1
16,0.26584,0.42157,0.91528,1.0,0.0092575,0.0092575,0.0092575,71.02718901634216,1145.8114233016968,32,2,64,16.749953024,16.749953024,12.133882368,0.95764,0.95764,16,0,0,1
17,0.26559,0.44684,0.88333,1.0,0.009208000000000001,0.009208000000000001,0.009208000000000001,71.63566493988037,1217.4466021060944,32,2,64,16.747855872,16.747855872,12.132964864,0.94167,0.95764,16,0,0,0
18,0.25922,0.41329,0.90556,1.0,0.0091585,0.0091585,0.0091585,71.39111590385437,1288.8377883434296,32,2,64,16.74575872,16.74575872,12.134144512,0.95278,0.95764,16,0,0,0
19,0.24968,0.43713,0.88472,1.0,0.009109,0.009109,0.009109,71.01201581954956,1359.8497366905212,32,2,64,16.74575872,16.74575872,12.132571648,0.94236,0.95764,16,0,0,0
20,0.25379,0.43494,0.90139,1.0,0.0090595,0.0090595,0.0090595,71.06291317939758,1430.911646604538,32,2,64,16.752050176,16.752050176,12.132964864,0.95069,0.95764,16,0,0,0
21,0.24089,0.40759,0.91528,1.0,0.00901,0.00901,0.00901,71.04281377792358,1501.9554605484009,32,2,64,16.74575872,16.74575872,12.133161472,0.95764,0.95764,21,0,0,1
22,0.23897,0.43016,0.89444,1.0,0.0089605,0.0089605,0.0089605,71.27731728553772,1573.2317776679993,32,2,64,16.743661568,16.743661568,12.134078976,0.94722,0.95764,21,0,0,0
23,0.23447,0.41715,0.89861,1.0,0.008911,0.008911,0.008911,71.1356897354126,1644.3685553073883,32,2,64,16.749953024,16.749953024,12.133882368,0.94931,0.95764,21,0,0,0
24,0.22192,0.40509,0.92778,1.0,0.0088615,0.0088615,0.0088615,71.24642992019653,1715.6149015426636,32,2,64,16.747855872,16.747855872,12.132964864,0.96389,0.96389,24,0,0,1
25,0.22469,0.42167,0.88611,1.0,0.008812,0.008812,0.008812,71.16352915763855,1786.777426481247,32,2,64,16.74575872,16.74575872,12.134144512,0.94306,0.96389,24,0,0,0
26,0.22399,0.42173,0.90833,1.0,0.0087625,0.0087625,0.0087625,71.0806155204773,1857.8580420017242,32,2,64,16.74575872,16.74575872,12.132571648,0.95417,0.96389,24,0,0,0
27,0.21764,0.42051,0.89028,1.0,0.008713,0.008713,0.008713,71.43772578239441,1929.2967672348022,32,2,64,16.752050176,16.752050176,12.132964864,0.94514,0.96389,24,0,0,0
28,0.21712,0.40143,0.92639,1.0,0.0086635,0.0086635,0.0086635,71.21049976348877,2000.5062675476074,32,2,64,16.74575872,16.74575872,12.133161472,0.96319,0.96389,24,0,0,0
29,0.20484,0.40656,0.90833,1.0,0.008614,0.008614,0.008614,70.96427726745605,2071.4715485572815,32,2,64,16.743661568,16.743661568,12.134078976,0.95417,0.96389,24,0,0,0
30,0.19422,0.41152,0.90833,1.0,0.0085645,0.0085645,0.0085645,71.04369831085205,2142.5152463912964,32,2,64,16.749953024,16.749953024,12.133882368,0.95417,0.96389,24,0,0,0
31,0.20431,0.40275,0.90694,1.0,0.008515,0.008515,0.008515,71.05920314788818,2213.5734462738037,32,2,64,16.747855872,16.747855872,12.132964864,0.95347,0.96389,24,0,0,0
32,0.1928,0.40696,0.90833,1.0,0.0084655,0.0084655,0.0084655,71.70924282073975,2285.2836883068085,32,2,64,16.74575872,16.74575872,12.134144512,0.95417,0.96389,24,0,0,0
33,0.19209,0.41457,0.90417,1.0,0.008416,0.008416,0.008416,71.2956714630127,2356.578360557556,32,2,64,16.74575872,16.74575872,12.132571648,0.95208,0.96389,24,0,0,0
34,0.19525,0.40066,0.90972,1.0,0.0083665,0.0083665,0.0083665,71.17908310890198,2427.757443666458,32,2,64,16.752050176,16.752050176,12.132964864,0.95486,0.96389,24,0,0,0
35,0.19482,0.41052,0.9,1.0,0.008317,0.008317,0.008317,70.96000742912292,2498.718455553055,32,2,64,16.74575872,16.74575872,12.133161472,0.95,0.96389,24,0,0,0
36,0.17393,0.41138,0.9125,1.0,0.0082675,0.0082675,0.0082675,70.96573615074158,2569.684180021286,32,2,64,16.743661568,16.743661568,12.134078976,0.95625,0.96389,24,0,0,0
37,0.17459,0.40436,0.9125,1.0,0.008218000000000001,0.008218000000000001,0.008218000000000001,71.60444331169128,2641.287630558014,32,2,64,16.749953024,16.749953024,12.133882368,0.95625,0.96389,24,0,0,0
38,0.16622,0.3974,0.91667,1.0,0.0081685,0.0081685,0.0081685,71.23315334320068,2712.5207839012146,32,2,64,16.747855872,16.747855872,12.132964864,0.95833,0.96389,24,0,0,0
39,0.17239,0.40304,0.90556,1.0,0.008119000000000001,0.008119000000000001,0.008119000000000001,71.20674204826355,2783.729018688202,32,2,64,16.74575872,16.74575872,12.134144512,0.95278,0.96389,24,0,0,0
40,0.16887,0.4021,0.91111,1.0,0.0080695,0.0080695,0.0080695,70.82694721221924,2854.5556120872498,32,2,64,16.74575872,16.74575872,12.132571648,0.95556,0.96389,24,0,0,0
41,0.15894,0.39636,0.92222,1.0,0.008020000000000001,0.008020000000000001,0.008020000000000001,71.09630465507507,2925.6507778167725,32,2,64,16.752050176,16.752050176,12.132964864,0.96111,0.96389,24,0,0,0
42,0.17098,0.3952,0.91944,1.0,0.0079705,0.0079705,0.0079705,71.24331641197205,2996.8940942287445,32,2,64,16.74575872,16.74575872,12.133161472,0.95972,0.96389,24,0,0,0
43,0.16667,0.41069,0.90139,1.0,0.007921000000000001,0.007921000000000001,0.007921000000000001,71.20152831077576,3068.0966227054596,32,2,64,16.743661568,16.743661568,12.134078976,0.95069,0.96389,24,1,0,0
44,0.17011,0.40694,0.9125,1.0,0.0078715,0.0078715,0.0078715,71.1246280670166,3139.220250606537,32,2,64,16.749953024,16.749953024,12.133882368,0.95625,0.96389,24,1,1,0
