threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,600,0,102,18,1.0,0.854701,0.15,0.85,0.0,1.0,0.858333,0.921659,0.975,18,102,600,0
0.02,599,1,95,25,0.998333,0.863112,0.208333,0.791667,0.001667,0.961538,0.866667,0.925811,0.963889,25,95,599,1
0.03,599,1,90,30,0.998333,0.869376,0.25,0.75,0.001667,0.967742,0.873611,0.929403,0.956944,30,90,599,1
0.04,598,2,85,35,0.996667,0.875549,0.291667,0.708333,0.003333,0.945946,0.879167,0.93219,0.948611,35,85,598,2
0.05,598,2,83,37,0.996667,0.87812,0.308333,0.691667,0.003333,0.948718,0.881944,0.933646,0.945833,37,83,598,2
0.06,598,2,80,40,0.996667,0.882006,0.333333,0.666667,0.003333,0.952381,0.886111,0.935837,0.941667,40,80,598,2
0.07,598,2,80,40,0.996667,0.882006,0.333333,0.666667,0.003333,0.952381,0.886111,0.935837,0.941667,40,80,598,2
0.08,598,2,78,42,0.996667,0.884615,0.35,0.65,0.003333,0.954545,0.888889,0.937304,0.938889,42,78,598,2
0.09,598,2,73,47,0.996667,0.891207,0.391667,0.608333,0.003333,0.959184,0.895833,0.940991,0.931944,47,73,598,2
0.1,598,2,72,48,0.996667,0.892537,0.4,0.6,0.003333,0.96,0.897222,0.941732,0.930556,48,72,598,2
0.11,598,2,71,49,0.996667,0.893871,0.408333,0.591667,0.003333,0.960784,0.898611,0.942474,0.929167,49,71,598,2
0.12,597,3,68,52,0.995,0.897744,0.433333,0.566667,0.005,0.945455,0.901389,0.943874,0.923611,52,68,597,3
0.13,596,4,68,52,0.993333,0.89759,0.433333,0.566667,0.006667,0.928571,0.9,0.943038,0.922222,52,68,596,4
0.14,596,4,67,53,0.993333,0.898944,0.441667,0.558333,0.006667,0.929825,0.901389,0.943785,0.920833,53,67,596,4
0.15,596,4,64,56,0.993333,0.90303,0.466667,0.533333,0.006667,0.933333,0.905556,0.946032,0.916667,56,64,596,4
0.16,595,5,62,58,0.991667,0.905632,0.483333,0.516667,0.008333,0.920635,0.906944,0.946698,0.9125,58,62,595,5
0.17,595,5,60,60,0.991667,0.908397,0.5,0.5,0.008333,0.923077,0.909722,0.948207,0.909722,60,60,595,5
0.18,594,6,59,61,0.99,0.909648,0.508333,0.491667,0.01,0.910448,0.909722,0.948125,0.906944,61,59,594,6
0.19,594,6,59,61,0.99,0.909648,0.508333,0.491667,0.01,0.910448,0.909722,0.948125,0.906944,61,59,594,6
0.2,594,6,59,61,0.99,0.909648,0.508333,0.491667,0.01,0.910448,0.909722,0.948125,0.906944,61,59,594,6
0.21,594,6,58,62,0.99,0.911043,0.516667,0.483333,0.01,0.911765,0.911111,0.948882,0.905556,62,58,594,6
0.22,593,7,58,62,0.988333,0.910906,0.516667,0.483333,0.011667,0.898551,0.909722,0.948042,0.904167,62,58,593,7
0.23,593,7,57,63,0.988333,0.912308,0.525,0.475,0.011667,0.9,0.911111,0.9488,0.902778,63,57,593,7
0.24,593,7,57,63,0.988333,0.912308,0.525,0.475,0.011667,0.9,0.911111,0.9488,0.902778,63,57,593,7
0.25,592,8,56,64,0.986667,0.91358,0.533333,0.466667,0.013333,0.888889,0.911111,0.948718,0.9,64,56,592,8
0.26,592,8,56,64,0.986667,0.91358,0.533333,0.466667,0.013333,0.888889,0.911111,0.948718,0.9,64,56,592,8
0.27,591,9,56,64,0.985,0.913447,0.533333,0.466667,0.015,0.876712,0.909722,0.947875,0.898611,64,56,591,9
0.28,589,11,56,64,0.981667,0.913178,0.533333,0.466667,0.018333,0.853333,0.906944,0.946185,0.895833,64,56,589,11
0.29,589,11,55,65,0.981667,0.914596,0.541667,0.458333,0.018333,0.855263,0.908333,0.946945,0.894444,65,55,589,11
0.3,589,11,53,67,0.981667,0.917445,0.558333,0.441667,0.018333,0.858974,0.911111,0.94847,0.891667,67,53,589,11
0.31,588,12,52,68,0.98,0.91875,0.566667,0.433333,0.02,0.85,0.911111,0.948387,0.888889,68,52,588,12
0.32,587,13,51,69,0.978333,0.920063,0.575,0.425,0.021667,0.841463,0.911111,0.948304,0.886111,69,51,587,13
0.33,587,13,51,69,0.978333,0.920063,0.575,0.425,0.021667,0.841463,0.911111,0.948304,0.886111,69,51,587,13
0.34,587,13,50,70,0.978333,0.921507,0.583333,0.416667,0.021667,0.843373,0.9125,0.94907,0.884722,70,50,587,13
0.35,587,13,50,70,0.978333,0.921507,0.583333,0.416667,0.021667,0.843373,0.9125,0.94907,0.884722,70,50,587,13
0.36,587,13,50,70,0.978333,0.921507,0.583333,0.416667,0.021667,0.843373,0.9125,0.94907,0.884722,70,50,587,13
0.37,586,14,50,70,0.976667,0.921384,0.583333,0.416667,0.023333,0.833333,0.911111,0.94822,0.883333,70,50,586,14
0.38,586,14,50,70,0.976667,0.921384,0.583333,0.416667,0.023333,0.833333,0.911111,0.94822,0.883333,70,50,586,14
0.39,586,14,48,72,0.976667,0.92429,0.6,0.4,0.023333,0.837209,0.913889,0.949757,0.880556,72,48,586,14
0.4,586,14,47,73,0.976667,0.92575,0.608333,0.391667,0.023333,0.83908,0.915278,0.950527,0.879167,73,47,586,14
0.41,586,14,46,74,0.976667,0.927215,0.616667,0.383333,0.023333,0.840909,0.916667,0.951299,0.877778,74,46,586,14
0.42,586,14,45,75,0.976667,0.928685,0.625,0.375,0.023333,0.842697,0.918056,0.952071,0.876389,75,45,586,14
0.43,586,14,45,75,0.976667,0.928685,0.625,0.375,0.023333,0.842697,0.918056,0.952071,0.876389,75,45,586,14
0.44,585,15,45,75,0.975,0.928571,0.625,0.375,0.025,0.833333,0.916667,0.95122,0.875,75,45,585,15
0.45,584,16,44,76,0.973333,0.929936,0.633333,0.366667,0.026667,0.826087,0.916667,0.95114,0.872222,76,44,584,16
0.46,584,16,44,76,0.973333,0.929936,0.633333,0.366667,0.026667,0.826087,0.916667,0.95114,0.872222,76,44,584,16
0.47,584,16,44,76,0.973333,0.929936,0.633333,0.366667,0.026667,0.826087,0.916667,0.95114,0.872222,76,44,584,16
0.48,584,16,43,77,0.973333,0.931419,0.641667,0.358333,0.026667,0.827957,0.918056,0.951915,0.870833,77,43,584,16
0.49,584,16,41,79,0.973333,0.9344,0.658333,0.341667,0.026667,0.831579,0.920833,0.953469,0.868056,79,41,584,16
0.5,583,17,41,79,0.971667,0.934295,0.658333,0.341667,0.028333,0.822917,0.919444,0.952614,0.866667,79,41,583,17
0.51,583,17,41,79,0.971667,0.934295,0.658333,0.341667,0.028333,0.822917,0.919444,0.952614,0.866667,79,41,583,17
0.52,583,17,41,79,0.971667,0.934295,0.658333,0.341667,0.028333,0.822917,0.919444,0.952614,0.866667,79,41,583,17
0.53,582,18,41,79,0.97,0.934189,0.658333,0.341667,0.03,0.814433,0.918056,0.951758,0.865278,79,41,582,18
0.54,582,18,38,82,0.97,0.93871,0.683333,0.316667,0.03,0.82,0.922222,0.954098,0.861111,82,38,582,18
0.55,582,18,38,82,0.97,0.93871,0.683333,0.316667,0.03,0.82,0.922222,0.954098,0.861111,82,38,582,18
0.56,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
