threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
1.0,0.0,0.0,0.0,0,600,0,120
0.999999,1.0,0.001667,0.003328,1,599,0,120
0.999994,1.0,0.005,0.00995,3,597,0,120
0.999992,1.0,0.005,0.00995,3,597,0,120
0.999988,1.0,0.006667,0.013245,4,596,0,120
0.999987,1.0,0.01,0.019802,6,594,0,120
0.999984,1.0,0.01,0.019802,6,594,0,120
0.999982,1.0,0.013333,0.026316,8,592,0,120
0.999977,1.0,0.015,0.029557,9,591,0,120
0.999969,1.0,0.016667,0.032787,10,590,0,120
0.999969,1.0,0.018333,0.036007,11,589,0,120
0.999968,1.0,0.018333,0.036007,11,589,0,120
0.999966,1.0,0.02,0.039216,12,588,0,120
0.999966,1.0,0.021667,0.042414,13,587,0,120
0.999961,1.0,0.025,0.04878,15,585,0,120
0.999961,1.0,0.025,0.04878,15,585,0,120
0.999956,1.0,0.028333,0.055105,17,583,0,120
0.999956,1.0,0.028333,0.055105,17,583,0,120
0.999947,1.0,0.03,0.058252,18,582,0,120
0.999942,1.0,0.031667,0.061389,19,581,0,120
0.99993,1.0,0.035,0.067633,21,579,0,120
0.999929,1.0,0.036667,0.07074,22,578,0,120
0.999917,1.0,0.038333,0.073836,23,577,0,120
0.999915,1.0,0.038333,0.073836,23,577,0,120
0.999914,1.0,0.04,0.076923,24,576,0,120
0.999913,1.0,0.043333,0.083067,26,574,0,120
0.999909,1.0,0.045,0.086124,27,573,0,120
0.999886,1.0,0.045,0.086124,27,573,0,120
0.999885,1.0,0.046667,0.089172,28,572,0,120
0.999866,1.0,0.048333,0.09221,29,571,0,120
0.999854,1.0,0.05,0.095238,30,570,0,120
0.999853,1.0,0.053333,0.101266,32,568,0,120
0.999853,1.0,0.055,0.104265,33,567,0,120
0.999852,1.0,0.056667,0.107256,34,566,0,120
0.999851,1.0,0.056667,0.107256,34,566,0,120
0.999848,1.0,0.06,0.113208,36,564,0,120
0.999835,1.0,0.061667,0.11617,37,563,0,120
0.999812,1.0,0.061667,0.11617,37,563,0,120
0.999803,1.0,0.063333,0.119122,38,562,0,120
0.999793,1.0,0.066667,0.125,40,560,0,120
0.999785,1.0,0.066667,0.125,40,560,0,120
0.99972,1.0,0.068333,0.127925,41,559,0,120
0.999698,1.0,0.071667,0.133748,43,557,0,120
0.999695,1.0,0.073333,0.136646,44,556,0,120
0.999675,1.0,0.073333,0.136646,44,556,0,120
0.999673,1.0,0.076667,0.142415,46,554,0,120
0.99967,1.0,0.078333,0.145286,47,553,0,120
0.999648,1.0,0.078333,0.145286,47,553,0,120
0.999638,1.0,0.08,0.148148,48,552,0,120
0.999602,1.0,0.081667,0.151002,49,551,0,120
0.9996,1.0,0.085,0.156682,51,549,0,120
0.99959,1.0,0.085,0.156682,51,549,0,120
0.999588,1.0,0.086667,0.159509,52,548,0,120
0.999585,1.0,0.09,0.165138,54,546,0,120
0.999581,1.0,0.091667,0.167939,55,545,0,120
0.999573,1.0,0.093333,0.170732,56,544,0,120
0.999556,1.0,0.095,0.173516,57,543,0,120
0.99954,1.0,0.096667,0.176292,58,542,0,120
0.999531,1.0,0.096667,0.176292,58,542,0,120
0.999525,1.0,0.1,0.181818,60,540,0,120
0.999519,1.0,0.1,0.181818,60,540,0,120
0.999516,1.0,0.103333,0.187311,62,538,0,120
0.999506,1.0,0.103333,0.187311,62,538,0,120
0.999494,1.0,0.106667,0.192771,64,536,0,120
0.999486,1.0,0.108333,0.195489,65,535,0,120
0.999477,1.0,0.11,0.198198,66,534,0,120
0.999468,1.0,0.11,0.198198,66,534,0,120
0.999462,1.0,0.113333,0.203593,68,532,0,120
0.999459,1.0,0.115,0.206278,69,531,0,120
0.999442,1.0,0.115,0.206278,69,531,0,120
0.999349,1.0,0.118333,0.211624,71,529,0,120
0.999333,1.0,0.118333,0.211624,71,529,0,120
0.999304,1.0,0.12,0.214286,72,528,0,120
0.999283,1.0,0.123333,0.219585,74,526,0,120
