threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.0,0.0,0.0,1.0,0,600,0,120
0.999999,0.001667,0.001667,0.0,1.0,1,599,0,120
0.999994,0.005,0.005,0.0,1.0,3,597,0,120
0.999992,0.005,0.005,0.0,1.0,3,597,0,120
0.999988,0.006667,0.006667,0.0,1.0,4,596,0,120
0.999987,0.01,0.01,0.0,1.0,6,594,0,120
0.999984,0.01,0.01,0.0,1.0,6,594,0,120
0.999982,0.013333,0.013333,0.0,1.0,8,592,0,120
0.999977,0.015,0.015,0.0,1.0,9,591,0,120
0.999969,0.016667,0.016667,0.0,1.0,10,590,0,120
0.999969,0.018333,0.018333,0.0,1.0,11,589,0,120
0.999968,0.018333,0.018333,0.0,1.0,11,589,0,120
0.999966,0.02,0.02,0.0,1.0,12,588,0,120
0.999966,0.021667,0.021667,0.0,1.0,13,587,0,120
0.999961,0.025,0.025,0.0,1.0,15,585,0,120
0.999961,0.025,0.025,0.0,1.0,15,585,0,120
0.999956,0.028333,0.028333,0.0,1.0,17,583,0,120
0.999956,0.028333,0.028333,0.0,1.0,17,583,0,120
0.999947,0.03,0.03,0.0,1.0,18,582,0,120
0.999942,0.031667,0.031667,0.0,1.0,19,581,0,120
0.99993,0.035,0.035,0.0,1.0,21,579,0,120
0.999929,0.036667,0.036667,0.0,1.0,22,578,0,120
0.999917,0.038333,0.038333,0.0,1.0,23,577,0,120
0.999915,0.038333,0.038333,0.0,1.0,23,577,0,120
0.999914,0.04,0.04,0.0,1.0,24,576,0,120
0.999913,0.043333,0.043333,0.0,1.0,26,574,0,120
0.999909,0.045,0.045,0.0,1.0,27,573,0,120
0.999886,0.045,0.045,0.0,1.0,27,573,0,120
0.999885,0.046667,0.046667,0.0,1.0,28,572,0,120
0.999866,0.048333,0.048333,0.0,1.0,29,571,0,120
0.999854,0.05,0.05,0.0,1.0,30,570,0,120
0.999853,0.053333,0.053333,0.0,1.0,32,568,0,120
0.999853,0.055,0.055,0.0,1.0,33,567,0,120
0.999852,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999851,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999848,0.06,0.06,0.0,1.0,36,564,0,120
0.999835,0.061667,0.061667,0.0,1.0,37,563,0,120
0.999812,0.061667,0.061667,0.0,1.0,37,563,0,120
0.999803,0.063333,0.063333,0.0,1.0,38,562,0,120
0.999793,0.066667,0.066667,0.0,1.0,40,560,0,120
0.999785,0.066667,0.066667,0.0,1.0,40,560,0,120
0.99972,0.068333,0.068333,0.0,1.0,41,559,0,120
0.999698,0.071667,0.071667,0.0,1.0,43,557,0,120
0.999695,0.073333,0.073333,0.0,1.0,44,556,0,120
0.999675,0.073333,0.073333,0.0,1.0,44,556,0,120
0.999673,0.076667,0.076667,0.0,1.0,46,554,0,120
0.99967,0.078333,0.078333,0.0,1.0,47,553,0,120
0.999648,0.078333,0.078333,0.0,1.0,47,553,0,120
0.999638,0.08,0.08,0.0,1.0,48,552,0,120
0.999602,0.081667,0.081667,0.0,1.0,49,551,0,120
0.9996,0.085,0.085,0.0,1.0,51,549,0,120
0.99959,0.085,0.085,0.0,1.0,51,549,0,120
0.999588,0.086667,0.086667,0.0,1.0,52,548,0,120
0.999585,0.09,0.09,0.0,1.0,54,546,0,120
0.999581,0.091667,0.091667,0.0,1.0,55,545,0,120
0.999573,0.093333,0.093333,0.0,1.0,56,544,0,120
0.999556,0.095,0.095,0.0,1.0,57,543,0,120
0.99954,0.096667,0.096667,0.0,1.0,58,542,0,120
0.999531,0.096667,0.096667,0.0,1.0,58,542,0,120
0.999525,0.1,0.1,0.0,1.0,60,540,0,120
0.999519,0.1,0.1,0.0,1.0,60,540,0,120
0.999516,0.103333,0.103333,0.0,1.0,62,538,0,120
0.999506,0.103333,0.103333,0.0,1.0,62,538,0,120
0.999494,0.106667,0.106667,0.0,1.0,64,536,0,120
0.999486,0.108333,0.108333,0.0,1.0,65,535,0,120
0.999477,0.11,0.11,0.0,1.0,66,534,0,120
0.999468,0.11,0.11,0.0,1.0,66,534,0,120
0.999462,0.113333,0.113333,0.0,1.0,68,532,0,120
0.999459,0.115,0.115,0.0,1.0,69,531,0,120
0.999442,0.115,0.115,0.0,1.0,69,531,0,120
0.999349,0.118333,0.118333,0.0,1.0,71,529,0,120
0.999333,0.118333,0.118333,0.0,1.0,71,529,0,120
0.999304,0.12,0.12,0.0,1.0,72,528,0,120
0.999283,0.123333,0.123333,0.0,1.0,74,526,0,120
0.999277,0.125,0.125,0.0,1.0,75,525,0,120
0.999236,0.126667,0.126667,0.0,1.0,76,524,0,120
0.999231,0.126667,0.126667,0.0,1.0,76,524,0,120
0.999201,0.128333,0.128333,0.0,1.0,77,523,0,120
