                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41961,                  0.875,                      1,                0.47795,              0.0033173,              0.0033173,              0.0033173
                      2,                  0.376,                   0.85,                      1,                 0.4672,              0.0066177,              0.0066177,              0.0066177
                      3,                0.39569,                0.85833,                      1,                0.48214,              0.0098851,              0.0098851,              0.0098851
                      4,                0.40585,                0.86389,                      1,                0.45835,              0.0098515,              0.0098515,              0.0098515
                      5,                0.38697,                0.87778,                      1,                0.48494,               0.009802,               0.009802,               0.009802
                      6,                0.36588,                0.87778,                      1,                 0.4814,              0.0097525,              0.0097525,              0.0097525
                      7,                0.35346,                 0.8625,                      1,                0.47251,               0.009703,               0.009703,               0.009703
                      8,                0.34326,                  0.875,                      1,                0.44828,              0.0096535,              0.0096535,              0.0096535
                      9,                0.32519,                0.86667,                      1,                0.45467,               0.009604,               0.009604,               0.009604
                     10,                0.32315,                0.88056,                      1,                0.44609,              0.0095545,              0.0095545,              0.0095545
                     11,                  0.308,                0.89167,                      1,                0.44214,               0.009505,               0.009505,               0.009505
                     12,                0.30376,                0.88889,                      1,                0.44735,              0.0094555,              0.0094555,              0.0094555
                     13,                0.29892,                0.89722,                      1,                0.44574,               0.009406,               0.009406,               0.009406
                     14,                0.28754,                0.81806,                      1,                0.51135,              0.0093565,              0.0093565,              0.0093565
                     15,                0.28196,                0.91528,                      1,                0.40804,               0.009307,               0.009307,               0.009307
                     16,                0.28473,                0.90278,                      1,                0.42798,              0.0092575,              0.0092575,              0.0092575
                     17,                0.28095,                0.89444,                      1,                0.42556,               0.009208,               0.009208,               0.009208
                     18,                0.27639,                 0.9125,                      1,                0.40957,              0.0091585,              0.0091585,              0.0091585
                     19,                0.26208,                0.90278,                      1,                0.41166,               0.009109,               0.009109,               0.009109
                     20,                0.25001,                0.91389,                      1,                0.41014,              0.0090595,              0.0090595,              0.0090595
                     21,                0.24699,                0.90972,                      1,                0.41522,                0.00901,                0.00901,                0.00901
                     22,                0.25433,                0.90556,                      1,                0.41726,              0.0089605,              0.0089605,              0.0089605
                     23,                0.24512,                0.87917,                      1,                0.43311,               0.008911,               0.008911,               0.008911
                     24,                0.24129,                0.89722,                      1,                0.43127,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.2344,                0.90417,                      1,                 0.4164,               0.008812,               0.008812,               0.008812
                     26,                0.22251,                0.89306,                      1,                0.41673,              0.0087625,              0.0087625,              0.0087625
                     27,                0.22951,                0.89444,                      1,                0.42462,               0.008713,               0.008713,               0.008713
                     28,                0.21476,                0.89722,                      1,                0.40776,              0.0086635,              0.0086635,              0.0086635
                     29,                0.21733,                0.86111,                      1,                0.45058,               0.008614,               0.008614,               0.008614
                     30,                0.21846,                0.90556,                      1,                0.41866,              0.0085645,              0.0085645,              0.0085645
                     31,                0.21305,                0.90417,                      1,                0.40448,               0.008515,               0.008515,               0.008515
                     32,                0.19426,                0.89583,                      1,                0.40946,              0.0084655,              0.0084655,              0.0084655
                     33,                0.20283,                 0.9125,                      1,                0.40973,               0.008416,               0.008416,               0.008416
                     34,                0.19287,                0.90139,                      1,                0.40599,              0.0083665,              0.0083665,              0.0083665
                     35,                0.18746,                0.88194,                      1,                0.42863,               0.008317,               0.008317,               0.008317
