variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.01,420,0,78,6,1.0,0.843373,0.071429,0.928571,0.0,1.0,0.845238,0.915033,0.988095,6,78,420,0
P0,calibrated p_abnormal,0.02,420,0,78,6,1.0,0.843373,0.071429,0.928571,0.0,1.0,0.845238,0.915033,0.988095,6,78,420,0
P0,calibrated p_abnormal,0.03,420,0,78,6,1.0,0.843373,0.071429,0.928571,0.0,1.0,0.845238,0.915033,0.988095,6,78,420,0
P0,calibrated p_abnormal,0.04,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.05,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.06,420,0,69,15,1.0,0.858896,0.178571,0.821429,0.0,1.0,0.863095,0.924092,0.970238,15,69,420,0
P0,calibrated p_abnormal,0.07,420,0,69,15,1.0,0.858896,0.178571,0.821429,0.0,1.0,0.863095,0.924092,0.970238,15,69,420,0
P0,calibrated p_abnormal,0.08,420,0,64,20,1.0,0.867769,0.238095,0.761905,0.0,1.0,0.873016,0.929204,0.960317,20,64,420,0
P0,calibrated p_abnormal,0.09,420,0,61,23,1.0,0.873181,0.27381,0.72619,0.0,1.0,0.878968,0.932297,0.954365,23,61,420,0
P0,calibrated p_abnormal,0.1,420,0,59,25,1.0,0.876827,0.297619,0.702381,0.0,1.0,0.882937,0.934372,0.950397,25,59,420,0
P0,calibrated p_abnormal,0.11,420,0,59,25,1.0,0.876827,0.297619,0.702381,0.0,1.0,0.882937,0.934372,0.950397,25,59,420,0
P0,calibrated p_abnormal,0.12,420,0,59,25,1.0,0.876827,0.297619,0.702381,0.0,1.0,0.882937,0.934372,0.950397,25,59,420,0
P0,calibrated p_abnormal,0.13,420,0,56,28,1.0,0.882353,0.333333,0.666667,0.0,1.0,0.888889,0.9375,0.944444,28,56,420,0
P0,calibrated p_abnormal,0.14,420,0,53,31,1.0,0.887949,0.369048,0.630952,0.0,1.0,0.894841,0.940649,0.938492,31,53,420,0
P0,calibrated p_abnormal,0.15,420,0,52,32,1.0,0.889831,0.380952,0.619048,0.0,1.0,0.896825,0.941704,0.936508,32,52,420,0
