row_id,img_id,split,gt_label,y_true,img_rel_path,img_path,pred_label,pred_index,correct,top1_prob,p_normal_raw,p_abnormal_raw,logit_abnormal,embedding_index,embedding_dim,probs_json
0,00000004,train,Abnormal,1,train/Abnormal/00000004.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000004.png,Abnormal,0,1,1.0,1.19209e-07,0.999999880791,13.815509557935,0,512,"{""Abnormal"": 1.0, ""Normal"": 1.1920928955078125e-07}"
1,00000043,train,Abnormal,1,train/Abnormal/00000043.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000043.png,Abnormal,0,1,0.982421875,0.017395019531,0.982604980469,4.034023256974,1,512,"{""Abnormal"": 0.982421875, ""Normal"": 0.01739501953125}"
2,00000078,train,Abnormal,1,train/Abnormal/00000078.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000078.png,Abnormal,0,1,1.0,0.00014936924,0.99985063076,8.808939817586,2,512,"{""Abnormal"": 1.0, ""Normal"": 0.0001493692398071289}"
3,00000079,train,Abnormal,1,train/Abnormal/00000079.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000079.png,Abnormal,0,1,1.0,0.000101089478,0.999898910522,9.199403422499,3,512,"{""Abnormal"": 1.0, ""Normal"": 0.0001010894775390625}"
4,00000082,train,Abnormal,1,train/Abnormal/00000082.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000082.png,Abnormal,0,1,0.98486328125,0.015129089355,0.984870910645,4.175891239418,4,512,"{""Abnormal"": 0.98486328125, ""Normal"": 0.01512908935546875}"
5,00000085,train,Abnormal,1,train/Abnormal/00000085.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000085.png,Abnormal,0,1,0.955078125,0.044677734375,0.955322265625,3.062573469369,5,512,"{""Abnormal"": 0.955078125, ""Normal"": 0.044677734375}"
6,00000086,train,Abnormal,1,train/Abnormal/00000086.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000086.png,Abnormal,0,1,0.9990234375,0.001070976257,0.998929023743,6.838113106298,6,512,"{""Abnormal"": 0.9990234375, ""Normal"": 0.0010709762573242188}"
7,00000087,train,Abnormal,1,train/Abnormal/00000087.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000087.png,Abnormal,0,1,0.99658203125,0.003517150879,0.996482849121,5.646580675927,7,512,"{""Abnormal"": 0.99658203125, ""Normal"": 0.00351715087890625}"
8,00000088,train,Abnormal,1,train/Abnormal/00000088.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000088.png,Abnormal,0,1,0.99365234375,0.006252288818,0.993747711182,5.068535755105,8,512,"{""Abnormal"": 0.99365234375, ""Normal"": 0.006252288818359375}"
9,00000089,train,Abnormal,1,train/Abnormal/00000089.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000089.png,Abnormal,0,1,1.0,5.4955482e-05,0.999945044518,9.80893215289,9,512,"{""Abnormal"": 1.0, ""Normal"": 5.4955482482910156e-05}"
10,00000090,train,Abnormal,1,train/Abnormal/00000090.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\sewerml_gate2_train7200\train\Abnormal\00000090.png,Abnormal,0,1,1.0,1.4066696e-05,0.999985933304,11.171686461618,10,512,"{""Abnormal"": 1.0, ""Normal"": 1.4066696166992188e-05}"
