variant,variant_desc,threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
P0,calibrated p_abnormal,0.01,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.02,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.03,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.04,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
P0,calibrated p_abnormal,0.05,420,0,68,16,1.0,0.860656,0.190476,0.809524,0.0,1.0,0.865079,0.92511,0.968254,16,68,420,0
P0,calibrated p_abnormal,0.06,420,0,65,19,1.0,0.865979,0.22619,0.77381,0.0,1.0,0.871032,0.928177,0.962302,19,65,420,0
P0,calibrated p_abnormal,0.07,420,0,62,22,1.0,0.871369,0.261905,0.738095,0.0,1.0,0.876984,0.931264,0.956349,22,62,420,0
P0,calibrated p_abnormal,0.08,420,0,60,24,1.0,0.875,0.285714,0.714286,0.0,1.0,0.880952,0.933333,0.952381,24,60,420,0
P0,calibrated p_abnormal,0.09,420,0,58,26,1.0,0.878661,0.309524,0.690476,0.0,1.0,0.884921,0.935412,0.948413,26,58,420,0
P0,calibrated p_abnormal,0.1,420,0,58,26,1.0,0.878661,0.309524,0.690476,0.0,1.0,0.884921,0.935412,0.948413,26,58,420,0
P0,calibrated p_abnormal,0.11,420,0,56,28,1.0,0.882353,0.333333,0.666667,0.0,1.0,0.888889,0.9375,0.944444,28,56,420,0
P0,calibrated p_abnormal,0.12,420,0,54,30,1.0,0.886076,0.357143,0.642857,0.0,1.0,0.892857,0.939597,0.940476,30,54,420,0
P0,calibrated p_abnormal,0.13,420,0,54,30,1.0,0.886076,0.357143,0.642857,0.0,1.0,0.892857,0.939597,0.940476,30,54,420,0
P0,calibrated p_abnormal,0.14,420,0,51,33,1.0,0.89172,0.392857,0.607143,0.0,1.0,0.89881,0.942761,0.934524,33,51,420,0
P0,calibrated p_abnormal,0.15,420,0,50,34,1.0,0.893617,0.404762,0.595238,0.0,1.0,0.900794,0.94382,0.93254,34,50,420,0
P0,calibrated p_abnormal,0.16,419,1,49,35,0.997619,0.895299,0.416667,0.583333,0.002381,0.972222,0.900794,0.943694,0.928571,35,49,419,1
P0,calibrated p_abnormal,0.17,419,1,49,35,0.997619,0.895299,0.416667,0.583333,0.002381,0.972222,0.900794,0.943694,0.928571,35,49,419,1
P0,calibrated p_abnormal,0.18,419,1,49,35,0.997619,0.895299,0.416667,0.583333,0.002381,0.972222,0.900794,0.943694,0.928571,35,49,419,1
P0,calibrated p_abnormal,0.19,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
P0,calibrated p_abnormal,0.2,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
P0,calibrated p_abnormal,0.21,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
P0,calibrated p_abnormal,0.22,418,2,47,37,0.995238,0.898925,0.440476,0.559524,0.004762,0.948718,0.902778,0.944633,0.922619,37,47,418,2
