                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5353,                0.47222,                0.97917,                 1.6211,              0.0033086,              0.0033086,              0.0033086
                      2,                 1.2822,                0.53889,                 0.9875,                 1.5469,              0.0066091,              0.0066091,              0.0066091
                      3,                 1.2625,                0.40139,                0.95139,                 1.6228,              0.0098766,              0.0098766,              0.0098766
                      4,                 1.2517,                0.49722,                0.99028,                 1.5817,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1751,                0.53056,                0.99028,                 1.5487,               0.009802,               0.009802,               0.009802
                      6,                 1.1141,                0.57639,                0.99583,                 1.5061,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0665,                0.59167,                0.99028,                 1.5024,               0.009703,               0.009703,               0.009703
                      8,                 1.0047,                    0.6,                0.99306,                 1.4882,              0.0096535,              0.0096535,              0.0096535
                      9,                0.97976,                0.60417,                0.99861,                 1.4884,               0.009604,               0.009604,               0.009604
                     10,                0.93832,                    0.6,                0.99028,                 1.4839,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91537,                0.61806,                0.99167,                 1.4711,               0.009505,               0.009505,               0.009505
                     12,                0.87487,                0.62361,                0.99583,                 1.4502,              0.0094555,              0.0094555,              0.0094555
                     13,                0.85292,                0.62083,                0.99583,                 1.4482,               0.009406,               0.009406,               0.009406
                     14,                 0.8022,                0.61528,                0.99306,                 1.4504,              0.0093565,              0.0093565,              0.0093565
                     15,                0.79323,                0.62361,                0.99444,                 1.4465,               0.009307,               0.009307,               0.009307
                     16,                0.76921,                0.60556,                0.99306,                 1.4696,              0.0092575,              0.0092575,              0.0092575
                     17,                0.74877,                0.66667,                0.99861,                 1.4204,               0.009208,               0.009208,               0.009208
                     18,                  0.724,                0.61389,                0.98889,                 1.4581,              0.0091585,              0.0091585,              0.0091585
                     19,                0.69491,                0.62639,                0.99444,                 1.4302,               0.009109,               0.009109,               0.009109
                     20,                0.66493,                0.63472,                0.99722,                 1.4298,              0.0090595,              0.0090595,              0.0090595
                     21,                0.68678,                0.64028,                0.99722,                 1.4254,                0.00901,                0.00901,                0.00901
                     22,                0.61978,                0.61944,                0.99583,                 1.4341,              0.0089605,              0.0089605,              0.0089605
                     23,                0.60346,                0.66528,                0.99722,                 1.4051,               0.008911,               0.008911,               0.008911
                     24,                0.58373,                 0.6375,                0.99583,                 1.4269,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.5665,                0.64861,                0.99861,                 1.4081,               0.008812,               0.008812,               0.008812
                     26,                0.55369,                0.61111,                0.99722,                  1.438,              0.0087625,              0.0087625,              0.0087625
                     27,                0.55021,                0.64167,                0.99306,                 1.4182,               0.008713,               0.008713,               0.008713
                     28,                0.52603,                  0.675,                0.99722,                 1.3857,              0.0086635,              0.0086635,              0.0086635
                     29,                0.51245,                0.62917,                0.99444,                 1.4171,               0.008614,               0.008614,               0.008614
                     30,                0.50969,                0.65556,                0.99444,                 1.3916,              0.0085645,              0.0085645,              0.0085645
                     31,                0.46037,                0.63611,                0.99306,                 1.4189,               0.008515,               0.008515,               0.008515
                     32,                0.49871,                   0.65,                0.99306,                  1.396,              0.0084655,              0.0084655,              0.0084655
                     33,                0.43337,                0.65694,                0.99861,                 1.3887,               0.008416,               0.008416,               0.008416
                     34,                0.43904,                0.62917,                0.99861,                 1.4137,              0.0083665,              0.0083665,              0.0083665
                     35,                0.42689,                0.64722,                0.99722,                 1.3964,               0.008317,               0.008317,               0.008317
                     36,                0.38695,                0.64028,                0.99722,                 1.4023,              0.0082675,              0.0082675,              0.0082675
                     37,                0.41018,                0.66528,                0.99444,                 1.3768,               0.008218,               0.008218,               0.008218
                     38,                0.38222,                0.65556,                0.99444,                  1.385,              0.0081685,              0.0081685,              0.0081685
                     39,                0.36786,                 0.6625,                0.99861,                 1.3799,               0.008119,               0.008119,               0.008119
                     40,                0.37342,                0.66528,                0.99306,                 1.3882,              0.0080695,              0.0080695,              0.0080695
                     41,                 0.3629,                0.65556,                0.99444,                 1.3904,                0.00802,                0.00802,                0.00802
                     42,                0.35763,                0.66667,                0.99722,                 1.3751,              0.0079705,              0.0079705,              0.0079705
                     43,                0.33206,                0.64722,                0.99861,                 1.3879,               0.007921,               0.007921,               0.007921
                     44,                0.31661,                0.65833,                0.99722,                 1.3878,              0.0078715,              0.0078715,              0.0078715
                     45,                0.35007,                0.68333,                0.99306,                 1.3654,               0.007822,               0.007822,               0.007822
                     46,                0.30478,                0.68889,                0.99583,                  1.356,              0.0077725,              0.0077725,              0.0077725
                     47,                0.29588,                0.67222,                0.99583,                 1.3706,               0.007723,               0.007723,               0.007723
                     48,                0.30295,                0.68889,                0.99444,                 1.3556,              0.0076735,              0.0076735,              0.0076735
                     49,                0.30028,                0.67222,                0.99444,                 1.3724,               0.007624,               0.007624,               0.007624
                     50,                0.27821,                0.68333,                0.99444,                 1.3535,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.2688,                0.66944,                 0.9875,                  1.369,               0.007525,               0.007525,               0.007525
                     52,                0.26376,                  0.675,                0.99167,                 1.3661,              0.0074755,              0.0074755,              0.0074755
                     53,                0.26953,                0.66667,                0.99306,                 1.3661,               0.007426,               0.007426,               0.007426
                     54,                0.23794,                0.66667,                0.99583,                 1.3737,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.2395,                0.64861,                0.99444,                 1.3877,               0.007327,               0.007327,               0.007327
                     56,                0.25041,                0.68194,                0.99444,                 1.3561,              0.0072775,              0.0072775,              0.0072775
                     57,                0.24465,                0.66667,                0.99583,                 1.3734,               0.007228,               0.007228,               0.007228
                     58,                0.22181,                0.68194,                0.98889,                 1.3688,              0.0071785,              0.0071785,              0.0071785
                     59,                0.22334,                0.67222,                0.99583,                 1.3708,               0.007129,               0.007129,               0.007129
                     60,                 0.2064,                0.67639,                0.99583,                 1.3635,              0.0070795,              0.0070795,              0.0070795
                     61,                0.22061,                  0.675,                0.99167,                 1.3704,                0.00703,                0.00703,                0.00703
                     62,                0.19547,                0.67917,                0.99583,                 1.3616,              0.0069805,              0.0069805,              0.0069805
                     63,                0.21309,                0.66806,                0.99583,                 1.3766,               0.006931,               0.006931,               0.006931
                     64,                 0.1902,                0.66806,                0.99583,                 1.3732,              0.0068815,              0.0068815,              0.0068815
                     65,                0.21951,                0.68472,                0.99444,                 1.3621,               0.006832,               0.006832,               0.006832
