threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,597,3,67,53,0.995,0.899096,0.441667,0.558333,0.005,0.946429,0.902778,0.94462,0.922222,53,67,597,3
0.02,594,6,64,56,0.99,0.902736,0.466667,0.533333,0.01,0.903226,0.902778,0.944356,0.913889,56,64,594,6
0.03,593,7,61,59,0.988333,0.906728,0.491667,0.508333,0.011667,0.893939,0.905556,0.945774,0.908333,59,61,593,7
0.04,592,8,58,62,0.986667,0.910769,0.516667,0.483333,0.013333,0.885714,0.908333,0.9472,0.902778,62,58,592,8
0.05,591,9,57,63,0.985,0.912037,0.525,0.475,0.015,0.875,0.908333,0.947115,0.9,63,57,591,9
0.06,589,11,55,65,0.981667,0.914596,0.541667,0.458333,0.018333,0.855263,0.908333,0.946945,0.894444,65,55,589,11
0.07,589,11,54,66,0.981667,0.916019,0.55,0.45,0.018333,0.857143,0.909722,0.947707,0.893056,66,54,589,11
0.08,589,11,52,68,0.981667,0.918877,0.566667,0.433333,0.018333,0.860759,0.9125,0.949234,0.890278,68,52,589,11
0.09,589,11,51,69,0.981667,0.920312,0.575,0.425,0.018333,0.8625,0.913889,0.95,0.888889,69,51,589,11
0.1,589,11,50,70,0.981667,0.921753,0.583333,0.416667,0.018333,0.864198,0.915278,0.950767,0.8875,70,50,589,11
0.11,588,12,50,70,0.98,0.92163,0.583333,0.416667,0.02,0.853659,0.913889,0.949919,0.886111,70,50,588,12
0.12,588,12,48,72,0.98,0.924528,0.6,0.4,0.02,0.857143,0.916667,0.951456,0.883333,72,48,588,12
0.13,588,12,48,72,0.98,0.924528,0.6,0.4,0.02,0.857143,0.916667,0.951456,0.883333,72,48,588,12
0.14,587,13,48,72,0.978333,0.924409,0.6,0.4,0.021667,0.847059,0.915278,0.950607,0.881944,72,48,587,13
0.15,587,13,48,72,0.978333,0.924409,0.6,0.4,0.021667,0.847059,0.915278,0.950607,0.881944,72,48,587,13
0.16,586,14,47,73,0.976667,0.92575,0.608333,0.391667,0.023333,0.83908,0.915278,0.950527,0.879167,73,47,586,14
0.17,586,14,47,73,0.976667,0.92575,0.608333,0.391667,0.023333,0.83908,0.915278,0.950527,0.879167,73,47,586,14
0.18,586,14,47,73,0.976667,0.92575,0.608333,0.391667,0.023333,0.83908,0.915278,0.950527,0.879167,73,47,586,14
0.19,586,14,46,74,0.976667,0.927215,0.616667,0.383333,0.023333,0.840909,0.916667,0.951299,0.877778,74,46,586,14
0.2,586,14,46,74,0.976667,0.927215,0.616667,0.383333,0.023333,0.840909,0.916667,0.951299,0.877778,74,46,586,14
