threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,414,6,41,43,0.985714,0.90989,0.511905,0.488095,0.014286,0.877551,0.906746,0.946286,0.902778,43,41,414,6
0.02,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
0.03,412,8,35,49,0.980952,0.9217,0.583333,0.416667,0.019048,0.859649,0.914683,0.950404,0.886905,49,35,412,8
0.04,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
0.05,412,8,32,52,0.980952,0.927928,0.619048,0.380952,0.019048,0.866667,0.920635,0.953704,0.880952,52,32,412,8
0.06,412,8,29,55,0.980952,0.93424,0.654762,0.345238,0.019048,0.873016,0.926587,0.957027,0.875,55,29,412,8
0.07,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
0.08,410,10,28,56,0.97619,0.936073,0.666667,0.333333,0.02381,0.848485,0.924603,0.955711,0.869048,56,28,410,10
0.09,408,12,27,57,0.971429,0.937931,0.678571,0.321429,0.028571,0.826087,0.922619,0.954386,0.863095,57,27,408,12
0.1,407,13,27,57,0.969048,0.937788,0.678571,0.321429,0.030952,0.814286,0.920635,0.953162,0.861111,57,27,407,13
0.11,406,14,27,57,0.966667,0.937644,0.678571,0.321429,0.033333,0.802817,0.918651,0.951934,0.859127,57,27,406,14
0.12,406,14,27,57,0.966667,0.937644,0.678571,0.321429,0.033333,0.802817,0.918651,0.951934,0.859127,57,27,406,14
0.13,406,14,27,57,0.966667,0.937644,0.678571,0.321429,0.033333,0.802817,0.918651,0.951934,0.859127,57,27,406,14
0.14,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.15,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.16,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.17,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.18,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.19,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.2,405,15,27,57,0.964286,0.9375,0.678571,0.321429,0.035714,0.791667,0.916667,0.950704,0.857143,57,27,405,15
0.21,405,15,26,58,0.964286,0.939675,0.690476,0.309524,0.035714,0.794521,0.918651,0.951821,0.855159,58,26,405,15
0.22,405,15,26,58,0.964286,0.939675,0.690476,0.309524,0.035714,0.794521,0.918651,0.951821,0.855159,58,26,405,15
0.23,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.24,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.25,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.26,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.27,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.28,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.29,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.3,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.31,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.32,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.33,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.34,405,15,24,60,0.964286,0.944056,0.714286,0.285714,0.035714,0.8,0.922619,0.954064,0.85119,60,24,405,15
0.35,405,15,24,60,0.964286,0.944056,0.714286,0.285714,0.035714,0.8,0.922619,0.954064,0.85119,60,24,405,15
0.36,404,16,24,60,0.961905,0.943925,0.714286,0.285714,0.038095,0.789474,0.920635,0.95283,0.849206,60,24,404,16
0.37,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.38,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.39,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.4,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.41,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.42,404,16,23,61,0.961905,0.946136,0.72619,0.27381,0.038095,0.792208,0.922619,0.953955,0.847222,61,23,404,16
0.43,404,16,22,62,0.961905,0.948357,0.738095,0.261905,0.038095,0.794872,0.924603,0.955083,0.845238,62,22,404,16
0.44,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.45,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.46,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.47,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.48,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.49,403,17,22,62,0.959524,0.948235,0.738095,0.261905,0.040476,0.78481,0.922619,0.953846,0.843254,62,22,403,17
0.5,402,18,21,63,0.957143,0.950355,0.75,0.25,0.042857,0.777778,0.922619,0.953737,0.839286,63,21,402,18
0.51,402,18,20,64,0.957143,0.952607,0.761905,0.238095,0.042857,0.780488,0.924603,0.954869,0.837302,64,20,402,18
0.52,402,18,20,64,0.957143,0.952607,0.761905,0.238095,0.042857,0.780488,0.924603,0.954869,0.837302,64,20,402,18
0.53,402,18,20,64,0.957143,0.952607,0.761905,0.238095,0.042857,0.780488,0.924603,0.954869,0.837302,64,20,402,18
0.54,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.55,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.56,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.57,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
