threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
0.02,419,1,68,16,0.997619,0.86037,0.190476,0.809524,0.002381,0.941176,0.863095,0.923925,0.96627,16,68,419,1
0.03,419,1,66,18,0.997619,0.863918,0.214286,0.785714,0.002381,0.947368,0.867063,0.925967,0.962302,18,66,419,1
0.04,418,2,63,21,0.995238,0.869023,0.25,0.75,0.004762,0.913043,0.871032,0.927858,0.954365,21,63,418,2
0.05,418,2,61,23,0.995238,0.872651,0.27381,0.72619,0.004762,0.92,0.875,0.929922,0.950397,23,61,418,2
0.06,418,2,60,24,0.995238,0.874477,0.285714,0.714286,0.004762,0.923077,0.876984,0.930958,0.948413,24,60,418,2
0.07,417,3,57,27,0.992857,0.879747,0.321429,0.678571,0.007143,0.9,0.880952,0.932886,0.940476,27,57,417,3
0.08,417,3,55,29,0.992857,0.883475,0.345238,0.654762,0.007143,0.90625,0.884921,0.934978,0.936508,29,55,417,3
0.09,417,3,54,30,0.992857,0.88535,0.357143,0.642857,0.007143,0.909091,0.886905,0.936027,0.934524,30,54,417,3
0.1,417,3,51,33,0.992857,0.891026,0.392857,0.607143,0.007143,0.916667,0.892857,0.939189,0.928571,33,51,417,3
0.11,417,3,50,34,0.992857,0.892934,0.404762,0.595238,0.007143,0.918919,0.894841,0.940248,0.926587,34,50,417,3
0.12,417,3,49,35,0.992857,0.89485,0.416667,0.583333,0.007143,0.921053,0.896825,0.941309,0.924603,35,49,417,3
0.13,416,4,47,37,0.990476,0.898488,0.440476,0.559524,0.009524,0.902439,0.89881,0.942242,0.918651,37,47,416,4
0.14,416,4,46,38,0.990476,0.900433,0.452381,0.547619,0.009524,0.904762,0.900794,0.943311,0.916667,38,46,416,4
0.15,416,4,46,38,0.990476,0.900433,0.452381,0.547619,0.009524,0.904762,0.900794,0.943311,0.916667,38,46,416,4
0.16,415,5,44,40,0.988095,0.904139,0.47619,0.52381,0.011905,0.888889,0.902778,0.944255,0.910714,40,44,415,5
0.17,415,5,42,42,0.988095,0.908096,0.5,0.5,0.011905,0.893617,0.906746,0.946408,0.906746,42,42,415,5
0.18,415,5,41,43,0.988095,0.910088,0.511905,0.488095,0.011905,0.895833,0.90873,0.947489,0.904762,43,41,415,5
0.19,414,6,41,43,0.985714,0.90989,0.511905,0.488095,0.014286,0.877551,0.906746,0.946286,0.902778,43,41,414,6
0.2,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
0.21,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
0.22,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
0.23,413,7,38,46,0.983333,0.915743,0.547619,0.452381,0.016667,0.867925,0.910714,0.948335,0.894841,46,38,413,7
0.24,412,8,36,48,0.980952,0.919643,0.571429,0.428571,0.019048,0.857143,0.912698,0.949309,0.888889,48,36,412,8
0.25,412,8,35,49,0.980952,0.9217,0.583333,0.416667,0.019048,0.859649,0.914683,0.950404,0.886905,49,35,412,8
0.26,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
0.27,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
0.28,412,8,31,53,0.980952,0.930023,0.630952,0.369048,0.019048,0.868852,0.922619,0.954809,0.878968,53,31,412,8
0.29,412,8,30,54,0.980952,0.932127,0.642857,0.357143,0.019048,0.870968,0.924603,0.955916,0.876984,54,30,412,8
0.3,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
