epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.50127,1.6084,0.47222,0.99028,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,73.90346145629883,73.90346145629883,32,1,32,17.320378368,17.320378368,12.145668608,0.73125,0.73125,1,0,0,1
2,1.28112,1.57902,0.48194,0.97778,0.006584408866995074,0.006584408866995074,0.006584408866995074,71.3352599143982,145.23972129821777,32,2,64,16.722690048,16.722690048,12.179715584,0.72986,0.73125,1,0,0,0
3,1.29873,1.64445,0.44583,0.97778,0.009785904761904763,0.009785904761904763,0.009785904761904763,70.46896648406982,215.70768785476685,32,2,64,16.739467264,16.739467264,12.132588032,0.71181,0.73125,1,0,0,0
4,1.30985,1.57365,0.47917,0.98611,0.009703,0.009703,0.009703,70.44376635551453,286.1514542102814,32,2,64,16.722690048,16.722690048,12.180633088,0.73264,0.73264,4,0,0,1
5,1.23102,1.58529,0.525,0.98333,0.009604,0.009604,0.009604,70.49309921264648,356.64553785324097,32,2,64,16.737370112,16.737370112,12.132325888,0.75417,0.75417,5,0,0,1
6,1.15799,1.55127,0.54861,0.99306,0.009505,0.009505,0.009505,70.5967276096344,427.24228024482727,32,2,64,16.722690048,16.722690048,12.179715584,0.77083,0.77083,6,0,0,1
7,1.121,1.55477,0.5,0.97222,0.009406,0.009406,0.009406,70.82147812843323,498.0627591609955,32,2,64,16.73527296,16.73527296,12.133374464,0.73611,0.77083,6,0,0,0
8,1.0735,1.52531,0.57222,0.98611,0.009307,0.009307,0.009307,70.68105125427246,568.743810415268,32,2,64,16.722690048,16.722690048,12.179715584,0.77917,0.77917,8,0,0,1
9,1.03684,1.51538,0.59583,0.99306,0.009208000000000001,0.009208000000000001,0.009208000000000001,70.99556136131287,639.740371465683,32,2,64,16.743661568,16.743661568,12.131604992,0.79444,0.79444,9,0,0,1
10,1.01335,1.47388,0.61806,0.99167,0.009109,0.009109,0.009109,70.71757817268372,710.4569499492645,32,2,64,16.722690048,16.722690048,12.1801088,0.80486,0.80486,10,0,0,1
11,0.96793,1.46891,0.61111,0.98472,0.00901,0.00901,0.00901,70.97822523117065,781.4351751804352,32,2,64,16.739467264,16.739467264,12.13278464,0.79792,0.80486,10,0,0,0
12,0.95964,1.47306,0.625,0.99583,0.008911,0.008911,0.008911,70.67702960968018,852.113424539566,32,2,64,16.71430144,16.71430144,12.179715584,0.81042,0.81042,12,0,0,1
13,0.90558,1.46395,0.60278,0.99028,0.008812,0.008812,0.008812,70.69525957107544,922.8074643611908,32,2,64,16.737370112,16.737370112,12.132325888,0.79653,0.81042,12,0,0,0
14,0.89862,1.45728,0.62778,0.98472,0.008713,0.008713,0.008713,70.80183935165405,993.6093037128448,32,2,64,16.722690048,16.722690048,12.179715584,0.80625,0.81042,12,0,0,0
15,0.86871,1.49634,0.54028,0.99306,0.008614,0.008614,0.008614,70.57851338386536,1064.1878170967102,32,2,64,16.737370112,16.737370112,12.133374464,0.76667,0.81042,12,0,0,0
16,0.84513,1.44482,0.62083,0.99583,0.008515,0.008515,0.008515,70.80864262580872,1134.996459722519,32,2,64,16.722690048,16.722690048,12.179715584,0.80833,0.81042,12,0,0,0
17,0.8132,1.44466,0.62778,0.98889,0.008416,0.008416,0.008416,70.94305229187012,1205.9405121803284,32,2,64,16.743661568,16.743661568,12.131604992,0.80833,0.81042,12,0,0,0
18,0.80947,1.4589,0.60417,0.99444,0.008317,0.008317,0.008317,70.66306495666504,1276.602576971054,32,2,64,16.722690048,16.722690048,12.1801088,0.79931,0.81042,12,0,0,0
19,0.78871,1.44173,0.64444,0.99722,0.008218000000000001,0.008218000000000001,0.008218000000000001,71.02961897850037,1347.6331956386566,32,2,64,16.739467264,16.739467264,12.13278464,0.82083,0.82083,19,0,0,1
20,0.76268,1.4493,0.62361,0.99722,0.008119000000000001,0.008119000000000001,0.008119000000000001,70.8227207660675,1418.454916715622,32,2,64,16.71430144,16.71430144,12.179715584,0.81042,0.82083,19,0,0,0
21,0.74641,1.42668,0.625,0.9875,0.008020000000000001,0.008020000000000001,0.008020000000000001,70.6747989654541,1489.129715681076,32,2,64,16.737370112,16.737370112,12.132325888,0.80625,0.82083,19,0,0,0
22,0.72881,1.42505,0.64167,0.99028,0.007921000000000001,0.007921000000000001,0.007921000000000001,70.71125888824463,1559.8409745693207,32,2,64,16.722690048,16.722690048,12.179715584,0.81597,0.82083,19,0,0,0
23,0.68813,1.42855,0.60833,0.99167,0.007822,0.007822,0.007822,70.75126266479492,1630.593232870102,32,2,64,16.737370112,16.737370112,12.133374464,0.8,0.82083,19,0,0,0
24,0.66966,1.44694,0.60972,0.99028,0.007723,0.007723,0.007723,70.7650511264801,1701.358288526535,32,2,64,16.722690048,16.722690048,12.179715584,0.8,0.82083,19,0,0,0
25,0.66377,1.43774,0.64444,0.99444,0.007624,0.007624,0.007624,70.57929158210754,1771.937578201294,32,2,64,16.74575872,16.74575872,12.131604992,0.81944,0.82083,19,0,0,0
26,0.62183,1.42765,0.6375,0.99028,0.007525,0.007525,0.007525,70.76921653747559,1842.7057964801788,32,2,64,16.722690048,16.722690048,12.1801088,0.81389,0.82083,19,0,0,0
27,0.6204,1.41105,0.6625,0.99306,0.007426,0.007426,0.007426,70.91214227676392,1913.618944644928,32,2,64,16.739467264,16.739467264,12.13278464,0.82778,0.82778,27,0,0,1
28,0.59566,1.43099,0.6375,0.98611,0.007327,0.007327,0.007327,70.75639867782593,1984.3753407001495,32,2,64,16.71430144,16.71430144,12.179715584,0.81181,0.82778,27,0,0,0
29,0.5632,1.41349,0.64722,0.98889,0.007228,0.007228,0.007228,71.1830141544342,2055.557351589203,32,2,64,16.739467264,16.739467264,12.132325888,0.81806,0.82778,27,0,0,0
30,0.5507,1.39486,0.66528,0.98889,0.007129,0.007129,0.007129,70.4853732585907,2126.0437245368958,32,2,64,16.722690048,16.722690048,12.179715584,0.82708,0.82778,27,0,0,0
31,0.5396,1.41577,0.6,0.99722,0.00703,0.00703,0.00703,70.7581057548523,2196.8018333911896,32,2,64,16.737370112,16.737370112,12.133374464,0.79861,0.82778,27,0,0,0
32,0.52232,1.41138,0.64444,0.99028,0.006931,0.006931,0.006931,70.58244395256042,2267.384275197983,32,2,64,16.722690048,16.722690048,12.179715584,0.81736,0.82778,27,0,0,0
33,0.5115,1.41325,0.62361,0.99583,0.0068319999999999995,0.0068319999999999995,0.0068319999999999995,71.14892983436584,2338.532204389572,32,2,64,16.74575872,16.74575872,12.131604992,0.80972,0.82778,27,0,0,0
34,0.4789,1.40951,0.63472,0.98472,0.006732999999999999,0.006732999999999999,0.006732999999999999,70.71011209487915,2409.2433154582977,32,2,64,16.722690048,16.722690048,12.1801088,0.80972,0.82778,27,0,0,0
35,0.47698,1.38794,0.65417,0.99444,0.006633999999999999,0.006633999999999999,0.006633999999999999,70.66563367843628,2479.908949613571,32,2,64,16.737370112,16.737370112,12.13278464,0.82431,0.82778,27,0,0,0
36,0.4589,1.38289,0.6625,0.99167,0.006535,0.006535,0.006535,70.63567161560059,2550.543621778488,32,2,64,16.71430144,16.71430144,12.179715584,0.82708,0.82778,27,0,0,0
37,0.45368,1.38835,0.66111,0.99306,0.006436000000000001,0.006436000000000001,0.006436000000000001,70.48866677284241,2621.0322885513306,32,2,64,16.739467264,16.739467264,12.132325888,0.82708,0.82778,27,0,0,0
38,0.42861,1.38827,0.65417,0.98889,0.006337000000000001,0.006337000000000001,0.006337000000000001,70.44394898414612,2691.4772362709045,32,2,64,16.722690048,16.722690048,12.179715584,0.82153,0.82778,27,0,0,0
39,0.38898,1.38794,0.66806,0.98889,0.0062380000000000005,0.0062380000000000005,0.0062380000000000005,70.80599927902222,2762.282236814499,32,2,64,16.737370112,16.737370112,12.133374464,0.82847,0.82847,39,0,0,1
40,0.38746,1.40568,0.64583,0.99167,0.006139,0.006139,0.006139,70.69486570358276,2832.9771025180817,32,2,64,16.722690048,16.722690048,12.179715584,0.81875,0.82847,39,0,0,0
41,0.36319,1.3938,0.65694,0.99306,0.00604,0.00604,0.00604,70.66047716140747,2903.637579679489,32,2,64,16.743661568,16.743661568,12.131604992,0.825,0.82847,39,0,0,0
42,0.36744,1.40438,0.63472,0.99167,0.005941000000000001,0.005941000000000001,0.005941000000000001,70.94778060913086,2974.58536028862,32,2,64,16.722690048,16.722690048,12.1801088,0.81319,0.82847,39,0,0,0
