row_id,img_id,split,gt_label,gt_index,img_rel_path,img_path,pred_label,pred_index,correct,top5_correct,top1_prob,top2_label,top2_prob,top3_label,top3_prob,margin,entropy,entropy_norm,p_normal,p_abnormal,abnormal_conf,width,height,aspect_ratio,embedding_index,top5_labels_json,top5_probs_json,probs_json
361,00000467,val,Normal,3,val/Normal/00000467.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00000467.png,Deformation,0,0,1,0.957656979560852,Normal,0.04211609810590744,DepositAttachment,0.00014897604705765843,0.9155408814549446,0.17687929490876372,0.09871821410547296,0.04211609810590744,0.9578839018940926,0.9578839018940926,352,288,1.222222,361,"[""Deformation"", ""Normal"", ""DepositAttachment"", ""WallDamage"", ""JointAnomaly""]","[0.957656979560852, 0.04211609810590744, 0.00014897604705765843, 7.79672191129066e-05, 2.0481756290990916e-09]","{""Deformation"": 0.957656979560852, ""DepositAttachment"": 0.00014897604705765843, ""JointAnomaly"": 2.0481756290990916e-09, ""Normal"": 0.04211609810590744, ""Roots"": 6.921418993499628e-11, ""WallDamage"": 7.79672191129066e-05}"
362,00002200,val,Normal,3,val/Normal/00002200.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00002200.png,WallDamage,5,0,1,0.7729476094245911,Normal,0.1688212901353836,JointAnomaly,0.03203706070780754,0.6041263192892075,0.7231778132995779,0.40361322248858833,0.1688212901353836,0.8311787098646164,0.8311787098646164,720,576,1.25,362,"[""WallDamage"", ""Normal"", ""JointAnomaly"", ""DepositAttachment"", ""Roots""]","[0.7729476094245911, 0.1688212901353836, 0.03203706070780754, 0.013802612200379372, 0.012387841008603573]","{""Deformation"": 3.620108827817603e-06, ""DepositAttachment"": 0.013802612200379372, ""JointAnomaly"": 0.03203706070780754, ""Normal"": 0.1688212901353836, ""Roots"": 0.012387841008603573, ""WallDamage"": 0.7729476094245911}"
364,00016640,val,Normal,3,val/Normal/00016640.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00016640.png,WallDamage,5,0,1,0.9998294115066528,Normal,0.00017012243915814906,JointAnomaly,4.341538328844763e-07,0.9996592890674947,0.0016546677195618043,0.0009234876376987621,0.00017012243915814906,0.9998298775608419,0.9998298775608419,720,576,1.25,364,"[""WallDamage"", ""Normal"", ""JointAnomaly"", ""Roots"", ""DepositAttachment""]","[0.9998294115066528, 0.00017012243915814906, 4.341538328844763e-07, 5.6533437486905314e-08, 1.3058723880021716e-08]","{""Deformation"": 3.1491040886066912e-09, ""DepositAttachment"": 1.3058723880021716e-08, ""JointAnomaly"": 4.341538328844763e-07, ""Normal"": 0.00017012243915814906, ""Roots"": 5.6533437486905314e-08, ""WallDamage"": 0.9998294115066528}"
365,00020484,val,Normal,3,val/Normal/00020484.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00020484.png,Deformation,0,0,1,0.9642999172210693,Normal,0.029263010248541832,WallDamage,0.004349842667579651,0.9350369069725275,0.17635578041390398,0.09842603510273813,0.029263010248541832,0.9707369897514582,0.9707369897514582,720,576,1.25,365,"[""Deformation"", ""Normal"", ""WallDamage"", ""JointAnomaly"", ""Roots""]","[0.9642999172210693, 0.029263010248541832, 0.004349842667579651, 0.001468658447265625, 0.0005752595025114715]","{""Deformation"": 0.9642999172210693, ""DepositAttachment"": 4.3306055886205286e-05, ""JointAnomaly"": 0.001468658447265625, ""Normal"": 0.029263010248541832, ""Roots"": 0.0005752595025114715, ""WallDamage"": 0.004349842667579651}"
367,00022696,val,Normal,3,val/Normal/00022696.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00022696.png,JointAnomaly,2,0,1,0.8355506062507629,Roots,0.16250407695770264,DepositAttachment,0.0016084123635664582,0.6730465292930603,0.4585933229442361,0.25594580680062606,2.3419437638949603e-05,0.999976580562361,0.999976580562361,720,576,1.25,367,"[""JointAnomaly"", ""Roots"", ""DepositAttachment"", ""Deformation"", ""Normal""]","[0.8355506062507629, 0.16250407695770264, 0.0016084123635664582, 0.00029469214496202767, 2.3419437638949603e-05]","{""Deformation"": 0.00029469214496202767, ""DepositAttachment"": 0.0016084123635664582, ""JointAnomaly"": 0.8355506062507629, ""Normal"": 2.3419437638949603e-05, ""Roots"": 0.16250407695770264, ""WallDamage"": 1.8814889699569903e-05}"
373,00131481,val,Normal,3,val/Normal/00131481.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00131481.png,DepositAttachment,1,0,1,0.5349056124687195,Normal,0.3483845293521881,Deformation,0.11670411378145218,0.18652108311653137,0.9527877669304595,0.5317609775719225,0.3483845293521881,0.6516154706478119,0.6516154706478119,720,576,1.25,373,"[""DepositAttachment"", ""Normal"", ""Deformation"", ""WallDamage"", ""JointAnomaly""]","[0.5349056124687195, 0.3483845293521881, 0.11670411378145218, 5.697937012882903e-06, 2.5388691149430542e-09]","{""Deformation"": 0.11670411378145218, ""DepositAttachment"": 0.5349056124687195, ""JointAnomaly"": 2.5388691149430542e-09, ""Normal"": 0.3483845293521881, ""Roots"": 7.305206439767176e-11, ""WallDamage"": 5.697937012882903e-06}"
376,00161450,val,Normal,3,val/Normal/00161450.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00161450.png,JointAnomaly,2,0,0,0.8613919019699097,DepositAttachment,0.10448379069566727,Roots,0.03329743817448616,0.7569081112742424,0.4843623810871476,0.27032779198640194,5.260979742160998e-05,0.9999473902025784,0.9999473902025784,720,576,1.25,376,"[""JointAnomaly"", ""DepositAttachment"", ""Roots"", ""WallDamage"", ""Deformation""]","[0.8613919019699097, 0.10448379069566727, 0.03329743817448616, 0.0005253363633528352, 0.0002488847530912608]","{""Deformation"": 0.0002488847530912608, ""DepositAttachment"": 0.10448379069566727, ""JointAnomaly"": 0.8613919019699097, ""Normal"": 5.260979742160998e-05, ""Roots"": 0.03329743817448616, ""WallDamage"": 0.0005253363633528352}"
391,00315236,val,Normal,3,val/Normal/00315236.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00315236.png,WallDamage,5,0,1,0.9861888289451599,Normal,0.013794828206300735,JointAnomaly,1.531284215161577e-05,0.9723940007388592,0.0729905090115634,0.04073677871673811,0.013794828206300735,0.9862051717936993,0.9862051717936993,352,288,1.222222,391,"[""WallDamage"", ""Normal"", ""JointAnomaly"", ""Roots"", ""DepositAttachment""]","[0.9861888289451599, 0.013794828206300735, 1.531284215161577e-05, 6.661994120804593e-07, 3.7286670817593404e-07]","{""Deformation"": 4.580697776646048e-08, ""DepositAttachment"": 3.7286670817593404e-07, ""JointAnomaly"": 1.531284215161577e-05, ""Normal"": 0.013794828206300735, ""Roots"": 6.661994120804593e-07, ""WallDamage"": 0.9861888289451599}"
392,00315508,val,Normal,3,val/Normal/00315508.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00315508.png,WallDamage,5,0,1,0.7354733347892761,Normal,0.25536805391311646,JointAnomaly,0.007819089107215405,0.48010528087615967,0.6227911582043798,0.34758636351602334,0.25536805391311646,0.7446319460868835,0.7446319460868835,352,288,1.222222,392,"[""WallDamage"", ""Normal"", ""JointAnomaly"", ""Deformation"", ""Roots""]","[0.7354733347892761, 0.25536805391311646, 0.007819089107215405, 0.0005173480021767318, 0.0005095764645375311]","{""Deformation"": 0.0005173480021767318, ""DepositAttachment"": 0.00031268689781427383, ""JointAnomaly"": 0.007819089107215405, ""Normal"": 0.25536805391311646, ""Roots"": 0.0005095764645375311, ""WallDamage"": 0.7354733347892761}"
401,00326802,val,Normal,3,val/Normal/00326802.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Normal\00326802.png,WallDamage,5,0,1,0.9788781404495239,JointAnomaly,0.01647251658141613,Roots,0.0023869681172072887,0.9624056238681078,0.11673358913245784,0.06515025657029191,0.002261427929624915,0.9977385720703751,0.9977385720703751,352,288,1.222222,401,"[""WallDamage"", ""JointAnomaly"", ""Roots"", ""Normal"", ""DepositAttachment""]","[0.9788781404495239, 0.01647251658141613, 0.0023869681172072887, 0.002261427929624915, 7.985080969774572e-07]","{""Deformation"": 2.6705251343628333e-09, ""DepositAttachment"": 7.985080969774572e-07, ""JointAnomaly"": 0.01647251658141613, ""Normal"": 0.002261427929624915, ""Roots"": 0.0023869681172072887, ""WallDamage"": 0.9788781404495239}"
