threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.011667,0.011667,0.0,1.0,7,593,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.091667,0.091667,0.0,1.0,55,545,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.101667,0.101667,0.0,1.0,61,539,0,120
1.0,0.101667,0.101667,0.0,1.0,61,539,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.108333,0.108333,0.0,1.0,65,535,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.115,0.115,0.0,1.0,69,531,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.125,0.125,0.0,1.0,75,525,0,120
1.0,0.125,0.125,0.0,1.0,75,525,0,120
1.0,0.13,0.13,0.0,1.0,78,522,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.14,0.14,0.0,1.0,84,516,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.15,0.15,0.0,1.0,90,510,0,120
1.0,0.151667,0.151667,0.0,1.0,91,509,0,120
1.0,0.153333,0.153333,0.0,1.0,92,508,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.158333,0.158333,0.0,1.0,95,505,0,120
1.0,0.16,0.16,0.0,1.0,96,504,0,120
1.0,0.161667,0.161667,0.0,1.0,97,503,0,120
1.0,0.163333,0.163333,0.0,1.0,98,502,0,120
1.0,0.163333,0.163333,0.0,1.0,98,502,0,120
1.0,0.166667,0.166667,0.0,1.0,100,500,0,120
1.0,0.166667,0.166667,0.0,1.0,100,500,0,120
1.0,0.17,0.17,0.0,1.0,102,498,0,120
1.0,0.171667,0.171667,0.0,1.0,103,497,0,120
1.0,0.173333,0.173333,0.0,1.0,104,496,0,120
1.0,0.173333,0.173333,0.0,1.0,104,496,0,120
1.0,0.175,0.175,0.0,1.0,105,495,0,120
1.0,0.176667,0.176667,0.0,1.0,106,494,0,120
1.0,0.18,0.18,0.0,1.0,108,492,0,120
1.0,0.18,0.18,0.0,1.0,108,492,0,120
1.0,0.183333,0.183333,0.0,1.0,110,490,0,120
1.0,0.183333,0.183333,0.0,1.0,110,490,0,120
1.0,0.186667,0.186667,0.0,1.0,112,488,0,120
1.0,0.186667,0.186667,0.0,1.0,112,488,0,120
1.0,0.19,0.19,0.0,1.0,114,486,0,120
1.0,0.191667,0.191667,0.0,1.0,115,485,0,120
1.0,0.191667,0.191667,0.0,1.0,115,485,0,120
1.0,0.195,0.195,0.0,1.0,117,483,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.198333,0.198333,0.0,1.0,119,481,0,120
1.0,0.2,0.2,0.0,1.0,120,480,0,120
1.0,0.203333,0.203333,0.0,1.0,122,478,0,120
1.0,0.205,0.205,0.0,1.0,123,477,0,120
1.0,0.205,0.205,0.0,1.0,123,477,0,120
1.0,0.208333,0.208333,0.0,1.0,125,475,0,120
1.0,0.208333,0.208333,0.0,1.0,125,475,0,120
1.0,0.21,0.21,0.0,1.0,126,474,0,120
1.0,0.213333,0.213333,0.0,1.0,128,472,0,120
1.0,0.213333,0.213333,0.0,1.0,128,472,0,120
1.0,0.216667,0.216667,0.0,1.0,130,470,0,120
1.0,0.218333,0.218333,0.0,1.0,131,469,0,120
1.0,0.218333,0.218333,0.0,1.0,131,469,0,120
1.0,0.22,0.22,0.0,1.0,132,468,0,120
1.0,0.221667,0.221667,0.0,1.0,133,467,0,120
1.0,0.223333,0.223333,0.0,1.0,134,466,0,120
1.0,0.226667,0.226667,0.0,1.0,136,464,0,120
1.0,0.226667,0.226667,0.0,1.0,136,464,0,120
1.0,0.228333,0.228333,0.0,1.0,137,463,0,120
1.0,0.231667,0.231667,0.0,1.0,139,461,0,120
1.0,0.231667,0.231667,0.0,1.0,139,461,0,120
1.0,0.235,0.235,0.0,1.0,141,459,0,120
