threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,592,8,54,66,0.986667,0.916409,0.55,0.45,0.013333,0.891892,0.913889,0.950241,0.897222,66,54,592,8
0.02,591,9,51,69,0.985,0.920561,0.575,0.425,0.015,0.884615,0.916667,0.951691,0.891667,69,51,591,9
0.03,589,11,46,74,0.981667,0.927559,0.616667,0.383333,0.018333,0.870588,0.920833,0.953846,0.881944,74,46,589,11
0.04,589,11,44,76,0.981667,0.93049,0.633333,0.366667,0.018333,0.873563,0.923611,0.955393,0.879167,76,44,589,11
0.05,589,11,43,77,0.981667,0.931962,0.641667,0.358333,0.018333,0.875,0.925,0.956169,0.877778,77,43,589,11
0.06,589,11,40,80,0.981667,0.936407,0.666667,0.333333,0.018333,0.879121,0.929167,0.958503,0.873611,80,40,589,11
0.07,588,12,39,81,0.98,0.937799,0.675,0.325,0.02,0.870968,0.929167,0.958435,0.870833,81,39,588,12
0.08,587,13,39,81,0.978333,0.9377,0.675,0.325,0.021667,0.861702,0.927778,0.957586,0.869444,81,39,587,13
0.09,585,15,38,82,0.975,0.939005,0.683333,0.316667,0.025,0.845361,0.926389,0.956664,0.865278,82,38,585,15
0.1,584,16,38,82,0.973333,0.938907,0.683333,0.316667,0.026667,0.836735,0.925,0.95581,0.863889,82,38,584,16
0.11,583,17,38,82,0.971667,0.938808,0.683333,0.316667,0.028333,0.828283,0.923611,0.954955,0.8625,82,38,583,17
0.12,583,17,38,82,0.971667,0.938808,0.683333,0.316667,0.028333,0.828283,0.923611,0.954955,0.8625,82,38,583,17
0.13,583,17,38,82,0.971667,0.938808,0.683333,0.316667,0.028333,0.828283,0.923611,0.954955,0.8625,82,38,583,17
0.14,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.15,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.16,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.17,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.18,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.19,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.2,581,19,38,82,0.968333,0.938611,0.683333,0.316667,0.031667,0.811881,0.920833,0.95324,0.859722,82,38,581,19
0.21,581,19,37,83,0.968333,0.940129,0.691667,0.308333,0.031667,0.813725,0.922222,0.954023,0.858333,83,37,581,19
0.22,581,19,37,83,0.968333,0.940129,0.691667,0.308333,0.031667,0.813725,0.922222,0.954023,0.858333,83,37,581,19
0.23,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.24,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.25,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.26,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.27,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.28,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.29,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.3,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.31,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.32,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.33,581,19,36,84,0.968333,0.941653,0.7,0.3,0.031667,0.815534,0.923611,0.954807,0.856944,84,36,581,19
0.34,581,19,35,85,0.968333,0.943182,0.708333,0.291667,0.031667,0.817308,0.925,0.955592,0.855556,85,35,581,19
0.35,581,19,35,85,0.968333,0.943182,0.708333,0.291667,0.031667,0.817308,0.925,0.955592,0.855556,85,35,581,19
0.36,580,20,35,85,0.966667,0.943089,0.708333,0.291667,0.033333,0.809524,0.923611,0.954733,0.854167,85,35,580,20
