epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,0.38809,0.49205,0.82083,1.0,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,74.77888584136963,74.77888584136963,32,1,32,17.320378368,17.320378368,12.145586688,0.91042,0.91042,1,0,0,1
2,0.35389,0.52694,0.81667,1.0,0.006617327586206896,0.006617327586206896,0.006617327586206896,71.00823402404785,145.7881133556366,32,2,64,16.722690048,16.722690048,12.179633664,0.90833,0.91042,1,0,0,0
3,0.3697,0.4797,0.83889,1.0,0.009884742200328407,0.009884742200328407,0.009884742200328407,70.59416079521179,216.38278102874756,32,2,64,16.737370112,16.737370112,12.132506112,0.91944,0.91944,3,0,0,1
4,0.3704,0.46543,0.86111,1.0,0.0098515,0.0098515,0.0098515,70.73745703697205,287.11973786354065,32,2,64,16.722690048,16.722690048,12.180551168,0.93056,0.93056,4,0,0,1
5,0.35915,0.48875,0.85139,1.0,0.009802,0.009802,0.009802,70.41554236412048,357.5342800617218,32,2,64,16.739467264,16.739467264,12.132243968,0.92569,0.93056,4,0,0,0
6,0.33831,0.46729,0.86111,1.0,0.009752499999999999,0.009752499999999999,0.009752499999999999,70.65954971313477,428.1950213909149,32,2,64,16.722690048,16.722690048,12.179633664,0.93056,0.93056,6,0,0,1
7,0.33395,0.44753,0.88611,1.0,0.009703,0.009703,0.009703,70.80679059028625,499.00162053108215,32,2,64,16.737370112,16.737370112,12.133292544,0.94306,0.94306,7,0,0,1
8,0.3106,0.42293,0.89583,1.0,0.009653499999999999,0.009653499999999999,0.009653499999999999,73.28641653060913,572.287036895752,32,2,64,16.722690048,16.722690048,12.179633664,0.94792,0.94792,8,0,0,1
9,0.30149,0.43787,0.89861,1.0,0.009604,0.009604,0.009604,70.67574977874756,642.9637897014618,32,2,64,16.743661568,16.743661568,12.131523072,0.94931,0.94931,9,0,0,1
10,0.298,0.41878,0.9,1.0,0.009554499999999999,0.009554499999999999,0.009554499999999999,70.91787528991699,713.8816647529602,32,2,64,16.722690048,16.722690048,12.18002688,0.95,0.95,10,0,0,1
11,0.28401,0.42175,0.89861,1.0,0.009505,0.009505,0.009505,70.94539952278137,784.8260614871979,32,2,64,16.737370112,16.737370112,12.13270272,0.94931,0.95,10,0,0,0
12,0.28477,0.4314,0.89861,1.0,0.0094555,0.0094555,0.0094555,70.98380064964294,855.8098621368408,32,2,64,16.71430144,16.71430144,12.179633664,0.94931,0.95,10,0,0,0
13,0.28111,0.41925,0.89722,1.0,0.009406,0.009406,0.009406,71.08545660972595,926.8953187465668,32,2,64,16.739467264,16.739467264,12.132243968,0.94861,0.95,10,0,0,0
14,0.26813,0.43445,0.89167,1.0,0.009356500000000002,0.009356500000000002,0.009356500000000002,70.39273405075073,997.2880527973175,32,2,64,16.722690048,16.722690048,12.179633664,0.94583,0.95,10,0,0,0
15,0.26906,0.42926,0.90417,1.0,0.009307,0.009307,0.009307,70.54208946228027,1067.8301422595978,32,2,64,16.737370112,16.737370112,12.133292544,0.95208,0.95208,15,0,0,1
16,0.25313,0.40377,0.91528,1.0,0.0092575,0.0092575,0.0092575,70.73373603820801,1138.5638782978058,32,2,64,16.722690048,16.722690048,12.179633664,0.95764,0.95764,16,0,0,1
17,0.25651,0.41498,0.90694,1.0,0.009208000000000001,0.009208000000000001,0.009208000000000001,70.831946849823,1209.3968253135681,32,2,64,16.743661568,16.743661568,12.131523072,0.95347,0.95764,16,0,0,0
18,0.26421,0.42847,0.90139,1.0,0.0091585,0.0091585,0.0091585,71.01339507102966,1280.4102189540863,32,2,64,16.722690048,16.722690048,12.18002688,0.95069,0.95764,16,0,0,0
