threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,599,1,77,43,0.998333,0.886095,0.358333,0.641667,0.001667,0.977273,0.891667,0.938871,0.938889,43,77,599,1
0.02,599,1,71,49,0.998333,0.89403,0.408333,0.591667,0.001667,0.98,0.9,0.943307,0.930556,49,71,599,1
0.03,597,3,68,52,0.995,0.897744,0.433333,0.566667,0.005,0.945455,0.901389,0.943874,0.923611,52,68,597,3
0.04,597,3,62,58,0.995,0.905918,0.483333,0.516667,0.005,0.95082,0.909722,0.948372,0.915278,58,62,597,3
0.05,597,3,60,60,0.995,0.908676,0.5,0.5,0.005,0.952381,0.9125,0.949881,0.9125,60,60,597,3
0.06,595,5,59,61,0.991667,0.909786,0.508333,0.491667,0.008333,0.924242,0.911111,0.948963,0.908333,61,59,595,5
0.07,595,5,57,63,0.991667,0.912577,0.525,0.475,0.008333,0.926471,0.913889,0.950479,0.905556,63,57,595,5
0.08,595,5,55,65,0.991667,0.915385,0.541667,0.458333,0.008333,0.928571,0.916667,0.952,0.902778,65,55,595,5
0.09,595,5,55,65,0.991667,0.915385,0.541667,0.458333,0.008333,0.928571,0.916667,0.952,0.902778,65,55,595,5
0.1,594,6,53,67,0.99,0.918083,0.558333,0.441667,0.01,0.917808,0.918056,0.952686,0.898611,67,53,594,6
0.11,594,6,51,69,0.99,0.92093,0.575,0.425,0.01,0.92,0.920833,0.954217,0.895833,69,51,594,6
0.12,594,6,51,69,0.99,0.92093,0.575,0.425,0.01,0.92,0.920833,0.954217,0.895833,69,51,594,6
0.13,594,6,50,70,0.99,0.92236,0.583333,0.416667,0.01,0.921053,0.922222,0.954984,0.894444,70,50,594,6
0.14,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.15,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.16,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.17,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.18,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.19,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.2,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.21,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.22,593,7,43,77,0.988333,0.93239,0.641667,0.358333,0.011667,0.916667,0.930556,0.959547,0.883333,77,43,593,7
0.23,593,7,43,77,0.988333,0.93239,0.641667,0.358333,0.011667,0.916667,0.930556,0.959547,0.883333,77,43,593,7
0.24,593,7,42,78,0.988333,0.933858,0.65,0.35,0.011667,0.917647,0.931944,0.960324,0.881944,78,42,593,7
0.25,592,8,42,78,0.986667,0.933754,0.65,0.35,0.013333,0.906977,0.930556,0.959481,0.880556,78,42,592,8
0.26,591,9,42,78,0.985,0.933649,0.65,0.35,0.015,0.896552,0.929167,0.958637,0.879167,78,42,591,9
0.27,591,9,42,78,0.985,0.933649,0.65,0.35,0.015,0.896552,0.929167,0.958637,0.879167,78,42,591,9
0.28,591,9,42,78,0.985,0.933649,0.65,0.35,0.015,0.896552,0.929167,0.958637,0.879167,78,42,591,9
0.29,591,9,42,78,0.985,0.933649,0.65,0.35,0.015,0.896552,0.929167,0.958637,0.879167,78,42,591,9
0.3,591,9,40,80,0.985,0.936609,0.666667,0.333333,0.015,0.898876,0.931944,0.960195,0.876389,80,40,591,9
