gt_label,pred_label,count,rate_within_gt
JointAnomaly,WallDamage,17,0.141667
DepositAttachment,WallDamage,16,0.133333
Roots,JointAnomaly,16,0.133333
WallDamage,DepositAttachment,16,0.133333
JointAnomaly,Roots,14,0.116667
WallDamage,JointAnomaly,14,0.116667
WallDamage,Roots,11,0.091667
Normal,WallDamage,10,0.083333
JointAnomaly,DepositAttachment,9,0.075
DepositAttachment,Deformation,8,0.066667
DepositAttachment,JointAnomaly,8,0.066667
WallDamage,Normal,8,0.066667
Deformation,Normal,7,0.058333
Normal,Deformation,7,0.058333
Normal,DepositAttachment,7,0.058333
DepositAttachment,Normal,6,0.05
Roots,WallDamage,6,0.05
Deformation,DepositAttachment,5,0.041667
Deformation,WallDamage,5,0.041667
DepositAttachment,Roots,5,0.041667
Normal,JointAnomaly,5,0.041667
JointAnomaly,Deformation,3,0.025
Normal,Roots,3,0.025
Roots,DepositAttachment,3,0.025
WallDamage,Deformation,3,0.025
JointAnomaly,Normal,1,0.008333
Roots,Normal,1,0.008333
