epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.51413,1.60872,0.51528,0.97639,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,64.14662528038025,64.14662528038025,32,1,32,13.738442752,13.738442752,9.388191744,0.74583,0.74583,1,0,0,1
2,1.3115,1.55436,0.525,0.97639,0.006617327586206896,0.006617327586206896,0.006617327586206896,60.974114418029785,125.12173771858215,32,2,64,13.765705728,13.765705728,9.413156864,0.75069,0.75069,2,0,0,1
3,1.30429,1.62907,0.41667,0.95694,0.009884742200328407,0.009884742200328407,0.009884742200328407,58.580087423324585,183.70082712173462,32,2,64,13.7887744,13.7887744,9.375766528,0.68681,0.75069,2,0,0,0
4,1.35521,1.60107,0.49028,0.9875,0.0098515,0.0098515,0.0098515,58.65756964683533,242.35938835144043,32,2,64,13.771997184,13.771997184,9.411190784,0.73889,0.75069,2,0,0,0
5,1.28459,1.57699,0.525,0.98889,0.009802,0.009802,0.009802,58.81260085105896,301.1719980239868,32,2,64,13.782482944,13.782482944,9.37360384,0.75694,0.75694,5,0,0,1
6,1.20765,1.55501,0.53472,0.98194,0.009752499999999999,0.009752499999999999,0.009752499999999999,59.71836590766907,360.8903636932373,32,2,64,13.771997184,13.771997184,9.411059712,0.75833,0.75833,6,0,0,1
7,1.1681,1.52433,0.57778,0.99167,0.009703,0.009703,0.009703,72.08132791519165,432.97169184684753,32,2,64,13.7887744,13.7887744,9.373997056,0.78472,0.78472,7,0,0,1
8,1.14622,1.49805,0.58472,0.99028,0.009653499999999999,0.009653499999999999,0.009653499999999999,68.51959609985352,501.4912872314453,32,2,64,13.771997184,13.771997184,9.411190784,0.7875,0.7875,8,0,0,1
9,1.09531,1.53133,0.55972,0.98889,0.009604,0.009604,0.009604,64.02241587638855,565.5127034187317,32,2,64,13.790871552,13.790871552,9.37163776,0.77431,0.7875,8,0,0,0
10,1.08125,1.49219,0.60556,0.99167,0.009554499999999999,0.009554499999999999,0.009554499999999999,61.80393624305725,627.3176324367523,32,2,64,13.771997184,13.771997184,9.411059712,0.79861,0.79861,10,0,0,1
11,1.0321,1.47127,0.625,0.99028,0.009505,0.009505,0.009505,59.990840673446655,687.3084809780121,32,2,64,13.7887744,13.7887744,9.373997056,0.80764,0.80764,11,0,0,1
12,1.02361,1.49202,0.59722,0.99444,0.0094555,0.0094555,0.0094555,71.01053929328918,758.319019317627,32,2,64,13.771997184,13.771997184,9.411190784,0.79583,0.80764,11,0,0,0
13,0.99294,1.4764,0.61389,0.99306,0.009406,0.009406,0.009406,65.66344046592712,823.982456445694,32,2,64,13.7887744,13.7887744,9.37163776,0.80347,0.80764,11,0,0,0
14,0.97957,1.48006,0.62639,0.99306,0.009356500000000002,0.009356500000000002,0.009356500000000002,62.65648341178894,886.6379435062408,32,2,64,13.771997184,13.771997184,9.411059712,0.80972,0.80972,14,0,0,1
15,0.94961,1.45785,0.60694,0.99167,0.009307,0.009307,0.009307,66.72854042053223,953.3674895763397,32,2,64,13.790871552,13.790871552,9.373997056,0.79931,0.80972,14,0,0,0
16,0.92794,1.45036,0.64861,0.99861,0.0092575,0.0092575,0.0092575,62.094701290130615,1015.4611852169037,32,2,64,13.774094336,13.774094336,9.411190784,0.82361,0.82361,16,0,0,1
