threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
1.0,1.0,0.013333,0.026316,8,592,0,120
1.0,1.0,0.066667,0.125,40,560,0,120
1.0,1.0,0.07,0.130841,42,558,0,120
1.0,1.0,0.071667,0.133748,43,557,0,120
1.0,1.0,0.073333,0.136646,44,556,0,120
1.0,1.0,0.078333,0.145286,47,553,0,120
1.0,1.0,0.081667,0.151002,49,551,0,120
1.0,1.0,0.083333,0.153846,50,550,0,120
1.0,1.0,0.085,0.156682,51,549,0,120
1.0,1.0,0.088333,0.162328,53,547,0,120
1.0,1.0,0.088333,0.162328,53,547,0,120
1.0,1.0,0.091667,0.167939,55,545,0,120
1.0,1.0,0.095,0.173516,57,543,0,120
1.0,1.0,0.096667,0.176292,58,542,0,120
1.0,1.0,0.096667,0.176292,58,542,0,120
1.0,1.0,0.098333,0.179059,59,541,0,120
1.0,1.0,0.1,0.181818,60,540,0,120
1.0,1.0,0.103333,0.187311,62,538,0,120
1.0,1.0,0.105,0.190045,63,537,0,120
1.0,1.0,0.105,0.190045,63,537,0,120
1.0,1.0,0.108333,0.195489,65,535,0,120
1.0,1.0,0.11,0.198198,66,534,0,120
1.0,1.0,0.11,0.198198,66,534,0,120
1.0,1.0,0.111667,0.2009,67,533,0,120
1.0,1.0,0.115,0.206278,69,531,0,120
1.0,1.0,0.115,0.206278,69,531,0,120
1.0,1.0,0.116667,0.208955,70,530,0,120
1.0,1.0,0.118333,0.211624,71,529,0,120
1.0,1.0,0.12,0.214286,72,528,0,120
1.0,1.0,0.123333,0.219585,74,526,0,120
1.0,1.0,0.125,0.222222,75,525,0,120
1.0,1.0,0.125,0.222222,75,525,0,120
1.0,1.0,0.128333,0.227474,77,523,0,120
1.0,1.0,0.128333,0.227474,77,523,0,120
1.0,1.0,0.131667,0.232695,79,521,0,120
1.0,1.0,0.133333,0.235294,80,520,0,120
1.0,1.0,0.135,0.237885,81,519,0,120
1.0,1.0,0.136667,0.240469,82,518,0,120
1.0,1.0,0.136667,0.240469,82,518,0,120
1.0,1.0,0.138333,0.243045,83,517,0,120
1.0,1.0,0.141667,0.248175,85,515,0,120
1.0,1.0,0.141667,0.248175,85,515,0,120
1.0,1.0,0.145,0.253275,87,513,0,120
1.0,1.0,0.145,0.253275,87,513,0,120
1.0,1.0,0.148333,0.258345,89,511,0,120
1.0,1.0,0.15,0.26087,90,510,0,120
1.0,1.0,0.15,0.26087,90,510,0,120
1.0,1.0,0.153333,0.265896,92,508,0,120
1.0,1.0,0.155,0.268398,93,507,0,120
1.0,1.0,0.156667,0.270893,94,506,0,120
1.0,1.0,0.158333,0.273381,95,505,0,120
1.0,1.0,0.158333,0.273381,95,505,0,120
1.0,1.0,0.161667,0.278336,97,503,0,120
1.0,1.0,0.163333,0.280802,98,502,0,120
1.0,1.0,0.165,0.283262,99,501,0,120
1.0,1.0,0.166667,0.285714,100,500,0,120
1.0,1.0,0.166667,0.285714,100,500,0,120
1.0,1.0,0.17,0.290598,102,498,0,120
1.0,1.0,0.17,0.290598,102,498,0,120
1.0,1.0,0.173333,0.295455,104,496,0,120
1.0,1.0,0.173333,0.295455,104,496,0,120
1.0,1.0,0.176667,0.300283,106,494,0,120
1.0,1.0,0.176667,0.300283,106,494,0,120
1.0,1.0,0.18,0.305085,108,492,0,120
1.0,1.0,0.181667,0.307475,109,491,0,120
1.0,1.0,0.181667,0.307475,109,491,0,120
1.0,1.0,0.185,0.312236,111,489,0,120
1.0,1.0,0.185,0.312236,111,489,0,120
1.0,1.0,0.188333,0.316971,113,487,0,120
1.0,1.0,0.19,0.319328,114,486,0,120
1.0,1.0,0.191667,0.321678,115,485,0,120
1.0,1.0,0.191667,0.321678,115,485,0,120
1.0,1.0,0.193333,0.324022,116,484,0,120
1.0,1.0,0.195,0.32636,117,483,0,120
1.0,1.0,0.198333,0.331015,119,481,0,120
1.0,1.0,0.2,0.333333,120,480,0,120
1.0,1.0,0.201667,0.335645,121,479,0,120
1.0,1.0,0.201667,0.335645,121,479,0,120
1.0,1.0,0.203333,0.33795,122,478,0,120
1.0,1.0,0.206667,0.342541,124,476,0,120
1.0,1.0,0.206667,0.342541,124,476,0,120
1.0,1.0,0.208333,0.344828,125,475,0,120
1.0,1.0,0.211667,0.349381,127,473,0,120
1.0,1.0,0.213333,0.351648,128,472,0,120
1.0,1.0,0.213333,0.351648,128,472,0,120
1.0,1.0,0.216667,0.356164,130,470,0,120
1.0,1.0,0.216667,0.356164,130,470,0,120
1.0,1.0,0.22,0.360656,132,468,0,120
1.0,1.0,0.221667,0.362892,133,467,0,120
1.0,1.0,0.223333,0.365123,134,466,0,120
1.0,1.0,0.223333,0.365123,134,466,0,120
1.0,1.0,0.225,0.367347,135,465,0,120
1.0,1.0,0.228333,0.371777,137,463,0,120
1.0,1.0,0.23,0.373984,138,462,0,120
1.0,1.0,0.23,0.373984,138,462,0,120
1.0,1.0,0.233333,0.378378,140,460,0,120
1.0,1.0,0.233333,0.378378,140,460,0,120
1.0,1.0,0.235,0.380567,141,459,0,120
1.0,1.0,0.238333,0.384926,143,457,0,120
1.0,1.0,0.238333,0.384926,143,457,0,120
1.0,1.0,0.24,0.387097,144,456,0,120
1.0,1.0,0.243333,0.391421,146,454,0,120
1.0,1.0,0.245,0.393574,147,453,0,120
1.0,1.0,0.246667,0.395722,148,452,0,120
1.0,1.0,0.248333,0.397864,149,451,0,120
1.0,1.0,0.248333,0.397864,149,451,0,120
1.0,1.0,0.25,0.4,150,450,0,120
1.0,1.0,0.251667,0.40213,151,449,0,120
1.0,1.0,0.255,0.406375,153,447,0,120
1.0,1.0,0.255,0.406375,153,447,0,120
1.0,1.0,0.258333,0.410596,155,445,0,120
1.0,1.0,0.258333,0.410596,155,445,0,120
1.0,1.0,0.26,0.412698,156,444,0,120
1.0,1.0,0.263333,0.416887,158,442,0,120
1.0,1.0,0.263333,0.416887,158,442,0,120
1.0,1.0,0.265,0.418972,159,441,0,120
1.0,1.0,0.266667,0.421053,160,440,0,120
1.0,1.0,0.27,0.425197,162,438,0,120
1.0,1.0,0.27,0.425197,162,438,0,120
1.0,1.0,0.271667,0.427261,163,437,0,120
1.0,1.0,0.273333,0.429319,164,436,0,120
1.0,1.0,0.275,0.431373,165,435,0,120
1.0,1.0,0.276667,0.43342,166,434,0,120
1.0,1.0,0.28,0.4375,168,432,0,120
1.0,1.0,0.28,0.4375,168,432,0,120
1.0,1.0,0.283333,0.441558,170,430,0,120
1.0,1.0,0.283333,0.441558,170,430,0,120
1.0,1.0,0.285,0.44358,171,429,0,120
1.0,1.0,0.288333,0.447607,173,427,0,120
1.0,1.0,0.29,0.449612,174,426,0,120
1.0,1.0,0.29,0.449612,174,426,0,120
1.0,1.0,0.291667,0.451613,175,425,0,120
1.0,1.0,0.293333,0.453608,176,424,0,120
1.0,1.0,0.295,0.455598,177,423,0,120
1.0,1.0,0.296667,0.457584,178,422,0,120
1.0,1.0,0.3,0.461538,180,420,0,120
1.0,1.0,0.3,0.461538,180,420,0,120
1.0,1.0,0.301667,0.463508,181,419,0,120
1.0,1.0,0.305,0.467433,183,417,0,120
1.0,1.0,0.305,0.467433,183,417,0,120
1.0,1.0,0.306667,0.469388,184,416,0,120
1.0,1.0,0.31,0.473282,186,414,0,120
1.0,1.0,0.31,0.473282,186,414,0,120
1.0,1.0,0.313333,0.477157,188,412,0,120
1.0,1.0,0.315,0.479087,189,411,0,120
1.0,1.0,0.315,0.479087,189,411,0,120
1.0,1.0,0.318333,0.482933,191,409,0,120
1.0,1.0,0.318333,0.482933,191,409,0,120
1.0,1.0,0.321667,0.486759,193,407,0,120
1.0,1.0,0.321667,0.486759,193,407,0,120
1.0,1.0,0.325,0.490566,195,405,0,120
1.0,1.0,0.326667,0.492462,196,404,0,120
1.0,1.0,0.328333,0.494354,197,403,0,120
1.0,1.0,0.33,0.496241,198,402,0,120
1.0,1.0,0.331667,0.498123,199,401,0,120
1.0,1.0,0.331667,0.498123,199,401,0,120
1.0,1.0,0.333333,0.5,200,400,0,120
1.0,1.0,0.335,0.501873,201,399,0,120
1.0,1.0,0.336667,0.503741,202,398,0,120
1.0,1.0,0.338333,0.505604,203,397,0,120
1.0,1.0,0.34,0.507463,204,396,0,120
1.0,1.0,0.343333,0.511166,206,394,0,120
1.0,1.0,0.343333,0.511166,206,394,0,120
1.0,1.0,0.345,0.513011,207,393,0,120
1.0,1.0,0.346667,0.514851,208,392,0,120
1.0,1.0,0.348333,0.516687,209,391,0,120
1.0,1.0,0.35,0.518519,210,390,0,120
1.0,1.0,0.351667,0.520345,211,389,0,120
1.0,1.0,0.353333,0.522167,212,388,0,120
1.0,0.995305,0.353333,0.521525,212,388,1,119
1.0,0.995327,0.355,0.523342,213,387,1,119
1.0,0.99537,0.358333,0.526961,215,385,1,119
1.0,0.995392,0.36,0.528764,216,384,1,119
1.0,0.995392,0.36,0.528764,216,384,1,119
1.0,0.995434,0.363333,0.532357,218,382,1,119
1.0,0.995434,0.363333,0.532357,218,382,1,119
1.0,0.995455,0.365,0.534146,219,381,1,119
1.0,0.995495,0.368333,0.537713,221,379,1,119
1.0,0.995495,0.368333,0.537713,221,379,1,119
1.0,0.995536,0.371667,0.541262,223,377,1,119
1.0,0.995556,0.373333,0.54303,224,376,1,119
1.0,0.995575,0.375,0.544794,225,375,1,119
1.0,0.995595,0.376667,0.546554,226,374,1,119
1.0,0.995595,0.376667,0.546554,226,374,1,119
1.0,0.995633,0.38,0.55006,228,372,1,119
1.0,0.995633,0.38,0.55006,228,372,1,119
1.0,0.995671,0.383333,0.55355,230,370,1,119
1.0,0.99569,0.385,0.555288,231,369,1,119
0.999999,0.995708,0.386667,0.557023,232,368,1,119
0.999999,0.995726,0.388333,0.558753,233,367,1,119
0.999999,0.995726,0.388333,0.558753,233,367,1,119
0.999999,0.995745,0.39,0.560479,234,366,1,119
0.999999,0.995763,0.391667,0.562201,235,365,1,119
0.999999,0.995781,0.393333,0.563919,236,364,1,119
0.999999,0.995798,0.395,0.565632,237,363,1,119
0.999999,0.995816,0.396667,0.567342,238,362,1,119
0.999999,0.995851,0.4,0.570749,240,360,1,119
0.999999,0.995851,0.4,0.570749,240,360,1,119
0.999999,0.995885,0.403333,0.57414,242,358,1,119
0.999999,0.995885,0.403333,0.57414,242,358,1,119
0.999999,0.995902,0.405,0.575829,243,357,1,119
