                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5141,                0.51528,                0.97639,                 1.6087,              0.0033169,              0.0033169,              0.0033169
                      2,                 1.3115,                  0.525,                0.97639,                 1.5544,              0.0066173,              0.0066173,              0.0066173
                      3,                 1.3043,                0.41667,                0.95694,                 1.6291,              0.0098847,              0.0098847,              0.0098847
                      4,                 1.3552,                0.49028,                 0.9875,                 1.6011,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2846,                  0.525,                0.98889,                  1.577,               0.009802,               0.009802,               0.009802
                      6,                 1.2076,                0.53472,                0.98194,                  1.555,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1681,                0.57778,                0.99167,                 1.5243,               0.009703,               0.009703,               0.009703
                      8,                 1.1462,                0.58472,                0.99028,                 1.4981,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0953,                0.55972,                0.98889,                 1.5313,               0.009604,               0.009604,               0.009604
                     10,                 1.0813,                0.60556,                0.99167,                 1.4922,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0321,                  0.625,                0.99028,                 1.4713,               0.009505,               0.009505,               0.009505
                     12,                 1.0236,                0.59722,                0.99444,                  1.492,              0.0094555,              0.0094555,              0.0094555
                     13,                0.99294,                0.61389,                0.99306,                 1.4764,               0.009406,               0.009406,               0.009406
                     14,                0.97957,                0.62639,                0.99306,                 1.4801,              0.0093565,              0.0093565,              0.0093565
                     15,                0.94961,                0.60694,                0.99167,                 1.4579,               0.009307,               0.009307,               0.009307
                     16,                0.92794,                0.64861,                0.99861,                 1.4504,              0.0092575,              0.0092575,              0.0092575
                     17,                 0.9195,                0.62361,                0.99306,                 1.4612,               0.009208,               0.009208,               0.009208
                     18,                0.90883,                0.62639,                0.99028,                 1.4659,              0.0091585,              0.0091585,              0.0091585
                     19,                0.87971,                0.64028,                0.99444,                  1.454,               0.009109,               0.009109,               0.009109
