threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,598,2,87,33,0.996667,0.872993,0.275,0.725,0.003333,0.942857,0.876389,0.930739,0.951389,33,87,598,2
0.02,598,2,76,44,0.996667,0.88724,0.366667,0.633333,0.003333,0.956522,0.891667,0.938776,0.936111,44,76,598,2
0.03,597,3,73,47,0.995,0.891045,0.391667,0.608333,0.005,0.94,0.894444,0.940157,0.930556,47,73,597,3
0.04,597,3,70,50,0.995,0.895052,0.416667,0.583333,0.005,0.943396,0.898611,0.942384,0.926389,50,70,597,3
0.05,597,3,69,51,0.995,0.896396,0.425,0.575,0.005,0.944444,0.9,0.943128,0.925,51,69,597,3
0.06,597,3,65,55,0.995,0.901813,0.458333,0.541667,0.005,0.948276,0.905556,0.946117,0.919444,55,65,597,3
0.07,597,3,65,55,0.995,0.901813,0.458333,0.541667,0.005,0.948276,0.905556,0.946117,0.919444,55,65,597,3
0.08,597,3,62,58,0.995,0.905918,0.483333,0.516667,0.005,0.95082,0.909722,0.948372,0.915278,58,62,597,3
0.09,596,4,62,58,0.993333,0.905775,0.483333,0.516667,0.006667,0.935484,0.908333,0.947536,0.913889,58,62,596,4
0.1,596,4,61,59,0.993333,0.907154,0.491667,0.508333,0.006667,0.936508,0.909722,0.94829,0.9125,59,61,596,4
0.11,596,4,61,59,0.993333,0.907154,0.491667,0.508333,0.006667,0.936508,0.909722,0.94829,0.9125,59,61,596,4
0.12,596,4,58,62,0.993333,0.911315,0.516667,0.483333,0.006667,0.939394,0.913889,0.950558,0.908333,62,58,596,4
0.13,596,4,56,64,0.993333,0.91411,0.533333,0.466667,0.006667,0.941176,0.916667,0.952077,0.905556,64,56,596,4
0.14,596,4,53,67,0.993333,0.918336,0.558333,0.441667,0.006667,0.943662,0.920833,0.954363,0.901389,67,53,596,4
0.15,596,4,51,69,0.993333,0.921175,0.575,0.425,0.006667,0.945205,0.923611,0.955894,0.898611,69,51,596,4
0.16,596,4,50,70,0.993333,0.922601,0.583333,0.416667,0.006667,0.945946,0.925,0.956661,0.897222,70,50,596,4
0.17,596,4,48,72,0.993333,0.925466,0.6,0.4,0.006667,0.947368,0.927778,0.958199,0.894444,72,48,596,4
0.18,596,4,48,72,0.993333,0.925466,0.6,0.4,0.006667,0.947368,0.927778,0.958199,0.894444,72,48,596,4
0.19,596,4,48,72,0.993333,0.925466,0.6,0.4,0.006667,0.947368,0.927778,0.958199,0.894444,72,48,596,4
0.2,595,5,48,72,0.991667,0.92535,0.6,0.4,0.008333,0.935065,0.926389,0.957361,0.893056,72,48,595,5
0.21,595,5,48,72,0.991667,0.92535,0.6,0.4,0.008333,0.935065,0.926389,0.957361,0.893056,72,48,595,5
0.22,594,6,47,73,0.99,0.926677,0.608333,0.391667,0.01,0.924051,0.926389,0.957293,0.890278,73,47,594,6
0.23,594,6,46,74,0.99,0.928125,0.616667,0.383333,0.01,0.925,0.927778,0.958065,0.888889,74,46,594,6
0.24,593,7,46,74,0.988333,0.928013,0.616667,0.383333,0.011667,0.91358,0.926389,0.957224,0.8875,74,46,593,7
0.25,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.26,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.27,592,8,45,75,0.986667,0.929356,0.625,0.375,0.013333,0.903614,0.926389,0.957154,0.884722,75,45,592,8
0.28,592,8,45,75,0.986667,0.929356,0.625,0.375,0.013333,0.903614,0.926389,0.957154,0.884722,75,45,592,8
0.29,592,8,45,75,0.986667,0.929356,0.625,0.375,0.013333,0.903614,0.926389,0.957154,0.884722,75,45,592,8
0.3,591,9,45,75,0.985,0.929245,0.625,0.375,0.015,0.892857,0.925,0.956311,0.883333,75,45,591,9
0.31,591,9,44,76,0.985,0.930709,0.633333,0.366667,0.015,0.894118,0.926389,0.957085,0.881944,76,44,591,9
0.32,590,10,42,78,0.983333,0.933544,0.65,0.35,0.016667,0.886364,0.927778,0.957792,0.877778,78,42,590,10
0.33,590,10,41,79,0.983333,0.935024,0.658333,0.341667,0.016667,0.88764,0.929167,0.95857,0.876389,79,41,590,10
0.34,590,10,41,79,0.983333,0.935024,0.658333,0.341667,0.016667,0.88764,0.929167,0.95857,0.876389,79,41,590,10
0.35,589,11,40,80,0.981667,0.936407,0.666667,0.333333,0.018333,0.879121,0.929167,0.958503,0.873611,80,40,589,11
0.36,589,11,39,81,0.981667,0.937898,0.675,0.325,0.018333,0.880435,0.930556,0.959283,0.872222,81,39,589,11
0.37,589,11,39,81,0.981667,0.937898,0.675,0.325,0.018333,0.880435,0.930556,0.959283,0.872222,81,39,589,11
0.38,589,11,38,82,0.981667,0.939394,0.683333,0.316667,0.018333,0.88172,0.931944,0.960065,0.870833,82,38,589,11
0.39,589,11,38,82,0.981667,0.939394,0.683333,0.316667,0.018333,0.88172,0.931944,0.960065,0.870833,82,38,589,11
0.4,588,12,38,82,0.98,0.939297,0.683333,0.316667,0.02,0.87234,0.930556,0.959217,0.869444,82,38,588,12
0.41,588,12,38,82,0.98,0.939297,0.683333,0.316667,0.02,0.87234,0.930556,0.959217,0.869444,82,38,588,12
0.42,588,12,36,84,0.98,0.942308,0.7,0.3,0.02,0.875,0.933333,0.960784,0.866667,84,36,588,12
0.43,588,12,36,84,0.98,0.942308,0.7,0.3,0.02,0.875,0.933333,0.960784,0.866667,84,36,588,12
0.44,588,12,34,86,0.98,0.945338,0.716667,0.283333,0.02,0.877551,0.936111,0.962357,0.863889,86,34,588,12
0.45,587,13,33,87,0.978333,0.946774,0.725,0.275,0.021667,0.87,0.936111,0.962295,0.861111,87,33,587,13
0.46,586,14,33,87,0.976667,0.946688,0.725,0.275,0.023333,0.861386,0.934722,0.961444,0.859722,87,33,586,14
0.47,586,14,32,88,0.976667,0.94822,0.733333,0.266667,0.023333,0.862745,0.936111,0.962233,0.858333,88,32,586,14
0.48,585,15,32,88,0.975,0.948136,0.733333,0.266667,0.025,0.854369,0.934722,0.96138,0.856944,88,32,585,15
0.49,585,15,32,88,0.975,0.948136,0.733333,0.266667,0.025,0.854369,0.934722,0.96138,0.856944,88,32,585,15
0.5,585,15,32,88,0.975,0.948136,0.733333,0.266667,0.025,0.854369,0.934722,0.96138,0.856944,88,32,585,15
0.51,585,15,32,88,0.975,0.948136,0.733333,0.266667,0.025,0.854369,0.934722,0.96138,0.856944,88,32,585,15
0.52,585,15,31,89,0.975,0.949675,0.741667,0.258333,0.025,0.855769,0.936111,0.962171,0.855556,89,31,585,15
0.53,585,15,31,89,0.975,0.949675,0.741667,0.258333,0.025,0.855769,0.936111,0.962171,0.855556,89,31,585,15
0.54,585,15,31,89,0.975,0.949675,0.741667,0.258333,0.025,0.855769,0.936111,0.962171,0.855556,89,31,585,15
0.55,585,15,31,89,0.975,0.949675,0.741667,0.258333,0.025,0.855769,0.936111,0.962171,0.855556,89,31,585,15
0.56,585,15,30,90,0.975,0.95122,0.75,0.25,0.025,0.857143,0.9375,0.962963,0.854167,90,30,585,15
0.57,584,16,30,90,0.973333,0.95114,0.75,0.25,0.026667,0.849057,0.936111,0.962109,0.852778,90,30,584,16
0.58,581,19,30,90,0.968333,0.9509,0.75,0.25,0.031667,0.825688,0.931944,0.959538,0.848611,90,30,581,19
0.59,580,20,30,90,0.966667,0.95082,0.75,0.25,0.033333,0.818182,0.930556,0.958678,0.847222,90,30,580,20
0.6,579,21,30,90,0.965,0.950739,0.75,0.25,0.035,0.810811,0.929167,0.957816,0.845833,90,30,579,21
0.61,576,24,30,90,0.96,0.950495,0.75,0.25,0.04,0.789474,0.925,0.955224,0.841667,90,30,576,24
0.62,576,24,30,90,0.96,0.950495,0.75,0.25,0.04,0.789474,0.925,0.955224,0.841667,90,30,576,24
0.63,575,25,29,91,0.958333,0.951987,0.758333,0.241667,0.041667,0.784483,0.925,0.95515,0.838889,91,29,575,25
0.64,575,25,29,91,0.958333,0.951987,0.758333,0.241667,0.041667,0.784483,0.925,0.95515,0.838889,91,29,575,25
0.65,575,25,29,91,0.958333,0.951987,0.758333,0.241667,0.041667,0.784483,0.925,0.95515,0.838889,91,29,575,25
0.66,572,28,29,91,0.953333,0.951747,0.758333,0.241667,0.046667,0.764706,0.920833,0.95254,0.834722,91,29,572,28
0.67,572,28,29,91,0.953333,0.951747,0.758333,0.241667,0.046667,0.764706,0.920833,0.95254,0.834722,91,29,572,28
0.68,570,30,28,92,0.95,0.953177,0.766667,0.233333,0.05,0.754098,0.919444,0.951586,0.830556,92,28,570,30
0.69,570,30,28,92,0.95,0.953177,0.766667,0.233333,0.05,0.754098,0.919444,0.951586,0.830556,92,28,570,30
0.7,570,30,28,92,0.95,0.953177,0.766667,0.233333,0.05,0.754098,0.919444,0.951586,0.830556,92,28,570,30
0.71,569,31,27,93,0.948333,0.954698,0.775,0.225,0.051667,0.75,0.919444,0.951505,0.827778,93,27,569,31
0.72,569,31,27,93,0.948333,0.954698,0.775,0.225,0.051667,0.75,0.919444,0.951505,0.827778,93,27,569,31
0.73,567,33,27,93,0.945,0.954545,0.775,0.225,0.055,0.738095,0.916667,0.949749,0.825,93,27,567,33
