threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,417,3,54,30,0.992857,0.88535,0.357143,0.642857,0.007143,0.909091,0.886905,0.936027,0.934524,30,54,417,3
0.02,416,4,51,33,0.990476,0.890792,0.392857,0.607143,0.009524,0.891892,0.890873,0.937993,0.926587,33,51,416,4
0.03,415,5,49,35,0.988095,0.894397,0.416667,0.583333,0.011905,0.875,0.892857,0.938914,0.920635,35,49,415,5
0.04,412,8,42,42,0.980952,0.907489,0.5,0.5,0.019048,0.84,0.900794,0.942792,0.900794,42,42,412,8
0.05,412,8,41,43,0.980952,0.909492,0.511905,0.488095,0.019048,0.843137,0.902778,0.943872,0.89881,43,41,412,8
0.06,411,9,41,43,0.978571,0.909292,0.511905,0.488095,0.021429,0.826923,0.900794,0.942661,0.896825,43,41,411,9
0.07,411,9,39,45,0.978571,0.913333,0.535714,0.464286,0.021429,0.833333,0.904762,0.944828,0.892857,45,39,411,9
0.08,411,9,39,45,0.978571,0.913333,0.535714,0.464286,0.021429,0.833333,0.904762,0.944828,0.892857,45,39,411,9
0.09,410,10,38,46,0.97619,0.915179,0.547619,0.452381,0.02381,0.821429,0.904762,0.9447,0.888889,46,38,410,10
0.1,409,11,38,46,0.97381,0.914989,0.547619,0.452381,0.02619,0.807018,0.902778,0.943483,0.886905,46,38,409,11
0.11,409,11,38,46,0.97381,0.914989,0.547619,0.452381,0.02619,0.807018,0.902778,0.943483,0.886905,46,38,409,11
0.12,409,11,36,48,0.97381,0.919101,0.571429,0.428571,0.02619,0.813559,0.906746,0.945665,0.882937,48,36,409,11
0.13,409,11,36,48,0.97381,0.919101,0.571429,0.428571,0.02619,0.813559,0.906746,0.945665,0.882937,48,36,409,11
0.14,409,11,36,48,0.97381,0.919101,0.571429,0.428571,0.02619,0.813559,0.906746,0.945665,0.882937,48,36,409,11
0.15,409,11,36,48,0.97381,0.919101,0.571429,0.428571,0.02619,0.813559,0.906746,0.945665,0.882937,48,36,409,11
0.16,409,11,35,49,0.97381,0.921171,0.583333,0.416667,0.02619,0.816667,0.90873,0.946759,0.880952,49,35,409,11
0.17,409,11,34,50,0.97381,0.923251,0.595238,0.404762,0.02619,0.819672,0.910714,0.947856,0.878968,50,34,409,11
0.18,409,11,34,50,0.97381,0.923251,0.595238,0.404762,0.02619,0.819672,0.910714,0.947856,0.878968,50,34,409,11
0.19,407,13,34,50,0.969048,0.922902,0.595238,0.404762,0.030952,0.793651,0.906746,0.945412,0.875,50,34,407,13
0.2,407,13,34,50,0.969048,0.922902,0.595238,0.404762,0.030952,0.793651,0.906746,0.945412,0.875,50,34,407,13
0.21,407,13,34,50,0.969048,0.922902,0.595238,0.404762,0.030952,0.793651,0.906746,0.945412,0.875,50,34,407,13
0.22,406,14,33,51,0.966667,0.924829,0.607143,0.392857,0.033333,0.784615,0.906746,0.945285,0.871032,51,33,406,14
0.23,406,14,33,51,0.966667,0.924829,0.607143,0.392857,0.033333,0.784615,0.906746,0.945285,0.871032,51,33,406,14
0.24,406,14,33,51,0.966667,0.924829,0.607143,0.392857,0.033333,0.784615,0.906746,0.945285,0.871032,51,33,406,14
0.25,406,14,33,51,0.966667,0.924829,0.607143,0.392857,0.033333,0.784615,0.906746,0.945285,0.871032,51,33,406,14
0.26,406,14,33,51,0.966667,0.924829,0.607143,0.392857,0.033333,0.784615,0.906746,0.945285,0.871032,51,33,406,14
0.27,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.28,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.29,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.3,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.31,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.32,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.33,406,14,32,52,0.966667,0.926941,0.619048,0.380952,0.033333,0.787879,0.90873,0.946387,0.869048,52,32,406,14
0.34,406,14,31,53,0.966667,0.929062,0.630952,0.369048,0.033333,0.791045,0.910714,0.947491,0.867063,53,31,406,14
0.35,406,14,31,53,0.966667,0.929062,0.630952,0.369048,0.033333,0.791045,0.910714,0.947491,0.867063,53,31,406,14
0.36,406,14,30,54,0.966667,0.931193,0.642857,0.357143,0.033333,0.794118,0.912698,0.948598,0.865079,54,30,406,14
0.37,406,14,27,57,0.966667,0.937644,0.678571,0.321429,0.033333,0.802817,0.918651,0.951934,0.859127,57,27,406,14
0.38,406,14,27,57,0.966667,0.937644,0.678571,0.321429,0.033333,0.802817,0.918651,0.951934,0.859127,57,27,406,14
0.39,406,14,25,59,0.966667,0.941995,0.702381,0.297619,0.033333,0.808219,0.922619,0.954172,0.855159,59,25,406,14
0.4,406,14,25,59,0.966667,0.941995,0.702381,0.297619,0.033333,0.808219,0.922619,0.954172,0.855159,59,25,406,14
0.41,406,14,25,59,0.966667,0.941995,0.702381,0.297619,0.033333,0.808219,0.922619,0.954172,0.855159,59,25,406,14
0.42,405,15,25,59,0.964286,0.94186,0.702381,0.297619,0.035714,0.797297,0.920635,0.952941,0.853175,59,25,405,15
0.43,405,15,24,60,0.964286,0.944056,0.714286,0.285714,0.035714,0.8,0.922619,0.954064,0.85119,60,24,405,15
0.44,405,15,24,60,0.964286,0.944056,0.714286,0.285714,0.035714,0.8,0.922619,0.954064,0.85119,60,24,405,15
0.45,405,15,24,60,0.964286,0.944056,0.714286,0.285714,0.035714,0.8,0.922619,0.954064,0.85119,60,24,405,15
