threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
0.02,420,0,71,13,1.0,0.855397,0.154762,0.845238,0.0,1.0,0.859127,0.922064,0.974206,13,71,420,0
0.03,420,0,69,15,1.0,0.858896,0.178571,0.821429,0.0,1.0,0.863095,0.924092,0.970238,15,69,420,0
0.04,420,0,67,17,1.0,0.862423,0.202381,0.797619,0.0,1.0,0.867063,0.92613,0.96627,17,67,420,0
0.05,420,0,65,19,1.0,0.865979,0.22619,0.77381,0.0,1.0,0.871032,0.928177,0.962302,19,65,420,0
0.06,420,0,62,22,1.0,0.871369,0.261905,0.738095,0.0,1.0,0.876984,0.931264,0.956349,22,62,420,0
0.07,419,1,60,24,0.997619,0.874739,0.285714,0.714286,0.002381,0.96,0.878968,0.932147,0.950397,24,60,419,1
0.08,419,1,59,25,0.997619,0.876569,0.297619,0.702381,0.002381,0.961538,0.880952,0.933185,0.948413,25,59,419,1
0.09,419,1,57,27,0.997619,0.880252,0.321429,0.678571,0.002381,0.964286,0.884921,0.935268,0.944444,27,57,419,1
0.1,419,1,56,28,0.997619,0.882105,0.333333,0.666667,0.002381,0.965517,0.886905,0.936313,0.94246,28,56,419,1
0.11,418,2,56,28,0.995238,0.881857,0.333333,0.666667,0.004762,0.933333,0.884921,0.935123,0.940476,28,56,418,2
0.12,417,3,55,29,0.992857,0.883475,0.345238,0.654762,0.007143,0.90625,0.884921,0.934978,0.936508,29,55,417,3
0.13,417,3,54,30,0.992857,0.88535,0.357143,0.642857,0.007143,0.909091,0.886905,0.936027,0.934524,30,54,417,3
0.14,417,3,52,32,0.992857,0.889126,0.380952,0.619048,0.007143,0.914286,0.890873,0.938133,0.930556,32,52,417,3
0.15,417,3,52,32,0.992857,0.889126,0.380952,0.619048,0.007143,0.914286,0.890873,0.938133,0.930556,32,52,417,3
0.16,417,3,51,33,0.992857,0.891026,0.392857,0.607143,0.007143,0.916667,0.892857,0.939189,0.928571,33,51,417,3
0.17,416,4,51,33,0.990476,0.890792,0.392857,0.607143,0.009524,0.891892,0.890873,0.937993,0.926587,33,51,416,4
0.18,416,4,50,34,0.990476,0.892704,0.404762,0.595238,0.009524,0.894737,0.892857,0.939052,0.924603,34,50,416,4
0.19,416,4,50,34,0.990476,0.892704,0.404762,0.595238,0.009524,0.894737,0.892857,0.939052,0.924603,34,50,416,4
0.2,415,5,48,36,0.988095,0.896328,0.428571,0.571429,0.011905,0.878049,0.894841,0.939977,0.918651,36,48,415,5
0.21,414,6,45,39,0.985714,0.901961,0.464286,0.535714,0.014286,0.866667,0.89881,0.94198,0.910714,39,45,414,6
