gt_label,pred_label,count,rate_within_gt
Roots,JointAnomaly,22,0.183333
JointAnomaly,WallDamage,20,0.166667
WallDamage,DepositAttachment,19,0.158333
WallDamage,JointAnomaly,14,0.116667
DepositAttachment,JointAnomaly,13,0.108333
Normal,WallDamage,12,0.1
DepositAttachment,Deformation,10,0.083333
WallDamage,Roots,10,0.083333
Deformation,Normal,9,0.075
JointAnomaly,Roots,9,0.075
Normal,Deformation,9,0.075
Roots,WallDamage,9,0.075
DepositAttachment,Normal,8,0.066667
DepositAttachment,WallDamage,8,0.066667
JointAnomaly,DepositAttachment,8,0.066667
Normal,JointAnomaly,6,0.05
WallDamage,Normal,5,0.041667
Deformation,JointAnomaly,4,0.033333
Deformation,WallDamage,4,0.033333
DepositAttachment,Roots,4,0.033333
Normal,DepositAttachment,4,0.033333
Normal,Roots,4,0.033333
Roots,DepositAttachment,4,0.033333
Deformation,DepositAttachment,3,0.025
JointAnomaly,Deformation,3,0.025
JointAnomaly,Normal,2,0.016667
WallDamage,Deformation,2,0.016667
