epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.51413,1.60872,0.51528,0.97639,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,62.29663133621216,62.29763150215149,32,1,32,13.738442752,13.738442752,9.388191744,0.74583,0.74583,1,0,0,1
2,1.31275,1.58114,0.46389,0.97639,0.006584408866995074,0.006584408866995074,0.006584408866995074,58.64517307281494,120.94280338287354,32,2,64,13.765705728,13.765705728,9.413156864,0.72014,0.74583,1,0,0,0
3,1.31752,1.62386,0.48056,0.98194,0.009785904761904763,0.009785904761904763,0.009785904761904763,57.85280513763428,178.79561114311218,32,2,64,13.7887744,13.7887744,9.375766528,0.73125,0.74583,1,0,0,0
4,1.34483,1.60181,0.49028,0.95278,0.009703,0.009703,0.009703,58.07187604904175,236.86648559570312,32,2,64,13.771997184,13.771997184,9.411190784,0.72153,0.74583,1,0,0,0
5,1.26787,1.57959,0.53333,0.98889,0.009604,0.009604,0.009604,58.01010513305664,294.87659072875977,32,2,64,13.782482944,13.782482944,9.37360384,0.76111,0.76111,5,0,0,1
6,1.2085,1.55737,0.52778,0.99028,0.009505,0.009505,0.009505,58.12366580963135,353.0002565383911,32,2,64,13.771997184,13.771997184,9.411059712,0.75903,0.76111,5,0,0,0
7,1.1713,1.57088,0.4625,0.97639,0.009406,0.009406,0.009406,58.038596630096436,411.0398530960083,32,2,64,13.7887744,13.7887744,9.373997056,0.71944,0.76111,5,0,0,0
8,1.12451,1.51408,0.53611,0.98611,0.009307,0.009307,0.009307,58.204938650131226,469.2447919845581,32,2,64,13.771997184,13.771997184,9.411190784,0.76111,0.76111,8,0,0,1
9,1.09551,1.53524,0.5625,0.9875,0.009208000000000001,0.009208000000000001,0.009208000000000001,58.50018072128296,527.744959115982,32,2,64,13.790871552,13.790871552,9.37163776,0.775,0.775,9,0,0,1
10,1.07695,1.51831,0.55972,0.9875,0.009109,0.009109,0.009109,58.263914585113525,586.0078871250153,32,2,64,13.771997184,13.771997184,9.411059712,0.77361,0.775,9,0,0,0
11,1.03578,1.50309,0.55556,0.98472,0.00901,0.00901,0.00901,58.32791805267334,644.3358051776886,32,2,64,13.7887744,13.7887744,9.373997056,0.77014,0.775,9,0,0,0
12,1.00303,1.52124,0.55694,0.98889,0.008911,0.008911,0.008911,58.3155951499939,702.6514003276825,32,2,64,13.771997184,13.771997184,9.411190784,0.77292,0.775,9,0,0,0
13,0.98852,1.46297,0.61389,0.99306,0.008812,0.008812,0.008812,58.33581185340881,760.9872121810913,32,2,64,13.7887744,13.7887744,9.37163776,0.80347,0.80347,13,0,0,1
14,0.96545,1.47729,0.60139,0.98611,0.008713,0.008713,0.008713,58.502952337265015,819.4911639690399,32,2,64,13.771997184,13.771997184,9.411059712,0.79375,0.80347,13,0,0,0
15,0.92773,1.45451,0.61667,0.99444,0.008614,0.008614,0.008614,58.31207323074341,877.803236246109,32,2,64,13.790871552,13.790871552,9.373997056,0.80556,0.80556,15,0,0,1
16,0.90168,1.46208,0.59583,0.99306,0.008515,0.008515,0.008515,58.4090039730072,936.2112417221069,32,2,64,13.774094336,13.774094336,9.411190784,0.79444,0.80556,15,0,0,0
17,0.88741,1.45182,0.62222,0.99444,0.008416,0.008416,0.008416,58.61202335357666,994.8232650756836,32,2,64,13.7887744,13.7887744,9.37163776,0.80833,0.80833,17,0,0,1
18,0.8891,1.49805,0.57917,0.98889,0.008317,0.008317,0.008317,58.480812072753906,1053.3040771484375,32,2,64,13.771997184,13.771997184,9.411059712,0.78403,0.80833,17,0,0,0
19,0.85431,1.44255,0.64583,0.99306,0.008218000000000001,0.008218000000000001,0.008218000000000001,58.44656419754028,1111.7516403198242,32,2,64,13.790871552,13.790871552,9.373997056,0.81944,0.81944,19,0,0,1
20,0.83091,1.47591,0.58056,0.99167,0.008119000000000001,0.008119000000000001,0.008119000000000001,58.43984127044678,1170.191484451294,32,2,64,13.771997184,13.771997184,9.411190784,0.78611,0.81944,19,0,0,0
21,0.82654,1.4353,0.61528,0.99722,0.008020000000000001,0.008020000000000001,0.008020000000000001,58.526156187057495,1228.716638803482,32,2,64,13.790871552,13.790871552,9.37163776,0.80625,0.81944,19,0,0,0
22,0.79682,1.4292,0.63472,0.99028,0.007921000000000001,0.007921000000000001,0.007921000000000001,58.66437602043152,1287.3810148239136,32,2,64,13.774094336,13.774094336,9.411059712,0.8125,0.81944,19,0,0,0
23,0.76414,1.43563,0.59583,0.99444,0.007822,0.007822,0.007822,58.41626477241516,1345.7972795963287,32,2,64,13.790871552,13.790871552,9.373997056,0.79514,0.81944,19,0,0,0
24,0.76319,1.45467,0.60833,0.99444,0.007723,0.007723,0.007723,58.40721678733826,1404.204496383667,32,2,64,13.771997184,13.771997184,9.411190784,0.80139,0.81944,19,0,0,0
25,0.72443,1.43823,0.63056,0.99722,0.007624,0.007624,0.007624,58.64055323600769,1462.8450496196747,32,2,64,13.7887744,13.7887744,9.37163776,0.81389,0.81944,19,0,0,0
26,0.72468,1.45093,0.63194,0.99583,0.007525,0.007525,0.007525,58.64010715484619,1521.4861545562744,32,2,64,13.771997184,13.771997184,9.411059712,0.81389,0.81944,19,0,0,0
27,0.71873,1.42228,0.65278,0.99444,0.007426,0.007426,0.007426,58.469008922576904,1579.9541656970978,32,2,64,13.790871552,13.790871552,9.373997056,0.82361,0.82361,27,0,0,1
28,0.68979,1.41235,0.63889,0.99861,0.007327,0.007327,0.007327,58.49334979057312,1638.447515487671,32,2,64,13.771997184,13.771997184,9.411190784,0.81875,0.82361,27,0,0,0
29,0.66674,1.44181,0.625,0.99167,0.007228,0.007228,0.007228,58.6192786693573,1697.0667941570282,32,2,64,13.7887744,13.7887744,9.37163776,0.80833,0.82361,27,0,0,0
30,0.65108,1.46493,0.60417,0.98889,0.007129,0.007129,0.007129,58.55887484550476,1755.625669002533,32,2,64,13.774094336,13.774094336,9.411059712,0.79653,0.82361,27,0,0,0
31,0.64133,1.40902,0.64306,0.99028,0.00703,0.00703,0.00703,58.88355231285095,1814.509221315384,32,2,64,13.7887744,13.7887744,9.373997056,0.81667,0.82361,27,0,0,0
32,0.6072,1.42122,0.63472,0.99861,0.006931,0.006931,0.006931,58.55324053764343,1873.0634660720825,32,2,64,13.771997184,13.771997184,9.411190784,0.81667,0.82361,27,0,0,0
33,0.60287,1.43034,0.61667,0.99722,0.0068319999999999995,0.0068319999999999995,0.0068319999999999995,58.567981243133545,1931.6314413547516,32,2,64,13.7887744,13.7887744,9.37163776,0.80694,0.82361,27,0,0,0
34,0.5678,1.41585,0.64722,0.99583,0.006732999999999999,0.006732999999999999,0.006732999999999999,58.535117626190186,1990.165560722351,32,2,64,13.771997184,13.771997184,9.411059712,0.82153,0.82361,27,0,0,0
35,0.56515,1.3938,0.65972,0.99306,0.006633999999999999,0.006633999999999999,0.006633999999999999,58.6259605884552,2048.7915213108063,32,2,64,13.7887744,13.7887744,9.373997056,0.82639,0.82639,35,0,0,1
36,0.52411,1.39469,0.64722,0.99167,0.006535,0.006535,0.006535,58.560612201690674,2107.352133512497,32,2,64,13.771997184,13.771997184,9.411190784,0.81944,0.82639,35,0,0,0
37,0.53086,1.40365,0.65694,0.99028,0.006436000000000001,0.006436000000000001,0.006436000000000001,58.61964201927185,2165.9727725982666,32,2,64,13.7887744,13.7887744,9.37163776,0.82361,0.82639,35,0,0,0
38,0.52094,1.40788,0.63194,0.99583,0.006337000000000001,0.006337000000000001,0.006337000000000001,58.61144232749939,2224.583217859268,32,2,64,13.771997184,13.771997184,9.411059712,0.81389,0.82639,35,0,0,0
39,0.50395,1.41667,0.64028,0.99167,0.0062380000000000005,0.0062380000000000005,0.0062380000000000005,58.652400493621826,2283.2366201877594,32,2,64,13.790871552,13.790871552,9.373997056,0.81597,0.82639,35,0,0,0
40,0.48934,1.42391,0.62778,0.99444,0.006139,0.006139,0.006139,58.60206079483032,2341.838678598404,32,2,64,13.771997184,13.771997184,9.411190784,0.81111,0.82639,35,0,0,0
41,0.4574,1.40462,0.65417,0.99444,0.00604,0.00604,0.00604,58.678959131240845,2400.516638278961,32,2,64,13.7887744,13.7887744,9.37163776,0.82431,0.82639,35,0,0,0
42,0.44337,1.39941,0.6375,0.99444,0.005941000000000001,0.005941000000000001,0.005941000000000001,58.48913359642029,2459.0057718753815,32,2,64,13.774094336,13.774094336,9.411059712,0.81597,0.82639,35,0,0,0
43,0.44385,1.38062,0.67778,0.99028,0.005842000000000001,0.005842000000000001,0.005842000000000001,58.5323703289032,2517.539141178131,32,2,64,13.7887744,13.7887744,9.373997056,0.83403,0.83403,43,0,0,1
44,0.4162,1.39608,0.66667,0.99306,0.005743000000000001,0.005743000000000001,0.005743000000000001,58.707770586013794,2576.2459127902985,32,2,64,13.771997184,13.771997184,9.411190784,0.82986,0.83403,43,0,0,0
45,0.4195,1.40617,0.64167,0.99444,0.005644000000000001,0.005644000000000001,0.005644000000000001,58.59254431724548,2634.838457107544,32,2,64,13.790871552,13.790871552,9.37163776,0.81806,0.83403,43,0,0,0
46,0.40065,1.39396,0.64444,0.99583,0.0055450000000000004,0.0055450000000000004,0.0055450000000000004,58.50602436065674,2693.345478773117,32,2,64,13.771997184,13.771997184,9.411059712,0.82014,0.83403,43,0,0,0
