threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.001667,0.001667,0.0,1.0,1,599,0,120
1.0,0.028333,0.028333,0.0,1.0,17,583,0,120
1.0,0.033333,0.033333,0.0,1.0,20,580,0,120
1.0,0.036667,0.036667,0.0,1.0,22,578,0,120
1.0,0.036667,0.036667,0.0,1.0,22,578,0,120
1.0,0.038333,0.038333,0.0,1.0,23,577,0,120
1.0,0.041667,0.041667,0.0,1.0,25,575,0,120
1.0,0.041667,0.041667,0.0,1.0,25,575,0,120
1.0,0.045,0.045,0.0,1.0,27,573,0,120
1.0,0.045,0.045,0.0,1.0,27,573,0,120
1.0,0.048333,0.048333,0.0,1.0,29,571,0,120
1.0,0.05,0.05,0.0,1.0,30,570,0,120
1.0,0.051667,0.051667,0.0,1.0,31,569,0,120
1.0,0.055,0.055,0.0,1.0,33,567,0,120
1.0,0.056667,0.056667,0.0,1.0,34,566,0,120
1.0,0.058333,0.058333,0.0,1.0,35,565,0,120
1.0,0.06,0.06,0.0,1.0,36,564,0,120
1.0,0.063333,0.063333,0.0,1.0,38,562,0,120
1.0,0.063333,0.063333,0.0,1.0,38,562,0,120
1.0,0.066667,0.066667,0.0,1.0,40,560,0,120
1.0,0.066667,0.066667,0.0,1.0,40,560,0,120
1.0,0.068333,0.068333,0.0,1.0,41,559,0,120
1.0,0.07,0.07,0.0,1.0,42,558,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.078333,0.078333,0.0,1.0,47,553,0,120
1.0,0.08,0.08,0.0,1.0,48,552,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.083333,0.083333,0.0,1.0,50,550,0,120
1.0,0.083333,0.083333,0.0,1.0,50,550,0,120
1.0,0.085,0.085,0.0,1.0,51,549,0,120
1.0,0.088333,0.088333,0.0,1.0,53,547,0,120
1.0,0.088333,0.088333,0.0,1.0,53,547,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.096667,0.096667,0.0,1.0,58,542,0,120
1.0,0.098333,0.098333,0.0,1.0,59,541,0,120
1.0,0.1,0.1,0.0,1.0,60,540,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.108333,0.108333,0.0,1.0,65,535,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.111667,0.111667,0.0,1.0,67,533,0,120
1.0,0.115,0.115,0.0,1.0,69,531,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.12,0.12,0.0,1.0,72,528,0,120
1.0,0.12,0.12,0.0,1.0,72,528,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.128333,0.128333,0.0,1.0,77,523,0,120
1.0,0.128333,0.128333,0.0,1.0,77,523,0,120
1.0,0.131667,0.131667,0.0,1.0,79,521,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.14,0.14,0.0,1.0,84,516,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.143333,0.143333,0.0,1.0,86,514,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.148333,0.148333,0.0,1.0,89,511,0,120
1.0,0.15,0.15,0.0,1.0,90,510,0,120
1.0,0.151667,0.151667,0.0,1.0,91,509,0,120
1.0,0.153333,0.153333,0.0,1.0,92,508,0,120
1.0,0.156667,0.156667,0.0,1.0,94,506,0,120
1.0,0.158333,0.158333,0.0,1.0,95,505,0,120
1.0,0.158333,0.158333,0.0,1.0,95,505,0,120
1.0,0.161667,0.161667,0.0,1.0,97,503,0,120
1.0,0.163333,0.163333,0.0,1.0,98,502,0,120
1.0,0.165,0.165,0.0,1.0,99,501,0,120
1.0,0.165,0.165,0.0,1.0,99,501,0,120
1.0,0.168333,0.168333,0.0,1.0,101,499,0,120
