threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,598,2,78,42,0.996667,0.884615,0.35,0.65,0.003333,0.954545,0.888889,0.937304,0.938889,42,78,598,2
0.02,597,3,73,47,0.995,0.891045,0.391667,0.608333,0.005,0.94,0.894444,0.940157,0.930556,47,73,597,3
0.03,595,5,68,52,0.991667,0.897436,0.433333,0.566667,0.008333,0.912281,0.898611,0.942201,0.920833,52,68,595,5
0.04,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.05,594,6,62,58,0.99,0.905488,0.483333,0.516667,0.01,0.90625,0.905556,0.94586,0.911111,58,62,594,6
0.06,593,7,61,59,0.988333,0.906728,0.491667,0.508333,0.011667,0.893939,0.905556,0.945774,0.908333,59,61,593,7
0.07,593,7,60,60,0.988333,0.908116,0.5,0.5,0.011667,0.895522,0.906944,0.946528,0.906944,60,60,593,7
0.08,593,7,59,61,0.988333,0.909509,0.508333,0.491667,0.011667,0.897059,0.908333,0.947284,0.905556,61,59,593,7
0.09,593,7,56,64,0.988333,0.913713,0.533333,0.466667,0.011667,0.901408,0.9125,0.94956,0.901389,64,56,593,7
0.1,593,7,52,68,0.988333,0.91938,0.566667,0.433333,0.011667,0.906667,0.918056,0.95261,0.895833,68,52,593,7
0.11,593,7,51,69,0.988333,0.920807,0.575,0.425,0.011667,0.907895,0.919444,0.953376,0.894444,69,51,593,7
0.12,593,7,51,69,0.988333,0.920807,0.575,0.425,0.011667,0.907895,0.919444,0.953376,0.894444,69,51,593,7
0.13,593,7,49,71,0.988333,0.923676,0.591667,0.408333,0.011667,0.910256,0.922222,0.954911,0.891667,71,49,593,7
0.14,593,7,49,71,0.988333,0.923676,0.591667,0.408333,0.011667,0.910256,0.922222,0.954911,0.891667,71,49,593,7
0.15,593,7,48,72,0.988333,0.925117,0.6,0.4,0.011667,0.911392,0.923611,0.955681,0.890278,72,48,593,7
0.16,593,7,48,72,0.988333,0.925117,0.6,0.4,0.011667,0.911392,0.923611,0.955681,0.890278,72,48,593,7
0.17,593,7,47,73,0.988333,0.926562,0.608333,0.391667,0.011667,0.9125,0.925,0.956452,0.888889,73,47,593,7
0.18,593,7,47,73,0.988333,0.926562,0.608333,0.391667,0.011667,0.9125,0.925,0.956452,0.888889,73,47,593,7
0.19,592,8,47,73,0.986667,0.926448,0.608333,0.391667,0.013333,0.901235,0.923611,0.955609,0.8875,73,47,592,8
0.2,591,9,46,74,0.985,0.927786,0.616667,0.383333,0.015,0.891566,0.923611,0.955538,0.884722,74,46,591,9
0.21,591,9,46,74,0.985,0.927786,0.616667,0.383333,0.015,0.891566,0.923611,0.955538,0.884722,74,46,591,9
0.22,591,9,44,76,0.985,0.930709,0.633333,0.366667,0.015,0.894118,0.926389,0.957085,0.881944,76,44,591,9
0.23,590,10,44,76,0.983333,0.930599,0.633333,0.366667,0.016667,0.883721,0.925,0.95624,0.880556,76,44,590,10
0.24,590,10,43,77,0.983333,0.93207,0.641667,0.358333,0.016667,0.885057,0.926389,0.957015,0.879167,77,43,590,10
0.25,589,11,43,77,0.981667,0.931962,0.641667,0.358333,0.018333,0.875,0.925,0.956169,0.877778,77,43,589,11
0.26,589,11,43,77,0.981667,0.931962,0.641667,0.358333,0.018333,0.875,0.925,0.956169,0.877778,77,43,589,11
0.27,589,11,43,77,0.981667,0.931962,0.641667,0.358333,0.018333,0.875,0.925,0.956169,0.877778,77,43,589,11
0.28,589,11,42,78,0.981667,0.933439,0.65,0.35,0.018333,0.876404,0.926389,0.956946,0.876389,78,42,589,11
0.29,589,11,42,78,0.981667,0.933439,0.65,0.35,0.018333,0.876404,0.926389,0.956946,0.876389,78,42,589,11
0.3,589,11,42,78,0.981667,0.933439,0.65,0.35,0.018333,0.876404,0.926389,0.956946,0.876389,78,42,589,11
0.31,589,11,41,79,0.981667,0.934921,0.658333,0.341667,0.018333,0.877778,0.927778,0.957724,0.875,79,41,589,11
0.32,589,11,41,79,0.981667,0.934921,0.658333,0.341667,0.018333,0.877778,0.927778,0.957724,0.875,79,41,589,11
0.33,589,11,41,79,0.981667,0.934921,0.658333,0.341667,0.018333,0.877778,0.927778,0.957724,0.875,79,41,589,11
0.34,589,11,40,80,0.981667,0.936407,0.666667,0.333333,0.018333,0.879121,0.929167,0.958503,0.873611,80,40,589,11
0.35,589,11,40,80,0.981667,0.936407,0.666667,0.333333,0.018333,0.879121,0.929167,0.958503,0.873611,80,40,589,11
0.36,589,11,40,80,0.981667,0.936407,0.666667,0.333333,0.018333,0.879121,0.929167,0.958503,0.873611,80,40,589,11
