epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.60688,1.65267,0.4625,0.97639,0.003267973856209151,0.003267973856209151,0.003267973856209151,64.99737644195557,64.9983742237091,128,1,128,15.441330176,15.441330176,10.171101184,0.71944,0.71944,1,0,0,1
2,1.32176,1.58496,0.49583,0.97917,0.006568630718954248,0.006568630718954248,0.006568630718954248,63.385711431503296,128.38408780097961,128,1,128,15.349055488,15.349055488,10.171888128,0.7375,0.7375,2,0,0,1
3,1.24383,1.70215,0.28333,0.97639,0.009836287581699346,0.009836287581699346,0.009836287581699346,64.63285493850708,193.01694130897522,128,1,128,15.349055488,15.349055488,10.171888128,0.62986,0.7375,2,0,0,0
4,1.21568,1.61068,0.45556,0.97361,0.0098515,0.0098515,0.0098515,66.08981108665466,259.10675406455994,128,1,128,15.349055488,15.349055488,10.171888128,0.71458,0.7375,2,0,0,0
5,1.16852,1.6237,0.43611,0.975,0.009802,0.009802,0.009802,66.201984167099,325.3077380657196,128,1,128,15.349055488,15.349055488,10.171888128,0.70556,0.7375,2,0,0,0
6,1.09454,1.53125,0.57222,0.99167,0.009752499999999999,0.009752499999999999,0.009752499999999999,66.54821610450745,391.8569540977478,128,1,128,15.349055488,15.349055488,10.171888128,0.78194,0.78194,6,0,0,1
7,1.03919,1.5931,0.45556,0.97222,0.009703,0.009703,0.009703,65.11763596534729,456.9745898246765,128,1,128,15.349055488,15.349055488,10.171888128,0.71389,0.78194,6,0,0,0
8,1.00394,1.57487,0.49722,0.98333,0.009653499999999999,0.009653499999999999,0.009653499999999999,65.5468475818634,522.5214378833771,128,1,128,15.349055488,15.349055488,10.171888128,0.74028,0.78194,6,0,0,0
9,0.96847,1.60547,0.44167,0.95417,0.009604,0.009604,0.009604,64.85124325752258,587.3716809749603,128,1,128,15.349055488,15.349055488,10.171888128,0.69792,0.78194,6,0,0,0
10,0.93622,1.55013,0.525,0.98889,0.009554499999999999,0.009554499999999999,0.009554499999999999,66.11990284919739,653.4925844669342,128,1,128,15.349055488,15.349055488,10.171888128,0.75694,0.78194,6,0,0,0
11,0.89354,1.45638,0.62083,0.99722,0.009505,0.009505,0.009505,66.0011682510376,719.4937520027161,128,1,128,15.349055488,15.349055488,10.171888128,0.80903,0.80903,11,0,0,1
12,0.88234,1.48047,0.58194,0.99167,0.0094555,0.0094555,0.0094555,66.04478740692139,785.5375394821167,128,1,128,15.349055488,15.349055488,10.171888128,0.78681,0.80903,11,0,0,0
13,0.85644,1.60807,0.42083,0.98194,0.009406,0.009406,0.009406,64.86487531661987,850.4034149646759,128,1,128,15.349055488,15.349055488,10.171888128,0.70139,0.80903,11,0,0,0
14,0.8222,1.56608,0.48333,0.94306,0.009356500000000002,0.009356500000000002,0.009356500000000002,65.68565225601196,916.0880670547485,128,1,128,15.349055488,15.349055488,10.171888128,0.71319,0.80903,11,0,0,0
15,0.80347,1.46549,0.61667,0.99167,0.009307,0.009307,0.009307,64.99608588218689,981.0841529369354,128,1,128,15.349055488,15.349055488,10.171888128,0.80417,0.80903,11,0,0,0
16,0.78146,1.45996,0.60972,0.98611,0.0092575,0.0092575,0.0092575,66.96759486198425,1048.0527477264404,128,1,128,15.349055488,15.349055488,10.171888128,0.79792,0.80903,11,0,0,0
17,0.75634,1.46647,0.60694,0.99306,0.009208000000000001,0.009208000000000001,0.009208000000000001,67.13505387306213,1115.187801361084,128,1,128,15.349055488,15.349055488,10.171888128,0.8,0.80903,11,0,0,0
18,0.72903,1.44238,0.61944,0.99583,0.0091585,0.0091585,0.0091585,67.82704877853394,1183.0148508548737,128,1,128,15.349055488,15.349055488,10.171888128,0.80764,0.80903,11,0,0,0
19,0.70744,1.47884,0.59583,0.99028,0.009109,0.009109,0.009109,67.2137942314148,1250.228645324707,128,1,128,15.349055488,15.349055488,10.171888128,0.79306,0.80903,11,0,0,0
20,0.68713,1.4554,0.6125,0.9875,0.0090595,0.0090595,0.0090595,67.39866948127747,1317.6273140907288,128,1,128,15.349055488,15.349055488,10.171888128,0.8,0.80903,11,0,0,0
21,0.67862,1.45508,0.60833,0.99167,0.00901,0.00901,0.00901,65.99170541763306,1383.6190190315247,128,1,128,15.349055488,15.349055488,10.171888128,0.8,0.80903,11,0,0,0
22,0.65725,1.47428,0.58333,0.99167,0.0089605,0.0089605,0.0089605,68.00324726104736,1451.6212668418884,128,1,128,15.349055488,15.349055488,10.171888128,0.7875,0.80903,11,0,0,0
23,0.65446,1.42383,0.64167,0.99028,0.008911,0.008911,0.008911,66.48516631126404,1518.1074333190918,128,1,128,15.349055488,15.349055488,10.171888128,0.81597,0.81597,23,0,0,1
24,0.60689,1.47298,0.5875,0.98472,0.0088615,0.0088615,0.0088615,67.42351031303406,1585.5309431552887,128,1,128,15.349055488,15.349055488,10.171888128,0.78611,0.81597,23,0,0,0
25,0.60513,1.44889,0.60139,0.99167,0.008812,0.008812,0.008812,65.73521876335144,1651.2661662101746,128,1,128,15.349055488,15.349055488,10.171888128,0.79653,0.81597,23,0,0,0
26,0.57592,1.56673,0.46111,0.97917,0.0087625,0.0087625,0.0087625,67.47224998474121,1718.7394058704376,128,1,128,15.349055488,15.349055488,10.171888128,0.72014,0.81597,23,0,0,0
27,0.56055,1.42839,0.61667,0.99306,0.008713,0.008713,0.008713,66.66021347045898,1785.3986253738403,128,1,128,15.349055488,15.349055488,10.171888128,0.80486,0.81597,23,0,0,0
28,0.5616,1.41927,0.63472,0.99028,0.0086635,0.0086635,0.0086635,67.5178771018982,1852.9165046215057,128,1,128,15.349055488,15.349055488,10.171888128,0.8125,0.81597,23,0,0,0
29,0.54278,1.49089,0.55694,0.99028,0.008614,0.008614,0.008614,66.11891293525696,1919.0354144573212,128,1,128,15.349055488,15.349055488,10.171888128,0.77361,0.81597,23,0,0,0
30,0.52312,1.40462,0.65139,0.99444,0.0085645,0.0085645,0.0085645,66.69998502731323,1985.7354006767273,128,1,128,15.349055488,15.349055488,10.171888128,0.82292,0.82292,30,0,0,1
31,0.49816,1.53874,0.49028,0.97361,0.008515,0.008515,0.008515,65.76755118370056,2051.5029525756836,128,1,128,15.349055488,15.349055488,10.171888128,0.73194,0.82292,30,0,0,0
32,0.48795,1.47005,0.56667,0.98889,0.0084655,0.0084655,0.0084655,66.8445348739624,2118.347484111786,128,1,128,15.349055488,15.349055488,10.171888128,0.77778,0.82292,30,0,0,0
