threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,76,8,1.0,0.846774,0.095238,0.904762,0.0,1.0,0.849206,0.917031,0.984127,8,76,420,0
0.02,420,0,74,10,1.0,0.850202,0.119048,0.880952,0.0,1.0,0.853175,0.919037,0.980159,10,74,420,0
0.03,420,0,72,12,1.0,0.853659,0.142857,0.857143,0.0,1.0,0.857143,0.921053,0.97619,12,72,420,0
0.04,420,0,68,16,1.0,0.860656,0.190476,0.809524,0.0,1.0,0.865079,0.92511,0.968254,16,68,420,0
0.05,420,0,66,18,1.0,0.864198,0.214286,0.785714,0.0,1.0,0.869048,0.927152,0.964286,18,66,420,0
0.06,420,0,64,20,1.0,0.867769,0.238095,0.761905,0.0,1.0,0.873016,0.929204,0.960317,20,64,420,0
0.07,418,2,64,20,0.995238,0.86722,0.238095,0.761905,0.004762,0.909091,0.869048,0.926829,0.956349,20,64,418,2
0.08,418,2,63,21,0.995238,0.869023,0.25,0.75,0.004762,0.913043,0.871032,0.927858,0.954365,21,63,418,2
0.09,418,2,61,23,0.995238,0.872651,0.27381,0.72619,0.004762,0.92,0.875,0.929922,0.950397,23,61,418,2
0.1,418,2,59,25,0.995238,0.87631,0.297619,0.702381,0.004762,0.925926,0.878968,0.931996,0.946429,25,59,418,2
0.11,418,2,56,28,0.995238,0.881857,0.333333,0.666667,0.004762,0.933333,0.884921,0.935123,0.940476,28,56,418,2
0.12,418,2,54,30,0.995238,0.885593,0.357143,0.642857,0.004762,0.9375,0.888889,0.93722,0.936508,30,54,418,2
0.13,418,2,52,32,0.995238,0.889362,0.380952,0.619048,0.004762,0.941176,0.892857,0.939326,0.93254,32,52,418,2
0.14,418,2,47,37,0.995238,0.898925,0.440476,0.559524,0.004762,0.948718,0.902778,0.944633,0.922619,37,47,418,2
0.15,417,3,45,39,0.992857,0.902597,0.464286,0.535714,0.007143,0.928571,0.904762,0.945578,0.916667,39,45,417,3
0.16,417,3,44,40,0.992857,0.904555,0.47619,0.52381,0.007143,0.930233,0.906746,0.946652,0.914683,40,44,417,3
0.17,417,3,43,41,0.992857,0.906522,0.488095,0.511905,0.007143,0.931818,0.90873,0.947727,0.912698,41,43,417,3
0.18,417,3,42,42,0.992857,0.908497,0.5,0.5,0.007143,0.933333,0.910714,0.948805,0.910714,42,42,417,3
0.19,417,3,42,42,0.992857,0.908497,0.5,0.5,0.007143,0.933333,0.910714,0.948805,0.910714,42,42,417,3
0.2,417,3,40,44,0.992857,0.912473,0.52381,0.47619,0.007143,0.93617,0.914683,0.950969,0.906746,44,40,417,3
0.21,416,4,39,45,0.990476,0.914286,0.535714,0.464286,0.009524,0.918367,0.914683,0.950857,0.902778,45,39,416,4
0.22,416,4,39,45,0.990476,0.914286,0.535714,0.464286,0.009524,0.918367,0.914683,0.950857,0.902778,45,39,416,4
0.23,416,4,38,46,0.990476,0.9163,0.547619,0.452381,0.009524,0.92,0.916667,0.951945,0.900794,46,38,416,4
0.24,415,5,37,47,0.988095,0.918142,0.559524,0.440476,0.011905,0.903846,0.916667,0.951835,0.896825,47,37,415,5
0.25,415,5,37,47,0.988095,0.918142,0.559524,0.440476,0.011905,0.903846,0.916667,0.951835,0.896825,47,37,415,5
0.26,415,5,36,48,0.988095,0.920177,0.571429,0.428571,0.011905,0.90566,0.918651,0.952928,0.894841,48,36,415,5
0.27,415,5,35,49,0.988095,0.922222,0.583333,0.416667,0.011905,0.907407,0.920635,0.954023,0.892857,49,35,415,5
0.28,415,5,35,49,0.988095,0.922222,0.583333,0.416667,0.011905,0.907407,0.920635,0.954023,0.892857,49,35,415,5
0.29,414,6,34,50,0.985714,0.924107,0.595238,0.404762,0.014286,0.892857,0.920635,0.953917,0.888889,50,34,414,6
0.3,413,7,34,50,0.983333,0.923937,0.595238,0.404762,0.016667,0.877193,0.918651,0.95271,0.886905,50,34,413,7
0.31,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
0.32,412,8,32,52,0.980952,0.927928,0.619048,0.380952,0.019048,0.866667,0.920635,0.953704,0.880952,52,32,412,8
0.33,412,8,29,55,0.980952,0.93424,0.654762,0.345238,0.019048,0.873016,0.926587,0.957027,0.875,55,29,412,8
0.34,412,8,29,55,0.980952,0.93424,0.654762,0.345238,0.019048,0.873016,0.926587,0.957027,0.875,55,29,412,8
0.35,411,9,29,55,0.978571,0.934091,0.654762,0.345238,0.021429,0.859375,0.924603,0.955814,0.873016,55,29,411,9
0.36,410,10,27,57,0.97619,0.938215,0.678571,0.321429,0.02381,0.850746,0.926587,0.956826,0.867063,57,27,410,10
0.37,410,10,26,58,0.97619,0.940367,0.690476,0.309524,0.02381,0.852941,0.928571,0.957944,0.865079,58,26,410,10
0.38,410,10,25,59,0.97619,0.942529,0.702381,0.297619,0.02381,0.855072,0.930556,0.959064,0.863095,59,25,410,10
0.39,410,10,25,59,0.97619,0.942529,0.702381,0.297619,0.02381,0.855072,0.930556,0.959064,0.863095,59,25,410,10
0.4,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.41,408,12,25,59,0.971429,0.942263,0.702381,0.297619,0.028571,0.830986,0.926587,0.956624,0.859127,59,25,408,12
0.42,408,12,25,59,0.971429,0.942263,0.702381,0.297619,0.028571,0.830986,0.926587,0.956624,0.859127,59,25,408,12
0.43,408,12,25,59,0.971429,0.942263,0.702381,0.297619,0.028571,0.830986,0.926587,0.956624,0.859127,59,25,408,12
0.44,407,13,23,61,0.969048,0.946512,0.72619,0.27381,0.030952,0.824324,0.928571,0.957647,0.853175,61,23,407,13
0.45,406,14,22,62,0.966667,0.948598,0.738095,0.261905,0.033333,0.815789,0.928571,0.957547,0.849206,62,22,406,14
0.46,406,14,22,62,0.966667,0.948598,0.738095,0.261905,0.033333,0.815789,0.928571,0.957547,0.849206,62,22,406,14
0.47,406,14,21,63,0.966667,0.95082,0.75,0.25,0.033333,0.818182,0.930556,0.958678,0.847222,63,21,406,14
0.48,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.49,406,14,19,65,0.966667,0.955294,0.77381,0.22619,0.033333,0.822785,0.934524,0.960947,0.843254,65,19,406,14
0.5,406,14,19,65,0.966667,0.955294,0.77381,0.22619,0.033333,0.822785,0.934524,0.960947,0.843254,65,19,406,14
0.51,405,15,19,65,0.964286,0.955189,0.77381,0.22619,0.035714,0.8125,0.93254,0.959716,0.84127,65,19,405,15
0.52,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.53,401,19,17,67,0.954762,0.95933,0.797619,0.202381,0.045238,0.77907,0.928571,0.957041,0.829365,67,17,401,19
0.54,400,20,17,67,0.952381,0.959233,0.797619,0.202381,0.047619,0.770115,0.926587,0.955795,0.827381,67,17,400,20
0.55,399,21,15,69,0.95,0.963768,0.821429,0.178571,0.05,0.766667,0.928571,0.956835,0.821429,69,15,399,21
0.56,398,22,15,69,0.947619,0.96368,0.821429,0.178571,0.052381,0.758242,0.926587,0.955582,0.819444,69,15,398,22
0.57,396,24,15,69,0.942857,0.963504,0.821429,0.178571,0.057143,0.741935,0.922619,0.953069,0.815476,69,15,396,24
0.58,395,25,15,69,0.940476,0.963415,0.821429,0.178571,0.059524,0.734043,0.920635,0.951807,0.813492,69,15,395,25
0.59,393,27,13,71,0.935714,0.96798,0.845238,0.154762,0.064286,0.72449,0.920635,0.951574,0.805556,71,13,393,27
0.6,393,27,13,71,0.935714,0.96798,0.845238,0.154762,0.064286,0.72449,0.920635,0.951574,0.805556,71,13,393,27
0.61,391,29,12,72,0.930952,0.970223,0.857143,0.142857,0.069048,0.712871,0.918651,0.950182,0.799603,72,12,391,29
0.62,390,30,12,72,0.928571,0.970149,0.857143,0.142857,0.071429,0.705882,0.916667,0.948905,0.797619,72,12,390,30
0.63,388,32,12,72,0.92381,0.97,0.857143,0.142857,0.07619,0.692308,0.912698,0.946341,0.793651,72,12,388,32
0.64,387,33,11,73,0.921429,0.972362,0.869048,0.130952,0.078571,0.688679,0.912698,0.94621,0.789683,73,11,387,33
0.65,386,34,10,74,0.919048,0.974747,0.880952,0.119048,0.080952,0.685185,0.912698,0.946078,0.785714,74,10,386,34
0.66,385,35,10,74,0.916667,0.974684,0.880952,0.119048,0.083333,0.678899,0.910714,0.944785,0.78373,74,10,385,35
0.67,385,35,9,75,0.916667,0.977157,0.892857,0.107143,0.083333,0.681818,0.912698,0.945946,0.781746,75,9,385,35
0.68,385,35,9,75,0.916667,0.977157,0.892857,0.107143,0.083333,0.681818,0.912698,0.945946,0.781746,75,9,385,35
0.69,385,35,9,75,0.916667,0.977157,0.892857,0.107143,0.083333,0.681818,0.912698,0.945946,0.781746,75,9,385,35
0.7,383,37,9,75,0.911905,0.977041,0.892857,0.107143,0.088095,0.669643,0.90873,0.94335,0.777778,75,9,383,37
0.71,382,38,9,75,0.909524,0.976982,0.892857,0.107143,0.090476,0.663717,0.906746,0.942047,0.775794,75,9,382,38
0.72,380,40,8,76,0.904762,0.979381,0.904762,0.095238,0.095238,0.655172,0.904762,0.940594,0.769841,76,8,380,40
0.73,378,42,8,76,0.9,0.979275,0.904762,0.095238,0.1,0.644068,0.900794,0.937965,0.765873,76,8,378,42
0.74,375,45,8,76,0.892857,0.979112,0.904762,0.095238,0.107143,0.628099,0.894841,0.933998,0.759921,76,8,375,45
0.75,373,47,7,77,0.888095,0.981579,0.916667,0.083333,0.111905,0.620968,0.892857,0.9325,0.753968,77,7,373,47
0.76,371,49,7,77,0.883333,0.981481,0.916667,0.083333,0.116667,0.611111,0.888889,0.929825,0.75,77,7,371,49
0.77,368,52,7,77,0.87619,0.981333,0.916667,0.083333,0.12381,0.596899,0.882937,0.925786,0.744048,77,7,368,52
0.78,367,53,7,77,0.87381,0.981283,0.916667,0.083333,0.12619,0.592308,0.880952,0.924433,0.742063,77,7,367,53
0.79,364,56,6,78,0.866667,0.983784,0.928571,0.071429,0.133333,0.58209,0.876984,0.921519,0.734127,78,6,364,56
0.8,363,57,6,78,0.864286,0.98374,0.928571,0.071429,0.135714,0.577778,0.875,0.920152,0.732143,78,6,363,57
0.81,359,61,5,79,0.854762,0.986264,0.940476,0.059524,0.145238,0.564286,0.869048,0.915816,0.722222,79,5,359,61
0.82,353,67,5,79,0.840476,0.986034,0.940476,0.059524,0.159524,0.541096,0.857143,0.907455,0.710317,79,5,353,67
0.83,352,68,5,79,0.838095,0.985994,0.940476,0.059524,0.161905,0.537415,0.855159,0.906049,0.708333,79,5,352,68
0.84,345,75,5,79,0.821429,0.985714,0.940476,0.059524,0.178571,0.512987,0.84127,0.896104,0.694444,79,5,345,75
0.85,338,82,5,79,0.804762,0.985423,0.940476,0.059524,0.195238,0.490683,0.827381,0.885976,0.680556,79,5,338,82
0.86,334,86,5,79,0.795238,0.985251,0.940476,0.059524,0.204762,0.478788,0.819444,0.880105,0.672619,79,5,334,86
0.87,328,92,5,79,0.780952,0.984985,0.940476,0.059524,0.219048,0.461988,0.80754,0.871182,0.660714,79,5,328,92
0.88,322,98,4,80,0.766667,0.98773,0.952381,0.047619,0.233333,0.449438,0.797619,0.863271,0.646825,80,4,322,98
0.89,316,104,4,80,0.752381,0.9875,0.952381,0.047619,0.247619,0.434783,0.785714,0.854054,0.634921,80,4,316,104
0.9,311,109,4,80,0.740476,0.987302,0.952381,0.047619,0.259524,0.42328,0.775794,0.846259,0.625,80,4,311,109
0.91,302,118,3,81,0.719048,0.990164,0.964286,0.035714,0.280952,0.407035,0.759921,0.833103,0.605159,81,3,302,118
0.92,289,131,3,81,0.688095,0.989726,0.964286,0.035714,0.311905,0.382075,0.734127,0.811798,0.579365,81,3,289,131
0.93,276,144,3,81,0.657143,0.989247,0.964286,0.035714,0.342857,0.36,0.708333,0.7897,0.553571,81,3,276,144
0.94,267,153,3,81,0.635714,0.988889,0.964286,0.035714,0.364286,0.346154,0.690476,0.773913,0.535714,81,3,267,153
0.95,259,161,3,81,0.616667,0.98855,0.964286,0.035714,0.383333,0.334711,0.674603,0.759531,0.519841,81,3,259,161
0.96,245,175,2,82,0.583333,0.991903,0.97619,0.02381,0.416667,0.319066,0.64881,0.734633,0.490079,82,2,245,175
0.97,225,195,2,82,0.535714,0.991189,0.97619,0.02381,0.464286,0.296029,0.609127,0.695518,0.450397,82,2,225,195
0.98,197,223,2,82,0.469048,0.98995,0.97619,0.02381,0.530952,0.268852,0.553571,0.636511,0.394841,82,2,197,223
0.99,159,261,0,84,0.378571,1.0,1.0,0.0,0.621429,0.243478,0.482143,0.549223,0.315476,84,0,159,261
