epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.50921,1.62646,0.45556,0.98056,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,43.72889018058777,43.72988200187683,32,1,32,4.072669184,4.072669184,2.614176768,0.71806,0.71806,1,0,0,1
2,1.34529,1.66219,0.34583,0.94583,0.006584408866995074,0.006584408866995074,0.006584408866995074,40.69362211227417,84.4235143661499,32,2,64,3.9845888,3.9845888,2.620055552,0.64583,0.71806,1,0,0,0
3,1.35161,1.73861,0.23889,0.95972,0.009785904761904763,0.009785904761904763,0.009785904761904763,40.63723659515381,125.06074857711792,32,2,64,3.990880256,3.990880256,2.614275584,0.59931,0.71806,1,0,0,0
4,1.35297,1.60905,0.44722,0.95972,0.009703,0.009703,0.009703,41.27128314971924,166.33203268051147,32,2,64,3.9845888,3.9845888,2.620055552,0.70347,0.71806,1,0,0,0
5,1.29283,1.59741,0.50556,0.98333,0.009604,0.009604,0.009604,42.8948392868042,209.22587132453918,32,2,64,3.990880256,3.990880256,2.614275584,0.74444,0.74444,5,0,0,1
6,1.23966,1.55981,0.53611,0.98472,0.009505,0.009505,0.009505,40.81079411506653,250.03766536712646,32,2,64,3.986685952,3.986685952,2.620055552,0.76042,0.76042,6,0,0,1
7,1.19545,1.53361,0.53611,0.98333,0.009406,0.009406,0.009406,41.15702033042908,291.19468688964844,32,2,64,3.990880256,3.990880256,2.614275584,0.75972,0.76042,6,0,0,0
8,1.16637,1.52604,0.55694,0.98611,0.009307,0.009307,0.009307,41.077744483947754,332.272433757782,32,2,64,3.9845888,3.9845888,2.620055552,0.77153,0.77153,8,0,0,1
9,1.13478,1.55534,0.54028,0.98194,0.009208000000000001,0.009208000000000001,0.009208000000000001,40.872804403305054,373.1442346572876,32,2,64,3.990880256,3.990880256,2.614275584,0.76111,0.77153,8,0,0,0
10,1.12362,1.54045,0.55417,0.98194,0.009109,0.009109,0.009109,40.93799328804016,414.0832271575928,32,2,64,3.986685952,3.986685952,2.620055552,0.76806,0.77153,8,0,0,0
11,1.0758,1.51074,0.56389,0.98889,0.00901,0.00901,0.00901,41.16136074066162,455.24458861351013,32,2,64,3.990880256,3.990880256,2.614275584,0.77639,0.77639,11,0,0,1
12,1.06147,1.51424,0.57778,0.98472,0.008911,0.008911,0.008911,41.193679332733154,496.4382679462433,32,2,64,3.9845888,3.9845888,2.620055552,0.78125,0.78125,12,0,0,1
13,1.04233,1.51693,0.575,0.97778,0.008812,0.008812,0.008812,41.779616832733154,538.2168848514557,32,2,64,3.990880256,3.990880256,2.614275584,0.77639,0.78125,12,0,0,0
14,1.0346,1.49292,0.58472,0.9875,0.008713,0.008713,0.008713,41.612075328826904,579.8299598693848,32,2,64,3.9845888,3.9845888,2.620055552,0.78611,0.78611,14,0,0,1
15,1.00606,1.47713,0.58472,0.99028,0.008614,0.008614,0.008614,40.78724813461304,620.6172077655792,32,2,64,3.990880256,3.990880256,2.614275584,0.7875,0.7875,15,0,0,1
16,0.9857,1.47225,0.60694,0.99028,0.008515,0.008515,0.008515,40.9988694190979,661.6160795688629,32,2,64,3.9845888,3.9845888,2.620055552,0.79861,0.79861,16,0,0,1
17,0.98131,1.46517,0.61389,0.99306,0.008416,0.008416,0.008416,40.69672608375549,702.3128039836884,32,2,64,3.990880256,3.990880256,2.614275584,0.80347,0.80347,17,0,0,1
18,0.96846,1.47078,0.63056,0.99583,0.008317,0.008317,0.008317,40.6077778339386,742.9205813407898,32,2,64,3.986685952,3.986685952,2.620055552,0.81319,0.81319,18,0,0,1
19,0.94294,1.47803,0.59861,0.99167,0.008218000000000001,0.008218000000000001,0.008218000000000001,40.732775926589966,783.6533577442169,32,2,64,3.990880256,3.990880256,2.614275584,0.79514,0.81319,18,0,0,0
20,0.93627,1.46606,0.62083,0.99306,0.008119000000000001,0.008119000000000001,0.008119000000000001,40.91644835472107,824.5698070526123,32,2,64,3.9845888,3.9845888,2.620055552,0.80694,0.81319,18,0,0,0
21,0.94103,1.45589,0.625,0.99583,0.008020000000000001,0.008020000000000001,0.008020000000000001,41.17968559265137,865.7494900226593,32,2,64,3.990880256,3.990880256,2.614275584,0.81042,0.81319,18,0,0,0
22,0.89883,1.47209,0.60694,0.99306,0.007921000000000001,0.007921000000000001,0.007921000000000001,40.6932315826416,906.442715883255,32,2,64,3.986685952,3.986685952,2.620055552,0.8,0.81319,18,0,0,0
23,0.89514,1.44727,0.6125,0.99167,0.007822,0.007822,0.007822,40.34055423736572,946.7832760810852,32,2,64,3.990880256,3.990880256,2.614275584,0.80208,0.81319,18,0,0,0
24,0.87483,1.48145,0.58889,0.99583,0.007723,0.007723,0.007723,41.10085844993591,987.8841369152069,32,2,64,3.9845888,3.9845888,2.620055552,0.79236,0.81319,18,0,0,0
25,0.87262,1.46037,0.62083,0.99444,0.007624,0.007624,0.007624,40.942219495773315,1028.8253552913666,32,2,64,3.990880256,3.990880256,2.614275584,0.80764,0.81319,18,0,0,0
26,0.84461,1.455,0.61944,0.99444,0.007525,0.007525,0.007525,40.89814758300781,1069.7245037555695,32,2,64,3.986685952,3.986685952,2.620055552,0.80694,0.81319,18,0,0,0
27,0.836,1.44954,0.63056,0.99722,0.007426,0.007426,0.007426,41.20614814758301,1110.9306511878967,32,2,64,3.990880256,3.990880256,2.614275584,0.81389,0.81389,27,0,0,1
28,0.81184,1.44775,0.60833,0.98889,0.007327,0.007327,0.007327,40.85509157180786,1151.7857389450073,32,2,64,3.9845888,3.9845888,2.620055552,0.79861,0.81389,27,0,0,0
29,0.79714,1.45296,0.61806,0.99167,0.007228,0.007228,0.007228,40.62739157676697,1192.4131338596344,32,2,64,3.990880256,3.990880256,2.614275584,0.80486,0.81389,27,0,0,0
30,0.78905,1.43188,0.63472,0.99444,0.007129,0.007129,0.007129,40.99886989593506,1233.4110040664673,32,2,64,3.9845888,3.9845888,2.620055552,0.81458,0.81458,30,0,0,1
31,0.7798,1.43075,0.63472,0.99583,0.00703,0.00703,0.00703,41.04466199874878,1274.4566669464111,32,2,64,3.990880256,3.990880256,2.614275584,0.81528,0.81528,31,0,0,1
32,0.75921,1.42505,0.65278,0.99167,0.006931,0.006931,0.006931,41.23152422904968,1315.6881861686707,32,2,64,3.9845888,3.9845888,2.620055552,0.82222,0.82222,32,0,0,1
33,0.75291,1.434,0.62222,0.99028,0.0068319999999999995,0.0068319999999999995,0.0068319999999999995,41.00255751609802,1356.6907477378845,32,2,64,3.990880256,3.990880256,2.614275584,0.80625,0.82222,32,0,0,0
34,0.74518,1.44222,0.64861,0.99167,0.006732999999999999,0.006732999999999999,0.006732999999999999,41.10967302322388,1397.7994208335876,32,2,64,3.9845888,3.9845888,2.620055552,0.82014,0.82222,32,0,0,0
