threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
1.0,1.0,0.003333,0.006645,2,598,0,120
1.0,1.0,0.016667,0.032787,10,590,0,120
1.0,1.0,0.02,0.039216,12,588,0,120
1.0,1.0,0.023333,0.045603,14,586,0,120
1.0,1.0,0.026667,0.051948,16,584,0,120
1.0,1.0,0.028333,0.055105,17,583,0,120
1.0,1.0,0.03,0.058252,18,582,0,120
1.0,1.0,0.03,0.058252,18,582,0,120
1.0,1.0,0.031667,0.061389,19,581,0,120
1.0,1.0,0.033333,0.064516,20,580,0,120
1.0,1.0,0.035,0.067633,21,579,0,120
1.0,1.0,0.038333,0.073836,23,577,0,120
1.0,1.0,0.038333,0.073836,23,577,0,120
1.0,1.0,0.041667,0.08,25,575,0,120
1.0,1.0,0.043333,0.083067,26,574,0,120
1.0,1.0,0.045,0.086124,27,573,0,120
1.0,1.0,0.045,0.086124,27,573,0,120
1.0,1.0,0.048333,0.09221,29,571,0,120
1.0,1.0,0.05,0.095238,30,570,0,120
1.0,1.0,0.05,0.095238,30,570,0,120
1.0,1.0,0.053333,0.101266,32,568,0,120
1.0,1.0,0.053333,0.101266,32,568,0,120
1.0,1.0,0.055,0.104265,33,567,0,120
1.0,1.0,0.058333,0.110236,35,565,0,120
1.0,1.0,0.058333,0.110236,35,565,0,120
1.0,1.0,0.061667,0.11617,37,563,0,120
1.0,1.0,0.061667,0.11617,37,563,0,120
1.0,1.0,0.065,0.122066,39,561,0,120
1.0,1.0,0.065,0.122066,39,561,0,120
1.0,1.0,0.068333,0.127925,41,559,0,120
1.0,1.0,0.068333,0.127925,41,559,0,120
1.0,1.0,0.071667,0.133748,43,557,0,120
1.0,1.0,0.071667,0.133748,43,557,0,120
1.0,1.0,0.075,0.139535,45,555,0,120
1.0,1.0,0.076667,0.142415,46,554,0,120
1.0,1.0,0.076667,0.142415,46,554,0,120
1.0,1.0,0.078333,0.145286,47,553,0,120
1.0,1.0,0.081667,0.151002,49,551,0,120
1.0,1.0,0.081667,0.151002,49,551,0,120
1.0,1.0,0.083333,0.153846,50,550,0,120
1.0,1.0,0.085,0.156682,51,549,0,120
1.0,1.0,0.086667,0.159509,52,548,0,120
1.0,1.0,0.09,0.165138,54,546,0,120
1.0,1.0,0.09,0.165138,54,546,0,120
1.0,1.0,0.091667,0.167939,55,545,0,120
1.0,1.0,0.093333,0.170732,56,544,0,120
1.0,1.0,0.095,0.173516,57,543,0,120
1.0,1.0,0.096667,0.176292,58,542,0,120
1.0,1.0,0.1,0.181818,60,540,0,120
1.0,1.0,0.1,0.181818,60,540,0,120
1.0,1.0,0.101667,0.184569,61,539,0,120
1.0,1.0,0.103333,0.187311,62,538,0,120
1.0,1.0,0.105,0.190045,63,537,0,120
1.0,1.0,0.106667,0.192771,64,536,0,120
1.0,1.0,0.108333,0.195489,65,535,0,120
1.0,1.0,0.111667,0.2009,67,533,0,120
1.0,1.0,0.113333,0.203593,68,532,0,120
1.0,1.0,0.115,0.206278,69,531,0,120
1.0,1.0,0.115,0.206278,69,531,0,120
1.0,1.0,0.116667,0.208955,70,530,0,120
1.0,1.0,0.12,0.214286,72,528,0,120
1.0,1.0,0.121667,0.216939,73,527,0,120
1.0,1.0,0.121667,0.216939,73,527,0,120
1.0,1.0,0.125,0.222222,75,525,0,120
1.0,1.0,0.125,0.222222,75,525,0,120
1.0,1.0,0.128333,0.227474,77,523,0,120
1.0,1.0,0.13,0.230088,78,522,0,120
1.0,1.0,0.131667,0.232695,79,521,0,120
1.0,1.0,0.133333,0.235294,80,520,0,120
1.0,1.0,0.133333,0.235294,80,520,0,120
1.0,1.0,0.135,0.237885,81,519,0,120
1.0,1.0,0.138333,0.243045,83,517,0,120
1.0,1.0,0.14,0.245614,84,516,0,120
1.0,1.0,0.141667,0.248175,85,515,0,120
1.0,1.0,0.143333,0.250729,86,514,0,120
1.0,1.0,0.143333,0.250729,86,514,0,120
1.0,1.0,0.146667,0.255814,88,512,0,120
1.0,1.0,0.146667,0.255814,88,512,0,120
1.0,1.0,0.148333,0.258345,89,511,0,120
1.0,1.0,0.151667,0.263386,91,509,0,120
1.0,1.0,0.151667,0.263386,91,509,0,120
1.0,1.0,0.155,0.268398,93,507,0,120
1.0,1.0,0.155,0.268398,93,507,0,120
1.0,1.0,0.156667,0.270893,94,506,0,120
1.0,1.0,0.158333,0.273381,95,505,0,120
1.0,1.0,0.16,0.275862,96,504,0,120
1.0,1.0,0.161667,0.278336,97,503,0,120
1.0,1.0,0.165,0.283262,99,501,0,120
1.0,1.0,0.166667,0.285714,100,500,0,120
1.0,1.0,0.166667,0.285714,100,500,0,120
1.0,1.0,0.17,0.290598,102,498,0,120
1.0,1.0,0.171667,0.29303,103,497,0,120
1.0,1.0,0.171667,0.29303,103,497,0,120
1.0,1.0,0.173333,0.295455,104,496,0,120
1.0,1.0,0.175,0.297872,105,495,0,120
1.0,1.0,0.176667,0.300283,106,494,0,120
1.0,1.0,0.178333,0.302687,107,493,0,120
0.999999,1.0,0.18,0.305085,108,492,0,120
0.999999,1.0,0.183333,0.309859,110,490,0,120
0.999999,1.0,0.183333,0.309859,110,490,0,120
0.999999,1.0,0.185,0.312236,111,489,0,120
0.999999,1.0,0.188333,0.316971,113,487,0,120
0.999999,1.0,0.19,0.319328,114,486,0,120
0.999999,1.0,0.191667,0.321678,115,485,0,120
0.999999,1.0,0.193333,0.324022,116,484,0,120
0.999999,1.0,0.195,0.32636,117,483,0,120
0.999999,1.0,0.196667,0.328691,118,482,0,120
0.999999,1.0,0.198333,0.331015,119,481,0,120
0.999999,1.0,0.198333,0.331015,119,481,0,120
0.999999,1.0,0.2,0.333333,120,480,0,120
0.999999,1.0,0.203333,0.33795,122,478,0,120
0.999999,1.0,0.203333,0.33795,122,478,0,120
0.999999,1.0,0.205,0.340249,123,477,0,120
