threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
0.02,420,0,82,2,1.0,0.836653,0.02381,0.97619,0.0,1.0,0.837302,0.911063,0.996032,2,82,420,0
0.03,420,0,81,3,1.0,0.838323,0.035714,0.964286,0.0,1.0,0.839286,0.912052,0.994048,3,81,420,0
0.04,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
0.05,420,0,74,10,1.0,0.850202,0.119048,0.880952,0.0,1.0,0.853175,0.919037,0.980159,10,74,420,0
0.06,420,0,71,13,1.0,0.855397,0.154762,0.845238,0.0,1.0,0.859127,0.922064,0.974206,13,71,420,0
0.07,419,1,70,14,0.997619,0.856851,0.166667,0.833333,0.002381,0.933333,0.859127,0.921892,0.970238,14,70,419,1
0.08,419,1,67,17,0.997619,0.86214,0.202381,0.797619,0.002381,0.944444,0.865079,0.924945,0.964286,17,67,419,1
0.09,419,1,66,18,0.997619,0.863918,0.214286,0.785714,0.002381,0.947368,0.867063,0.925967,0.962302,18,66,419,1
0.1,419,1,65,19,0.997619,0.865702,0.22619,0.77381,0.002381,0.95,0.869048,0.926991,0.960317,19,65,419,1
0.11,418,2,62,22,0.995238,0.870833,0.261905,0.738095,0.004762,0.916667,0.873016,0.928889,0.952381,22,62,418,2
0.12,418,2,61,23,0.995238,0.872651,0.27381,0.72619,0.004762,0.92,0.875,0.929922,0.950397,23,61,418,2
0.13,418,2,60,24,0.995238,0.874477,0.285714,0.714286,0.004762,0.923077,0.876984,0.930958,0.948413,24,60,418,2
0.14,418,2,59,25,0.995238,0.87631,0.297619,0.702381,0.004762,0.925926,0.878968,0.931996,0.946429,25,59,418,2
0.15,418,2,58,26,0.995238,0.878151,0.309524,0.690476,0.004762,0.928571,0.880952,0.933036,0.944444,26,58,418,2
0.16,418,2,55,29,0.995238,0.883721,0.345238,0.654762,0.004762,0.935484,0.886905,0.93617,0.938492,29,55,418,2
0.17,418,2,53,31,0.995238,0.887473,0.369048,0.630952,0.004762,0.939394,0.890873,0.938272,0.934524,31,53,418,2
0.18,417,3,53,31,0.992857,0.887234,0.369048,0.630952,0.007143,0.911765,0.888889,0.937079,0.93254,31,53,417,3
0.19,417,3,51,33,0.992857,0.891026,0.392857,0.607143,0.007143,0.916667,0.892857,0.939189,0.928571,33,51,417,3
0.2,417,3,47,37,0.992857,0.898707,0.440476,0.559524,0.007143,0.925,0.900794,0.943439,0.920635,37,47,417,3
0.21,417,3,47,37,0.992857,0.898707,0.440476,0.559524,0.007143,0.925,0.900794,0.943439,0.920635,37,47,417,3
0.22,416,4,47,37,0.990476,0.898488,0.440476,0.559524,0.009524,0.902439,0.89881,0.942242,0.918651,37,47,416,4
0.23,416,4,46,38,0.990476,0.900433,0.452381,0.547619,0.009524,0.904762,0.900794,0.943311,0.916667,38,46,416,4
0.24,415,5,46,38,0.988095,0.900217,0.452381,0.547619,0.011905,0.883721,0.89881,0.942111,0.914683,38,46,415,5
0.25,415,5,44,40,0.988095,0.904139,0.47619,0.52381,0.011905,0.888889,0.902778,0.944255,0.910714,40,44,415,5
0.26,413,7,43,41,0.983333,0.905702,0.488095,0.511905,0.016667,0.854167,0.900794,0.942922,0.904762,41,43,413,7
0.27,412,8,43,41,0.980952,0.905495,0.488095,0.511905,0.019048,0.836735,0.89881,0.941714,0.902778,41,43,412,8
0.28,410,10,43,41,0.97619,0.905077,0.488095,0.511905,0.02381,0.803922,0.894841,0.93929,0.89881,41,43,410,10
