threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
0.999991,0.0,0.0,0.0,0,600,0,120
0.999989,1.0,0.001667,0.003328,1,599,0,120
0.999987,1.0,0.003333,0.006645,2,598,0,120
0.999984,1.0,0.006667,0.013245,4,596,0,120
0.999983,1.0,0.006667,0.013245,4,596,0,120
0.999978,1.0,0.008333,0.016529,5,595,0,120
0.999943,1.0,0.011667,0.023064,7,593,0,120
0.99994,1.0,0.013333,0.026316,8,592,0,120
0.999928,1.0,0.015,0.029557,9,591,0,120
0.999915,1.0,0.015,0.029557,9,591,0,120
0.999913,1.0,0.016667,0.032787,10,590,0,120
0.999898,1.0,0.02,0.039216,12,588,0,120
0.999873,1.0,0.021667,0.042414,13,587,0,120
0.999858,1.0,0.023333,0.045603,14,586,0,120
0.99985,1.0,0.023333,0.045603,14,586,0,120
0.999824,1.0,0.025,0.04878,15,585,0,120
0.999818,1.0,0.026667,0.051948,16,584,0,120
0.999809,1.0,0.03,0.058252,18,582,0,120
0.999805,1.0,0.031667,0.061389,19,581,0,120
0.99977,1.0,0.033333,0.064516,20,580,0,120
0.999767,1.0,0.035,0.067633,21,579,0,120
0.999738,1.0,0.035,0.067633,21,579,0,120
0.999724,1.0,0.036667,0.07074,22,578,0,120
0.999715,1.0,0.04,0.076923,24,576,0,120
0.999671,1.0,0.041667,0.08,25,575,0,120
0.999659,1.0,0.043333,0.083067,26,574,0,120
0.999658,1.0,0.043333,0.083067,26,574,0,120
0.999646,1.0,0.046667,0.089172,28,572,0,120
0.999633,1.0,0.048333,0.09221,29,571,0,120
0.999557,1.0,0.05,0.095238,30,570,0,120
0.999555,1.0,0.05,0.095238,30,570,0,120
0.999519,1.0,0.053333,0.101266,32,568,0,120
0.999517,1.0,0.053333,0.101266,32,568,0,120
0.999502,1.0,0.055,0.104265,33,567,0,120
0.999488,1.0,0.056667,0.107256,34,566,0,120
0.999486,1.0,0.058333,0.110236,35,565,0,120
0.999483,1.0,0.061667,0.11617,37,563,0,120
0.999466,1.0,0.063333,0.119122,38,562,0,120
0.999464,1.0,0.065,0.122066,39,561,0,120
0.999462,1.0,0.066667,0.125,40,560,0,120
0.99942,1.0,0.068333,0.127925,41,559,0,120
0.99941,1.0,0.068333,0.127925,41,559,0,120
0.999382,1.0,0.07,0.130841,42,558,0,120
0.999376,1.0,0.073333,0.136646,44,556,0,120
0.999367,1.0,0.075,0.139535,45,555,0,120
0.999358,1.0,0.075,0.139535,45,555,0,120
0.999357,1.0,0.078333,0.145286,47,553,0,120
0.999333,1.0,0.078333,0.145286,47,553,0,120
0.999247,1.0,0.081667,0.151002,49,551,0,120
0.999232,1.0,0.081667,0.151002,49,551,0,120
0.999185,1.0,0.083333,0.153846,50,550,0,120
0.999159,1.0,0.085,0.156682,51,549,0,120
0.999147,1.0,0.086667,0.159509,52,548,0,120
0.999137,1.0,0.09,0.165138,54,546,0,120
0.999131,1.0,0.091667,0.167939,55,545,0,120
0.999084,1.0,0.091667,0.167939,55,545,0,120
0.999052,1.0,0.095,0.173516,57,543,0,120
0.999017,1.0,0.095,0.173516,57,543,0,120
0.998999,1.0,0.098333,0.179059,59,541,0,120
0.998995,1.0,0.1,0.181818,60,540,0,120
0.998992,1.0,0.101667,0.184569,61,539,0,120
