epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.58241,1.64648,0.46528,0.98333,0.0032843137254901958,0.0032843137254901958,0.0032843137254901958,47.03167676925659,47.032675981521606,96,1,96,21.97815296,21.97815296,13.70573056,0.72431,0.72431,1,0,0,1
2,1.29785,1.60254,0.46667,0.97639,0.006584889705882353,0.006584889705882353,0.006584889705882353,43.21097278594971,90.24366092681885,96,1,96,21.940404224,21.940404224,13.705731072,0.72153,0.72431,1,0,0,0
3,1.23007,1.75708,0.23333,0.92083,0.009852465686274509,0.009852465686274509,0.009852465686274509,43.166216135025024,133.40886569023132,96,1,96,21.940404224,21.940404224,13.703109632,0.57708,0.72431,1,0,0,0
4,1.19956,1.54199,0.52639,0.98889,0.0098515,0.0098515,0.0098515,42.93967604637146,176.3495478630066,96,1,96,21.940404224,21.940404224,13.705731072,0.75764,0.75764,4,0,0,1
5,1.12719,1.51001,0.59722,0.99028,0.009802,0.009802,0.009802,43.35010027885437,219.69964265823364,96,1,96,21.940404224,21.940404224,13.705206784,0.79375,0.79375,5,0,0,1
6,1.04791,1.5144,0.60278,0.9875,0.009752499999999999,0.009752499999999999,0.009752499999999999,42.576483726501465,262.2751257419586,96,1,96,21.940404224,21.940404224,13.705731072,0.79514,0.79514,6,0,0,1
7,1.00544,1.55493,0.53194,0.98472,0.009703,0.009703,0.009703,43.1243953704834,305.4005205631256,96,1,96,21.940404224,21.940404224,13.70625536,0.75833,0.79514,6,0,0,0
8,0.94998,1.48999,0.5875,0.98889,0.009653499999999999,0.009653499999999999,0.009653499999999999,43.088423013687134,348.4889347553253,96,1,96,21.940404224,21.940404224,13.705731072,0.78819,0.79514,6,0,0,0
9,0.90619,1.54028,0.52361,0.98333,0.009604,0.009604,0.009604,42.69958996772766,391.1875340938568,96,1,96,21.940404224,21.940404224,13.704682496,0.75347,0.79514,6,0,0,0
10,0.86672,1.45312,0.63472,0.9875,0.009554499999999999,0.009554499999999999,0.009554499999999999,43.18692684173584,434.37446093559265,96,1,96,21.940404224,21.940404224,13.705731072,0.81111,0.81111,10,0,0,1
11,0.84274,1.46167,0.60278,0.99167,0.009505,0.009505,0.009505,42.434229612350464,476.809690952301,96,1,96,21.940404224,21.940404224,13.704682496,0.79722,0.81111,10,0,0,0
12,0.81318,1.44263,0.61667,0.99444,0.0094555,0.0094555,0.0094555,43.013705015182495,519.8243970870972,96,1,96,21.940404224,21.940404224,13.704682496,0.80556,0.81111,10,0,0,0
13,0.76736,1.43066,0.65139,0.99028,0.009406,0.009406,0.009406,42.9415545463562,562.7654190063477,96,1,96,21.940404224,21.940404224,13.704682496,0.82083,0.82083,13,0,0,1
14,0.74836,1.4895,0.59028,0.9875,0.009356500000000002,0.009356500000000002,0.009356500000000002,42.56528568267822,605.33123254776,96,1,96,21.940404224,21.940404224,13.705731072,0.78889,0.82083,13,0,0,0
15,0.72414,1.51172,0.54583,0.99028,0.009307,0.009307,0.009307,43.24493718147278,648.5751714706421,96,1,96,21.940404224,21.940404224,13.704682496,0.76806,0.82083,13,0,0,0
16,0.69382,1.46069,0.60139,0.99028,0.0092575,0.0092575,0.0092575,42.39772891998291,690.9729053974152,96,1,96,21.940404224,21.940404224,13.705731072,0.79583,0.82083,13,0,0,0
