                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5824,                0.46528,                0.98333,                 1.6465,              0.0032843,              0.0032843,              0.0032843
                      2,                 1.2978,                0.46667,                0.97639,                 1.6025,              0.0065849,              0.0065849,              0.0065849
                      3,                 1.2301,                0.23333,                0.92083,                 1.7571,              0.0098525,              0.0098525,              0.0098525
                      4,                 1.1996,                0.52639,                0.98889,                  1.542,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1272,                0.59722,                0.99028,                   1.51,               0.009802,               0.009802,               0.009802
                      6,                 1.0479,                0.60278,                 0.9875,                 1.5144,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0054,                0.53194,                0.98472,                 1.5549,               0.009703,               0.009703,               0.009703
                      8,                0.94998,                 0.5875,                0.98889,                   1.49,              0.0096535,              0.0096535,              0.0096535
                      9,                0.90619,                0.52361,                0.98333,                 1.5403,               0.009604,               0.009604,               0.009604
                     10,                0.86672,                0.63472,                 0.9875,                 1.4531,              0.0095545,              0.0095545,              0.0095545
                     11,                0.84274,                0.60278,                0.99167,                 1.4617,               0.009505,               0.009505,               0.009505
                     12,                0.81318,                0.61667,                0.99444,                 1.4426,              0.0094555,              0.0094555,              0.0094555
                     13,                0.76736,                0.65139,                0.99028,                 1.4307,               0.009406,               0.009406,               0.009406
                     14,                0.74836,                0.59028,                 0.9875,                 1.4895,              0.0093565,              0.0093565,              0.0093565
                     15,                0.72414,                0.54583,                0.99028,                 1.5117,               0.009307,               0.009307,               0.009307
                     16,                0.69382,                0.60139,                0.99028,                 1.4607,              0.0092575,              0.0092575,              0.0092575
                     17,                0.67373,                0.66806,                0.99722,                 1.4102,               0.009208,               0.009208,               0.009208
                     18,                0.62924,                0.66389,                0.99444,                  1.406,              0.0091585,              0.0091585,              0.0091585
                     19,                0.61584,                0.60556,                0.99167,                 1.4661,               0.009109,               0.009109,               0.009109
                     20,                0.57559,                0.59028,                0.99028,                  1.458,              0.0090595,              0.0090595,              0.0090595
                     21,                0.57652,                0.59861,                0.98889,                 1.4443,                0.00901,                0.00901,                0.00901
                     22,                0.55051,                0.65139,                0.99722,                 1.4136,              0.0089605,              0.0089605,              0.0089605
                     23,                 0.5065,                0.60417,                0.98611,                 1.4392,               0.008911,               0.008911,               0.008911
                     24,                0.48058,                0.57778,                0.99444,                 1.4561,              0.0088615,              0.0088615,              0.0088615
                     25,                0.46762,                  0.575,                0.99444,                 1.4634,               0.008812,               0.008812,               0.008812
                     26,                0.48354,                0.58889,                0.98889,                 1.4624,              0.0087625,              0.0087625,              0.0087625
                     27,                0.46778,                0.62917,                 0.9875,                 1.4109,               0.008713,               0.008713,               0.008713
                     28,                0.43661,                0.60972,                0.98472,                 1.4431,              0.0086635,              0.0086635,              0.0086635
                     29,                0.45356,                 0.6125,                0.99167,                 1.4272,               0.008614,               0.008614,               0.008614
                     30,                0.40626,                0.57222,                0.98472,                 1.4709,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.3749,                0.61944,                0.98472,                  1.415,               0.008515,               0.008515,               0.008515
                     32,                 0.3774,                0.64028,                0.99306,                 1.4167,              0.0084655,              0.0084655,              0.0084655
                     33,                0.36211,                0.63333,                0.99167,                  1.405,               0.008416,               0.008416,               0.008416
                     34,                0.36798,                0.61806,                0.99583,                 1.4209,              0.0083665,              0.0083665,              0.0083665
                     35,                0.36167,                0.62639,                0.99583,                 1.4126,               0.008317,               0.008317,               0.008317
                     36,                0.35667,                0.59861,                0.98611,                 1.4397,              0.0082675,              0.0082675,              0.0082675
                     37,                0.34277,                 0.6125,                0.99444,                 1.4231,               0.008218,               0.008218,               0.008218
