threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,600,0,95,25,1.0,0.863309,0.208333,0.791667,0.0,1.0,0.868056,0.926641,0.965278,25,95,600,0
0.02,600,0,85,35,1.0,0.875912,0.291667,0.708333,0.0,1.0,0.881944,0.933852,0.951389,35,85,600,0
0.03,599,1,81,39,0.998333,0.880882,0.325,0.675,0.001667,0.975,0.886111,0.935937,0.944444,39,81,599,1
0.04,599,1,77,43,0.998333,0.886095,0.358333,0.641667,0.001667,0.977273,0.891667,0.938871,0.938889,43,77,599,1
0.05,599,1,76,44,0.998333,0.887407,0.366667,0.633333,0.001667,0.977778,0.893056,0.939608,0.9375,44,76,599,1
0.06,599,1,75,45,0.998333,0.888724,0.375,0.625,0.001667,0.978261,0.894444,0.940345,0.936111,45,75,599,1
0.07,599,1,74,46,0.998333,0.890045,0.383333,0.616667,0.001667,0.978723,0.895833,0.941084,0.934722,46,74,599,1
0.08,598,2,73,47,0.996667,0.891207,0.391667,0.608333,0.003333,0.959184,0.895833,0.940991,0.931944,47,73,598,2
0.09,597,3,70,50,0.995,0.895052,0.416667,0.583333,0.005,0.943396,0.898611,0.942384,0.926389,50,70,597,3
0.1,597,3,70,50,0.995,0.895052,0.416667,0.583333,0.005,0.943396,0.898611,0.942384,0.926389,50,70,597,3
0.11,597,3,67,53,0.995,0.899096,0.441667,0.558333,0.005,0.946429,0.902778,0.94462,0.922222,53,67,597,3
0.12,596,4,67,53,0.993333,0.898944,0.441667,0.558333,0.006667,0.929825,0.901389,0.943785,0.920833,53,67,596,4
0.13,596,4,66,54,0.993333,0.900302,0.45,0.55,0.006667,0.931034,0.902778,0.944532,0.919444,54,66,596,4
0.14,596,4,66,54,0.993333,0.900302,0.45,0.55,0.006667,0.931034,0.902778,0.944532,0.919444,54,66,596,4
0.15,595,5,65,55,0.991667,0.901515,0.458333,0.541667,0.008333,0.916667,0.902778,0.944444,0.916667,55,65,595,5
0.16,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.17,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.18,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.19,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.2,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.21,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.22,595,5,63,57,0.991667,0.904255,0.475,0.525,0.008333,0.919355,0.905556,0.945946,0.913889,57,63,595,5
0.23,595,5,63,57,0.991667,0.904255,0.475,0.525,0.008333,0.919355,0.905556,0.945946,0.913889,57,63,595,5
0.24,595,5,62,58,0.991667,0.905632,0.483333,0.516667,0.008333,0.920635,0.906944,0.946698,0.9125,58,62,595,5
0.25,595,5,61,59,0.991667,0.907012,0.491667,0.508333,0.008333,0.921875,0.908333,0.947452,0.911111,59,61,595,5
0.26,595,5,57,63,0.991667,0.912577,0.525,0.475,0.008333,0.926471,0.913889,0.950479,0.905556,63,57,595,5
0.27,595,5,56,64,0.991667,0.913978,0.533333,0.466667,0.008333,0.927536,0.915278,0.951239,0.904167,64,56,595,5
0.28,594,6,56,64,0.99,0.913846,0.533333,0.466667,0.01,0.914286,0.913889,0.9504,0.902778,64,56,594,6
0.29,594,6,56,64,0.99,0.913846,0.533333,0.466667,0.01,0.914286,0.913889,0.9504,0.902778,64,56,594,6
