threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,418,2,44,40,0.995238,0.904762,0.47619,0.52381,0.004762,0.952381,0.90873,0.947846,0.916667,40,44,418,2
0.02,416,4,38,46,0.990476,0.9163,0.547619,0.452381,0.009524,0.92,0.916667,0.951945,0.900794,46,38,416,4
0.03,416,4,36,48,0.990476,0.920354,0.571429,0.428571,0.009524,0.923077,0.920635,0.954128,0.896825,48,36,416,4
0.04,416,4,34,50,0.990476,0.924444,0.595238,0.404762,0.009524,0.925926,0.924603,0.956322,0.892857,50,34,416,4
0.05,415,5,34,50,0.988095,0.924276,0.595238,0.404762,0.011905,0.909091,0.922619,0.955121,0.890873,50,34,415,5
0.06,415,5,31,53,0.988095,0.930493,0.630952,0.369048,0.011905,0.913793,0.928571,0.95843,0.884921,53,31,415,5
0.07,415,5,31,53,0.988095,0.930493,0.630952,0.369048,0.011905,0.913793,0.928571,0.95843,0.884921,53,31,415,5
0.08,415,5,31,53,0.988095,0.930493,0.630952,0.369048,0.011905,0.913793,0.928571,0.95843,0.884921,53,31,415,5
0.09,414,6,30,54,0.985714,0.932432,0.642857,0.357143,0.014286,0.9,0.928571,0.958333,0.880952,54,30,414,6
0.1,413,7,30,54,0.983333,0.93228,0.642857,0.357143,0.016667,0.885246,0.926587,0.957126,0.878968,54,30,413,7
0.11,413,7,30,54,0.983333,0.93228,0.642857,0.357143,0.016667,0.885246,0.926587,0.957126,0.878968,54,30,413,7
0.12,412,8,29,55,0.980952,0.93424,0.654762,0.345238,0.019048,0.873016,0.926587,0.957027,0.875,55,29,412,8
0.13,410,10,28,56,0.97619,0.936073,0.666667,0.333333,0.02381,0.848485,0.924603,0.955711,0.869048,56,28,410,10
0.14,410,10,27,57,0.97619,0.938215,0.678571,0.321429,0.02381,0.850746,0.926587,0.956826,0.867063,57,27,410,10
0.15,410,10,27,57,0.97619,0.938215,0.678571,0.321429,0.02381,0.850746,0.926587,0.956826,0.867063,57,27,410,10
0.16,409,11,27,57,0.97381,0.938073,0.678571,0.321429,0.02619,0.838235,0.924603,0.955607,0.865079,57,27,409,11
0.17,408,12,26,58,0.971429,0.940092,0.690476,0.309524,0.028571,0.828571,0.924603,0.955504,0.861111,58,26,408,12
0.18,408,12,26,58,0.971429,0.940092,0.690476,0.309524,0.028571,0.828571,0.924603,0.955504,0.861111,58,26,408,12
0.19,408,12,26,58,0.971429,0.940092,0.690476,0.309524,0.028571,0.828571,0.924603,0.955504,0.861111,58,26,408,12
0.2,408,12,26,58,0.971429,0.940092,0.690476,0.309524,0.028571,0.828571,0.924603,0.955504,0.861111,58,26,408,12
0.21,407,13,25,59,0.969048,0.94213,0.702381,0.297619,0.030952,0.819444,0.924603,0.955399,0.857143,59,25,407,13
0.22,407,13,24,60,0.969048,0.944316,0.714286,0.285714,0.030952,0.821918,0.926587,0.956522,0.855159,60,24,407,13
