epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,1.5098,1.60335,0.49861,0.97917,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,44.41933798789978,44.41933798789978,32,1,32,7.21420288,7.21420288,4.674082304,0.73889,0.73889,1,0,0,1
2,1.31766,1.65568,0.3625,0.95,0.006584408866995074,0.006584408866995074,0.006584408866995074,41.447457790374756,85.86679577827454,32,2,64,7.230980096,7.230980096,4.692158976,0.65625,0.73889,1,0,0,0
3,1.34247,1.68856,0.35556,0.97083,0.009785904761904763,0.009785904761904763,0.009785904761904763,41.03128719329834,126.89908504486084,32,2,64,7.239368704,7.239368704,4.67434496,0.66319,0.73889,1,0,0,0
4,1.37977,1.59757,0.47917,0.98611,0.009703,0.009703,0.009703,41.69506645202637,168.59415292739868,32,2,64,7.233077248,7.233077248,4.691896832,0.73264,0.73889,1,0,0,0
5,1.30432,1.64583,0.44306,0.98472,0.009604,0.009604,0.009604,43.03131723403931,211.62546801567078,32,2,64,7.243563008,7.243563008,4.673820672,0.71389,0.73889,1,0,0,0
6,1.23522,1.56795,0.50833,0.9875,0.009505,0.009505,0.009505,41.43795967102051,253.06242632865906,32,2,64,7.230980096,7.230980096,4.691896832,0.74792,0.74792,6,0,0,1
7,1.19564,1.53459,0.55139,0.98472,0.009406,0.009406,0.009406,41.541449546813965,294.603875875473,32,2,64,7.243563008,7.243563008,4.673820672,0.76806,0.76806,7,0,0,1
8,1.16361,1.56022,0.55417,0.98611,0.009307,0.009307,0.009307,41.75672149658203,336.3615996837616,32,2,64,7.230980096,7.230980096,4.691896832,0.77014,0.77014,8,0,0,1
9,1.13679,1.51668,0.57083,0.99444,0.009208000000000001,0.009208000000000001,0.009208000000000001,41.47402000427246,377.8356189727783,32,2,64,7.243563008,7.243563008,4.673820672,0.78264,0.78264,9,0,0,1
10,1.10166,1.49992,0.57917,0.98472,0.009109,0.009109,0.009109,41.79765057563782,419.63226795196533,32,2,64,7.230980096,7.230980096,4.691896832,0.78194,0.78264,9,0,0,0
11,1.0751,1.50708,0.58889,0.99444,0.00901,0.00901,0.00901,41.73279690742493,461.36606884002686,32,2,64,7.243563008,7.243563008,4.673820672,0.79167,0.79167,11,0,0,1
12,1.04524,1.50366,0.60417,0.9875,0.008911,0.008911,0.008911,41.529597759246826,502.8946626186371,32,2,64,7.230980096,7.230980096,4.691896832,0.79583,0.79583,12,0,0,1
13,1.02156,1.49609,0.56667,0.99444,0.008812,0.008812,0.008812,41.519970417022705,544.4156277179718,32,2,64,7.243563008,7.243563008,4.673820672,0.78056,0.79583,12,0,0,0
14,0.98964,1.49235,0.59861,0.99167,0.008713,0.008713,0.008713,41.18996739387512,585.6056010723114,32,2,64,7.230980096,7.230980096,4.691896832,0.79514,0.79583,12,0,0,0
15,0.9723,1.48543,0.59306,0.99167,0.008614,0.008614,0.008614,41.25222873687744,626.8578293323517,32,2,64,7.243563008,7.243563008,4.673820672,0.79236,0.79583,12,0,0,0
