                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5098,                0.49861,                0.97917,                 1.6034,              0.0033169,              0.0033169,              0.0033169
                      2,                 1.3177,                 0.3625,                   0.95,                 1.6557,              0.0065844,              0.0065844,              0.0065844
                      3,                 1.3425,                0.35556,                0.97083,                 1.6886,              0.0097859,              0.0097859,              0.0097859
                      4,                 1.3798,                0.47917,                0.98611,                 1.5976,               0.009703,               0.009703,               0.009703
                      5,                 1.3043,                0.44306,                0.98472,                 1.6458,               0.009604,               0.009604,               0.009604
                      6,                 1.2352,                0.50833,                 0.9875,                 1.5679,               0.009505,               0.009505,               0.009505
                      7,                 1.1956,                0.55139,                0.98472,                 1.5346,               0.009406,               0.009406,               0.009406
                      8,                 1.1636,                0.55417,                0.98611,                 1.5602,               0.009307,               0.009307,               0.009307
                      9,                 1.1368,                0.57083,                0.99444,                 1.5167,               0.009208,               0.009208,               0.009208
                     10,                 1.1017,                0.57917,                0.98472,                 1.4999,               0.009109,               0.009109,               0.009109
                     11,                 1.0751,                0.58889,                0.99444,                 1.5071,                0.00901,                0.00901,                0.00901
                     12,                 1.0452,                0.60417,                 0.9875,                 1.5037,               0.008911,               0.008911,               0.008911
                     13,                 1.0216,                0.56667,                0.99444,                 1.4961,               0.008812,               0.008812,               0.008812
                     14,                0.98964,                0.59861,                0.99167,                 1.4924,               0.008713,               0.008713,               0.008713
                     15,                 0.9723,                0.59306,                0.99167,                 1.4854,               0.008614,               0.008614,               0.008614
                     16,                0.95578,                0.62222,                0.99028,                  1.461,               0.008515,               0.008515,               0.008515
                     17,                 0.9437,                0.62639,                0.98611,                 1.4591,               0.008416,               0.008416,               0.008416
                     18,                0.93538,                0.61389,                 0.9875,                 1.4608,               0.008317,               0.008317,               0.008317
                     19,                0.89265,                0.63611,                0.98889,                 1.4636,               0.008218,               0.008218,               0.008218
                     20,                0.88928,                0.56528,                0.98889,                 1.4866,               0.008119,               0.008119,               0.008119
                     21,                0.88228,                0.60833,                0.99583,                 1.4609,                0.00802,                0.00802,                0.00802
                     22,                0.84879,                0.62361,                0.99306,                 1.4494,               0.007921,               0.007921,               0.007921
                     23,                0.82437,                0.62778,                0.99306,                 1.4338,               0.007822,               0.007822,               0.007822
                     24,                0.80892,                0.61806,                0.99167,                 1.4457,               0.007723,               0.007723,               0.007723
                     25,                0.79331,                0.63056,                0.99306,                 1.4437,               0.007624,               0.007624,               0.007624
                     26,                0.78198,                0.62361,                0.99444,                 1.4414,               0.007525,               0.007525,               0.007525
                     27,                0.75329,                0.65694,                0.99444,                 1.4211,               0.007426,               0.007426,               0.007426
                     28,                0.74224,                0.61806,                0.99444,                 1.4415,               0.007327,               0.007327,               0.007327
                     29,                0.71857,                0.61528,                0.99583,                   1.44,               0.007228,               0.007228,               0.007228
                     30,                0.69288,                0.63194,                0.99444,                 1.4287,               0.007129,               0.007129,               0.007129
                     31,                 0.6947,                0.64444,                0.99167,                 1.4242,                0.00703,                0.00703,                0.00703
                     32,                0.67474,                0.65556,                0.99444,                 1.4216,               0.006931,               0.006931,               0.006931
                     33,                0.65653,                0.64444,                0.99444,                 1.4111,               0.006832,               0.006832,               0.006832
                     34,                0.63145,                0.63333,                0.99444,                 1.4312,               0.006733,               0.006733,               0.006733
                     35,                0.61005,                0.65139,                0.99167,                 1.4052,               0.006634,               0.006634,               0.006634
                     36,                0.60573,                   0.65,                0.99028,                 1.4078,               0.006535,               0.006535,               0.006535
                     37,                0.58659,                0.64306,                0.99444,                  1.418,               0.006436,               0.006436,               0.006436
                     38,                0.54625,                0.63333,                0.99583,                 1.4181,               0.006337,               0.006337,               0.006337
                     39,                0.55012,                   0.65,                0.99444,                 1.4084,               0.006238,               0.006238,               0.006238
                     40,                0.54573,                0.64028,                0.99306,                 1.4113,               0.006139,               0.006139,               0.006139
                     41,                0.51951,                0.63194,                0.99444,                 1.4092,                0.00604,                0.00604,                0.00604
                     42,                0.51347,                0.66111,                0.99583,                 1.3932,               0.005941,               0.005941,               0.005941
                     43,                0.48032,                0.62917,                0.99722,                 1.4175,               0.005842,               0.005842,               0.005842
                     44,                0.48549,                0.66667,                0.99583,                 1.3831,               0.005743,               0.005743,               0.005743
                     45,                0.47051,                0.65694,                0.99861,                 1.3979,               0.005644,               0.005644,               0.005644
                     46,                0.43183,                0.63611,                0.98889,                 1.4019,               0.005545,               0.005545,               0.005545
                     47,                0.42432,                   0.65,                0.99444,                 1.4054,               0.005446,               0.005446,               0.005446
                     48,                0.42818,                 0.6375,                0.99583,                 1.4066,               0.005347,               0.005347,               0.005347
                     49,                0.38226,                0.65694,                0.99722,                 1.3866,               0.005248,               0.005248,               0.005248
                     50,                0.39336,                0.65972,                0.99861,                 1.3776,               0.005149,               0.005149,               0.005149
                     51,                0.36179,                0.65417,                0.99306,                 1.3904,                0.00505,                0.00505,                0.00505
                     52,                0.37394,                 0.6625,                0.99444,                 1.3796,               0.004951,               0.004951,               0.004951
                     53,                0.36727,                0.66944,                0.99583,                 1.3845,               0.004852,               0.004852,               0.004852
                     54,                0.31725,                0.65556,                0.99583,                 1.3976,               0.004753,               0.004753,               0.004753
                     55,                0.29781,                0.65278,                0.99167,                 1.4051,               0.004654,               0.004654,               0.004654
                     56,                0.31977,                0.66806,                0.99306,                 1.3697,               0.004555,               0.004555,               0.004555
                     57,                0.29586,                0.67083,                0.99722,                 1.3829,               0.004456,               0.004456,               0.004456
                     58,                0.28716,                0.67222,                0.99306,                 1.3729,               0.004357,               0.004357,               0.004357
                     59,                  0.292,                0.65417,                0.99583,                 1.3901,               0.004258,               0.004258,               0.004258
                     60,                0.26314,                   0.65,                0.99583,                 1.3846,               0.004159,               0.004159,               0.004159
                     61,                0.25209,                0.66667,                0.99583,                 1.3796,                0.00406,                0.00406,                0.00406
                     62,                 0.2413,                0.65972,                0.99167,                 1.3672,               0.003961,               0.003961,               0.003961
                     63,                0.24077,                0.66667,                0.99722,                 1.3757,               0.003862,               0.003862,               0.003862
                     64,                0.23766,                0.67778,                0.99444,                 1.3811,               0.003763,               0.003763,               0.003763
                     65,                 0.2137,                0.67639,                0.99444,                 1.3665,               0.003664,               0.003664,               0.003664
                     66,                0.19605,                0.66111,                0.99583,                 1.3805,               0.003565,               0.003565,               0.003565
                     67,                0.19108,                0.66944,                0.99444,                  1.369,               0.003466,               0.003466,               0.003466
                     68,                0.19639,                0.67083,                0.99583,                 1.3775,               0.003367,               0.003367,               0.003367
                     69,                 0.1714,                0.66806,                0.99444,                 1.3781,               0.003268,               0.003268,               0.003268
                     70,                0.16907,                0.65139,                0.99444,                 1.3609,               0.003169,               0.003169,               0.003169
                     71,                0.17131,                0.65972,                0.99444,                 1.3788,                0.00307,                0.00307,                0.00307
                     72,                0.16045,                0.66111,                0.99722,                 1.3814,               0.002971,               0.002971,               0.002971
                     73,                0.14246,                0.67639,                0.99444,                 1.3633,               0.002872,               0.002872,               0.002872
                     74,                 0.1456,                0.66806,                0.99583,                 1.3596,               0.002773,               0.002773,               0.002773
                     75,                0.12318,                0.69306,                0.99444,                 1.3599,               0.002674,               0.002674,               0.002674
                     76,                 0.1329,                0.68194,                0.99722,                  1.363,               0.002575,               0.002575,               0.002575
                     77,                0.11812,                0.67639,                0.99444,                 1.3608,               0.002476,               0.002476,               0.002476
                     78,                0.13053,                  0.675,                0.99444,                 1.3622,               0.002377,               0.002377,               0.002377
                     79,                0.11136,                0.67361,                0.99583,                 1.3639,               0.002278,               0.002278,               0.002278
                     80,                0.11332,                0.67222,                0.99583,                 1.3651,               0.002179,               0.002179,               0.002179
                     81,                0.10121,                0.67917,                0.99583,                 1.3704,                0.00208,                0.00208,                0.00208
                     82,                0.10281,                0.68889,                0.99583,                 1.3586,               0.001981,               0.001981,               0.001981
                     83,                0.09065,                0.68056,                0.99583,                 1.3596,               0.001882,               0.001882,               0.001882
                     84,                0.08405,                0.68889,                0.99583,                 1.3564,               0.001783,               0.001783,               0.001783
                     85,                 0.0876,                0.69028,                0.99722,                 1.3568,               0.001684,               0.001684,               0.001684
                     86,                0.08773,                0.69306,                0.99306,                 1.3595,               0.001585,               0.001585,               0.001585
                     87,                0.07936,                0.68194,                0.99444,                 1.3558,               0.001486,               0.001486,               0.001486
                     88,                0.07436,                0.68333,                0.99444,                 1.3509,               0.001387,               0.001387,               0.001387
                     89,                 0.0643,                0.68333,                0.99444,                 1.3572,               0.001288,               0.001288,               0.001288
                     90,                0.06892,                0.68611,                0.99861,                 1.3759,               0.001189,               0.001189,               0.001189
                     91,                0.06266,                0.68611,                0.99861,                 1.3507,                0.00109,                0.00109,                0.00109
                     92,                  0.054,                 0.6875,                0.99861,                 1.3479,               0.000991,               0.000991,               0.000991
                     93,                0.05816,                0.67917,                0.99722,                 1.3551,               0.000892,               0.000892,               0.000892
                     94,                0.05935,                  0.675,                0.99722,                 1.3438,               0.000793,               0.000793,               0.000793
                     95,                0.05715,                0.66944,                0.99722,                 1.3591,               0.000694,               0.000694,               0.000694
                     96,                0.05406,                0.67917,                0.99722,                 1.3517,               0.000595,               0.000595,               0.000595
                     97,                0.05353,                  0.675,                0.99444,                 1.3603,               0.000496,               0.000496,               0.000496
                     98,                0.04727,                  0.675,                0.99444,                 1.3551,               0.000397,               0.000397,               0.000397
                     99,                0.05005,                0.66389,                0.99444,                 1.3634,               0.000298,               0.000298,               0.000298
                    100,                0.04209,                0.67222,                0.99722,                 1.3605,               0.000199,               0.000199,               0.000199
