threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.008333,0.008333,0.0,1.0,5,595,0,120
1.0,0.07,0.07,0.0,1.0,42,558,0,120
1.0,0.075,0.075,0.0,1.0,45,555,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.083333,0.083333,0.0,1.0,50,550,0,120
1.0,0.086667,0.086667,0.0,1.0,52,548,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.101667,0.101667,0.0,1.0,61,539,0,120
1.0,0.105,0.105,0.0,1.0,63,537,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.113333,0.113333,0.0,1.0,68,532,0,120
1.0,0.115,0.115,0.0,1.0,69,531,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.12,0.12,0.0,1.0,72,528,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.125,0.125,0.0,1.0,75,525,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.13,0.13,0.0,1.0,78,522,0,120
1.0,0.131667,0.131667,0.0,1.0,79,521,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.136667,0.136667,0.0,1.0,82,518,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.14,0.14,0.0,1.0,84,516,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.15,0.15,0.0,1.0,90,510,0,120
1.0,0.153333,0.153333,0.0,1.0,92,508,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.158333,0.158333,0.0,1.0,95,505,0,120
1.0,0.161667,0.161667,0.0,1.0,97,503,0,120
1.0,0.163333,0.163333,0.0,1.0,98,502,0,120
1.0,0.165,0.165,0.0,1.0,99,501,0,120
1.0,0.166667,0.166667,0.0,1.0,100,500,0,120
1.0,0.168333,0.168333,0.0,1.0,101,499,0,120
1.0,0.17,0.17,0.0,1.0,102,498,0,120
1.0,0.171667,0.171667,0.0,1.0,103,497,0,120
1.0,0.171667,0.171667,0.0,1.0,103,497,0,120
1.0,0.175,0.175,0.0,1.0,105,495,0,120
1.0,0.176667,0.176667,0.0,1.0,106,494,0,120
1.0,0.176667,0.176667,0.0,1.0,106,494,0,120
1.0,0.178333,0.178333,0.0,1.0,107,493,0,120
1.0,0.18,0.18,0.0,1.0,108,492,0,120
1.0,0.183333,0.183333,0.0,1.0,110,490,0,120
1.0,0.183333,0.183333,0.0,1.0,110,490,0,120
1.0,0.186667,0.186667,0.0,1.0,112,488,0,120
1.0,0.188333,0.188333,0.0,1.0,113,487,0,120
1.0,0.19,0.19,0.0,1.0,114,486,0,120
1.0,0.19,0.19,0.0,1.0,114,486,0,120
1.0,0.191667,0.191667,0.0,1.0,115,485,0,120
1.0,0.195,0.195,0.0,1.0,117,483,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.198333,0.198333,0.0,1.0,119,481,0,120
1.0,0.201667,0.201667,0.0,1.0,121,479,0,120
1.0,0.201667,0.201667,0.0,1.0,121,479,0,120
1.0,0.205,0.205,0.0,1.0,123,477,0,120
1.0,0.205,0.205,0.0,1.0,123,477,0,120
1.0,0.208333,0.208333,0.0,1.0,125,475,0,120
1.0,0.21,0.21,0.0,1.0,126,474,0,120
1.0,0.211667,0.211667,0.0,1.0,127,473,0,120
1.0,0.211667,0.211667,0.0,1.0,127,473,0,120
1.0,0.213333,0.213333,0.0,1.0,128,472,0,120
1.0,0.216667,0.216667,0.0,1.0,130,470,0,120
1.0,0.216667,0.216667,0.0,1.0,130,470,0,120
1.0,0.22,0.22,0.0,1.0,132,468,0,120
1.0,0.22,0.22,0.0,1.0,132,468,0,120
1.0,0.223333,0.223333,0.0,1.0,134,466,0,120
1.0,0.225,0.225,0.0,1.0,135,465,0,120
1.0,0.226667,0.226667,0.0,1.0,136,464,0,120
1.0,0.228333,0.228333,0.0,1.0,137,463,0,120
1.0,0.228333,0.228333,0.0,1.0,137,463,0,120
1.0,0.23,0.23,0.0,1.0,138,462,0,120
1.0,0.231667,0.231667,0.0,1.0,139,461,0,120
1.0,0.235,0.235,0.0,1.0,141,459,0,120
1.0,0.236667,0.236667,0.0,1.0,142,458,0,120
1.0,0.236667,0.236667,0.0,1.0,142,458,0,120
1.0,0.24,0.24,0.0,1.0,144,456,0,120
1.0,0.24,0.24,0.0,1.0,144,456,0,120
1.0,0.243333,0.243333,0.0,1.0,146,454,0,120
1.0,0.245,0.245,0.0,1.0,147,453,0,120
1.0,0.246667,0.246667,0.0,1.0,148,452,0,120
1.0,0.248333,0.248333,0.0,1.0,149,451,0,120
1.0,0.248333,0.248333,0.0,1.0,149,451,0,120
1.0,0.25,0.25,0.0,1.0,150,450,0,120
