threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,597,3,60,60,0.995,0.908676,0.5,0.5,0.005,0.952381,0.9125,0.949881,0.9125,60,60,597,3
0.02,595,5,53,67,0.991667,0.91821,0.558333,0.441667,0.008333,0.930556,0.919444,0.953526,0.9,67,53,595,5
0.03,594,6,51,69,0.99,0.92093,0.575,0.425,0.01,0.92,0.920833,0.954217,0.895833,69,51,594,6
0.04,594,6,49,71,0.99,0.923795,0.591667,0.408333,0.01,0.922078,0.923611,0.955752,0.893056,71,49,594,6
0.05,593,7,49,71,0.988333,0.923676,0.591667,0.408333,0.011667,0.910256,0.922222,0.954911,0.891667,71,49,593,7
0.06,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.07,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.08,593,7,45,75,0.988333,0.929467,0.625,0.375,0.011667,0.914634,0.927778,0.957997,0.886111,75,45,593,7
0.09,592,8,44,76,0.986667,0.930818,0.633333,0.366667,0.013333,0.904762,0.927778,0.957929,0.883333,76,44,592,8
0.1,591,9,43,77,0.985,0.932177,0.641667,0.358333,0.015,0.895349,0.927778,0.957861,0.880556,77,43,591,9
0.11,591,9,43,77,0.985,0.932177,0.641667,0.358333,0.015,0.895349,0.927778,0.957861,0.880556,77,43,591,9
0.12,590,10,41,79,0.983333,0.935024,0.658333,0.341667,0.016667,0.88764,0.929167,0.95857,0.876389,79,41,590,10
0.13,587,13,40,80,0.978333,0.936204,0.666667,0.333333,0.021667,0.860215,0.926389,0.956805,0.870833,80,40,587,13
0.14,587,13,39,81,0.978333,0.9377,0.675,0.325,0.021667,0.861702,0.927778,0.957586,0.869444,81,39,587,13
0.15,587,13,39,81,0.978333,0.9377,0.675,0.325,0.021667,0.861702,0.927778,0.957586,0.869444,81,39,587,13
0.16,586,14,38,82,0.976667,0.939103,0.683333,0.316667,0.023333,0.854167,0.927778,0.957516,0.866667,82,38,586,14
0.17,585,15,37,83,0.975,0.940514,0.691667,0.308333,0.025,0.846939,0.927778,0.957447,0.863889,83,37,585,15
0.18,585,15,37,83,0.975,0.940514,0.691667,0.308333,0.025,0.846939,0.927778,0.957447,0.863889,83,37,585,15
0.19,585,15,37,83,0.975,0.940514,0.691667,0.308333,0.025,0.846939,0.927778,0.957447,0.863889,83,37,585,15
0.2,585,15,37,83,0.975,0.940514,0.691667,0.308333,0.025,0.846939,0.927778,0.957447,0.863889,83,37,585,15
0.21,584,16,36,84,0.973333,0.941935,0.7,0.3,0.026667,0.84,0.927778,0.957377,0.861111,84,36,584,16
0.22,584,16,35,85,0.973333,0.943457,0.708333,0.291667,0.026667,0.841584,0.929167,0.958162,0.859722,85,35,584,16
0.23,583,17,35,85,0.971667,0.943366,0.708333,0.291667,0.028333,0.833333,0.927778,0.957307,0.858333,85,35,583,17
0.24,582,18,35,85,0.97,0.943274,0.708333,0.291667,0.03,0.825243,0.926389,0.95645,0.856944,85,35,582,18
0.25,582,18,34,86,0.97,0.944805,0.716667,0.283333,0.03,0.826923,0.927778,0.957237,0.855556,86,34,582,18
0.26,582,18,33,87,0.97,0.946341,0.725,0.275,0.03,0.828571,0.929167,0.958025,0.854167,87,33,582,18
0.27,581,19,32,88,0.968333,0.947798,0.733333,0.266667,0.031667,0.82243,0.929167,0.957955,0.851389,88,32,581,19
0.28,581,19,31,89,0.968333,0.949346,0.741667,0.258333,0.031667,0.824074,0.930556,0.958746,0.85,89,31,581,19
0.29,581,19,30,90,0.968333,0.9509,0.75,0.25,0.031667,0.825688,0.931944,0.959538,0.848611,90,30,581,19
0.3,581,19,30,90,0.968333,0.9509,0.75,0.25,0.031667,0.825688,0.931944,0.959538,0.848611,90,30,581,19
0.31,581,19,29,91,0.968333,0.952459,0.758333,0.241667,0.031667,0.827273,0.933333,0.960331,0.847222,91,29,581,19
0.32,581,19,29,91,0.968333,0.952459,0.758333,0.241667,0.031667,0.827273,0.933333,0.960331,0.847222,91,29,581,19
0.33,581,19,28,92,0.968333,0.954023,0.766667,0.233333,0.031667,0.828829,0.934722,0.961125,0.845833,92,28,581,19
0.34,581,19,27,93,0.968333,0.955592,0.775,0.225,0.031667,0.830357,0.936111,0.961921,0.844444,93,27,581,19
0.35,581,19,27,93,0.968333,0.955592,0.775,0.225,0.031667,0.830357,0.936111,0.961921,0.844444,93,27,581,19
