threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,84,0,1.0,0.833333,0.0,1.0,0.0,0.0,0.833333,0.909091,1.0,0,84,420,0
0.02,420,0,81,3,1.0,0.838323,0.035714,0.964286,0.0,1.0,0.839286,0.912052,0.994048,3,81,420,0
0.03,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
0.04,420,0,75,9,1.0,0.848485,0.107143,0.892857,0.0,1.0,0.85119,0.918033,0.982143,9,75,420,0
0.05,419,1,72,12,0.997619,0.85336,0.142857,0.857143,0.002381,0.923077,0.855159,0.919868,0.974206,12,72,419,1
0.06,418,2,71,13,0.995238,0.854806,0.154762,0.845238,0.004762,0.866667,0.855159,0.919692,0.970238,13,71,418,2
0.07,418,2,67,17,0.995238,0.861856,0.202381,0.797619,0.004762,0.894737,0.863095,0.923757,0.962302,17,67,418,2
0.08,418,2,66,18,0.995238,0.863636,0.214286,0.785714,0.004762,0.9,0.865079,0.924779,0.960317,18,66,418,2
0.09,418,2,64,20,0.995238,0.86722,0.238095,0.761905,0.004762,0.909091,0.869048,0.926829,0.956349,20,64,418,2
0.1,418,2,63,21,0.995238,0.869023,0.25,0.75,0.004762,0.913043,0.871032,0.927858,0.954365,21,63,418,2
0.11,418,2,60,24,0.995238,0.874477,0.285714,0.714286,0.004762,0.923077,0.876984,0.930958,0.948413,24,60,418,2
0.12,418,2,56,28,0.995238,0.881857,0.333333,0.666667,0.004762,0.933333,0.884921,0.935123,0.940476,28,56,418,2
0.13,418,2,55,29,0.995238,0.883721,0.345238,0.654762,0.004762,0.935484,0.886905,0.93617,0.938492,29,55,418,2
0.14,418,2,51,33,0.995238,0.891258,0.392857,0.607143,0.004762,0.942857,0.894841,0.940382,0.930556,33,51,418,2
0.15,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
0.16,418,2,49,35,0.995238,0.895075,0.416667,0.583333,0.004762,0.945946,0.89881,0.942503,0.926587,35,49,418,2
0.17,417,3,48,36,0.992857,0.896774,0.428571,0.571429,0.007143,0.923077,0.89881,0.942373,0.922619,36,48,417,3
0.18,417,3,47,37,0.992857,0.898707,0.440476,0.559524,0.007143,0.925,0.900794,0.943439,0.920635,37,47,417,3
0.19,417,3,45,39,0.992857,0.902597,0.464286,0.535714,0.007143,0.928571,0.904762,0.945578,0.916667,39,45,417,3
0.2,417,3,45,39,0.992857,0.902597,0.464286,0.535714,0.007143,0.928571,0.904762,0.945578,0.916667,39,45,417,3
0.21,416,4,45,39,0.990476,0.902386,0.464286,0.535714,0.009524,0.906977,0.902778,0.944381,0.914683,39,45,416,4
0.22,416,4,44,40,0.990476,0.904348,0.47619,0.52381,0.009524,0.909091,0.904762,0.945455,0.912698,40,44,416,4
0.23,416,4,43,41,0.990476,0.906318,0.488095,0.511905,0.009524,0.911111,0.906746,0.94653,0.910714,41,43,416,4
0.24,416,4,43,41,0.990476,0.906318,0.488095,0.511905,0.009524,0.911111,0.906746,0.94653,0.910714,41,43,416,4
0.25,415,5,43,41,0.988095,0.906114,0.488095,0.511905,0.011905,0.891304,0.904762,0.94533,0.90873,41,43,415,5
0.26,415,5,41,43,0.988095,0.910088,0.511905,0.488095,0.011905,0.895833,0.90873,0.947489,0.904762,43,41,415,5
0.27,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
