row_id,img_id,split,gt_label,gt_index,img_rel_path,img_path,pred_label,pred_index,correct,top5_correct,top1_prob,top2_label,top2_prob,top3_label,top3_prob,margin,entropy,entropy_norm,p_normal,p_abnormal,abnormal_conf,width,height,aspect_ratio,embedding_index,top5_labels_json,top5_probs_json,probs_json
8,00004815,val,Abnormal,0,val/Abnormal/00004815.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00004815.png,Normal,1,0,1,0.9999356269836426,Abnormal,6.435040268115699e-05,Abnormal,6.435040268115699e-05,0.9998712765809614,0.0006854274507330778,0.0009888627840617756,0.9999356269836426,6.437301635742188e-05,6.437301635742188e-05,720,576,1.25,8,"[""Normal"", ""Abnormal""]","[0.9999356269836426, 6.435040268115699e-05]","{""Abnormal"": 6.435040268115699e-05, ""Normal"": 0.9999356269836426}"
44,00026505,val,Abnormal,0,val/Abnormal/00026505.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00026505.png,Normal,1,0,1,0.6053844094276428,Abnormal,0.39461565017700195,Abnormal,0.39461565017700195,0.21076875925064087,0.6707679811944889,0.9677136400563906,0.6053844094276428,0.3946155905723572,0.3946155905723572,720,576,1.25,44,"[""Normal"", ""Abnormal""]","[0.6053844094276428, 0.39461565017700195]","{""Abnormal"": 0.39461565017700195, ""Normal"": 0.6053844094276428}"
67,00034454,val,Abnormal,0,val/Abnormal/00034454.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00034454.png,Normal,1,0,1,0.6077880263328552,Abnormal,0.3922119438648224,Abnormal,0.3922119438648224,0.21557608246803284,0.6697272552071044,0.9662121898354668,0.6077880263328552,0.3922119736671448,0.3922119736671448,720,576,1.25,67,"[""Normal"", ""Abnormal""]","[0.6077880263328552, 0.3922119438648224]","{""Abnormal"": 0.3922119438648224, ""Normal"": 0.6077880263328552}"
79,00040357,val,Abnormal,0,val/Abnormal/00040357.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00040357.png,Normal,1,0,1,0.960176944732666,Abnormal,0.03982299938797951,Abnormal,0.03982299938797951,0.9203539453446865,0.16738127535929365,0.241480135898523,0.960176944732666,0.039823055267333984,0.039823055267333984,720,576,1.25,79,"[""Normal"", ""Abnormal""]","[0.960176944732666, 0.03982299938797951]","{""Abnormal"": 0.03982299938797951, ""Normal"": 0.960176944732666}"
80,00040505,val,Abnormal,0,val/Abnormal/00040505.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00040505.png,Normal,1,0,1,0.9890404343605042,Abnormal,0.010959572158753872,Abnormal,0.010959572158753872,0.9780808622017503,0.0603657786160854,0.08708940944882744,0.9890404343605042,0.01095956563949585,0.01095956563949585,720,576,1.25,80,"[""Normal"", ""Abnormal""]","[0.9890404343605042, 0.010959572158753872]","{""Abnormal"": 0.010959572158753872, ""Normal"": 0.9890404343605042}"
137,00147722,val,Abnormal,0,val/Abnormal/00147722.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00147722.png,Normal,1,0,1,0.7276240587234497,Abnormal,0.2723759710788727,Abnormal,0.2723759710788727,0.455248087644577,0.5856077198573408,0.844853353344479,0.7276240587234497,0.2723759412765503,0.2723759412765503,720,576,1.25,137,"[""Normal"", ""Abnormal""]","[0.7276240587234497, 0.2723759710788727]","{""Abnormal"": 0.2723759710788727, ""Normal"": 0.7276240587234497}"
194,00169399,val,Abnormal,0,val/Abnormal/00169399.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00169399.png,Normal,1,0,1,0.9928287863731384,Abnormal,0.0071711549535393715,Abnormal,0.0071711549535393715,0.9856576314195991,0.042554368535325245,0.06139297645407507,0.9928287863731384,0.007171213626861572,0.007171213626861572,720,576,1.25,194,"[""Normal"", ""Abnormal""]","[0.9928287863731384, 0.0071711549535393715]","{""Abnormal"": 0.0071711549535393715, ""Normal"": 0.9928287863731384}"
209,00281869,val,Abnormal,0,val/Abnormal/00281869.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00281869.png,Normal,1,0,1,0.6322376132011414,Abnormal,0.36776238679885864,Abnormal,0.36776238679885864,0.2644752264022827,0.6577540364912848,0.9489384865706749,0.6322376132011414,0.36776238679885864,0.36776238679885864,352,288,1.222222,209,"[""Normal"", ""Abnormal""]","[0.6322376132011414, 0.36776238679885864]","{""Abnormal"": 0.36776238679885864, ""Normal"": 0.6322376132011414}"
282,00320226,val,Abnormal,0,val/Abnormal/00320226.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00320226.png,Normal,1,0,1,0.9998780488967896,Abnormal,0.00012195717135909945,Abnormal,0.00012195717135909945,0.9997560917254305,0.0012210022587606376,0.0017615339036281949,0.9998780488967896,0.00012195110321044922,0.00012195110321044922,480,576,0.833333,282,"[""Normal"", ""Abnormal""]","[0.9998780488967896, 0.00012195717135909945]","{""Abnormal"": 0.00012195717135909945, ""Normal"": 0.9998780488967896}"
349,00383441,val,Abnormal,0,val/Abnormal/00383441.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\datasets\stage1_gate_hn_backflow\yolo11s_gate2_hn02\val\Abnormal\00383441.png,Normal,1,0,1,0.5724553465843201,Abnormal,0.4275446832180023,Abnormal,0.4275446832180023,0.14491066336631775,0.6826105625226742,0.9847988734098877,0.5724553465843201,0.42754465341567993,0.42754465341567993,352,288,1.222222,349,"[""Normal"", ""Abnormal""]","[0.5724553465843201, 0.4275446832180023]","{""Abnormal"": 0.4275446832180023, ""Normal"": 0.5724553465843201}"
