                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03764,                0.92778,                      1,                0.38137,               0.003317,               0.003317,               0.003317
                      2,                 0.0367,                0.92778,                      1,                0.37992,              0.0066174,              0.0066174,              0.0066174
                      3,                0.09843,                0.89444,                      1,                0.41954,              0.0098848,              0.0098848,              0.0098848
                      4,                0.17986,                  0.875,                      1,                0.42916,              0.0098515,              0.0098515,              0.0098515
                      5,                0.16837,                0.90556,                      1,                 0.4066,               0.009802,               0.009802,               0.009802
                      6,                0.16626,                0.89444,                      1,                 0.4177,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.1775,                0.90556,                      1,                0.40446,               0.009703,               0.009703,               0.009703
                      8,                0.15619,                    0.9,                      1,                0.41758,              0.0096535,              0.0096535,              0.0096535
                      9,                0.17415,                0.90278,                      1,                0.40505,               0.009604,               0.009604,               0.009604
                     10,                 0.1706,                 0.8875,                      1,                0.41836,              0.0095545,              0.0095545,              0.0095545
                     11,                0.15626,                0.89167,                      1,                0.41386,               0.009505,               0.009505,               0.009505
                     12,                0.15758,                0.88194,                      1,                0.43762,              0.0094555,              0.0094555,              0.0094555
                     13,                0.16476,                0.89722,                      1,                 0.4165,               0.009406,               0.009406,               0.009406
                     14,                0.16123,                0.89306,                      1,                0.41213,              0.0093565,              0.0093565,              0.0093565
                     15,                0.15473,                0.89861,                      1,                0.40613,               0.009307,               0.009307,               0.009307
                     16,                 0.1717,                0.88472,                      1,                0.42497,              0.0092575,              0.0092575,              0.0092575
                     17,                0.15296,                0.90694,                      1,                0.41294,               0.009208,               0.009208,               0.009208
                     18,                 0.1676,                0.90278,                      1,                0.40906,              0.0091585,              0.0091585,              0.0091585
                     19,                0.13554,                0.88194,                      1,                0.42948,               0.009109,               0.009109,               0.009109
                     20,                0.14784,                0.90972,                      1,                0.40529,              0.0090595,              0.0090595,              0.0090595
                     21,                0.13999,                0.91389,                      1,                 0.3976,                0.00901,                0.00901,                0.00901
                     22,                0.15662,                0.89722,                      1,                0.40702,              0.0089605,              0.0089605,              0.0089605
