threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.013333,0.013333,0.0,1.0,8,592,0,120
1.0,0.018333,0.018333,0.0,1.0,11,589,0,120
1.0,0.023333,0.023333,0.0,1.0,14,586,0,120
1.0,0.028333,0.028333,0.0,1.0,17,583,0,120
1.0,0.03,0.03,0.0,1.0,18,582,0,120
1.0,0.03,0.03,0.0,1.0,18,582,0,120
1.0,0.031667,0.031667,0.0,1.0,19,581,0,120
1.0,0.033333,0.033333,0.0,1.0,20,580,0,120
1.0,0.035,0.035,0.0,1.0,21,579,0,120
1.0,0.038333,0.038333,0.0,1.0,23,577,0,120
1.0,0.038333,0.038333,0.0,1.0,23,577,0,120
1.0,0.04,0.04,0.0,1.0,24,576,0,120
1.0,0.043333,0.043333,0.0,1.0,26,574,0,120
1.0,0.043333,0.043333,0.0,1.0,26,574,0,120
1.0,0.046667,0.046667,0.0,1.0,28,572,0,120
1.0,0.046667,0.046667,0.0,1.0,28,572,0,120
1.0,0.05,0.05,0.0,1.0,30,570,0,120
1.0,0.051667,0.051667,0.0,1.0,31,569,0,120
1.0,0.053333,0.053333,0.0,1.0,32,568,0,120
1.0,0.055,0.055,0.0,1.0,33,567,0,120
1.0,0.056667,0.056667,0.0,1.0,34,566,0,120
1.0,0.056667,0.056667,0.0,1.0,34,566,0,120
1.0,0.06,0.06,0.0,1.0,36,564,0,120
1.0,0.061667,0.061667,0.0,1.0,37,563,0,120
1.0,0.061667,0.061667,0.0,1.0,37,563,0,120
1.0,0.065,0.065,0.0,1.0,39,561,0,120
1.0,0.065,0.065,0.0,1.0,39,561,0,120
1.0,0.068333,0.068333,0.0,1.0,41,559,0,120
1.0,0.07,0.07,0.0,1.0,42,558,0,120
1.0,0.071667,0.071667,0.0,1.0,43,557,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.08,0.08,0.0,1.0,48,552,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.085,0.085,0.0,1.0,51,549,0,120
1.0,0.086667,0.086667,0.0,1.0,52,548,0,120
1.0,0.086667,0.086667,0.0,1.0,52,548,0,120
1.0,0.088333,0.088333,0.0,1.0,53,547,0,120
1.0,0.091667,0.091667,0.0,1.0,55,545,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.098333,0.098333,0.0,1.0,59,541,0,120
1.0,0.1,0.1,0.0,1.0,60,540,0,120
1.0,0.101667,0.101667,0.0,1.0,61,539,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.105,0.105,0.0,1.0,63,537,0,120
1.0,0.106667,0.106667,0.0,1.0,64,536,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.111667,0.111667,0.0,1.0,67,533,0,120
1.0,0.113333,0.113333,0.0,1.0,68,532,0,120
1.0,0.115,0.115,0.0,1.0,69,531,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.128333,0.128333,0.0,1.0,77,523,0,120
1.0,0.13,0.13,0.0,1.0,78,522,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.143333,0.143333,0.0,1.0,86,514,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.15,0.15,0.0,1.0,90,510,0,120
1.0,0.15,0.15,0.0,1.0,90,510,0,120
1.0,0.153333,0.153333,0.0,1.0,92,508,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.156667,0.156667,0.0,1.0,94,506,0,120
