threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,417,3,49,35,0.992857,0.89485,0.416667,0.583333,0.007143,0.921053,0.896825,0.941309,0.924603,35,49,417,3
0.02,415,5,48,36,0.988095,0.896328,0.428571,0.571429,0.011905,0.878049,0.894841,0.939977,0.918651,36,48,415,5
0.03,414,6,45,39,0.985714,0.901961,0.464286,0.535714,0.014286,0.866667,0.89881,0.94198,0.910714,39,45,414,6
0.04,414,6,40,44,0.985714,0.911894,0.52381,0.47619,0.014286,0.88,0.90873,0.947368,0.900794,44,40,414,6
0.05,414,6,39,45,0.985714,0.913907,0.535714,0.464286,0.014286,0.882353,0.910714,0.948454,0.89881,45,39,414,6
0.06,413,7,38,46,0.983333,0.915743,0.547619,0.452381,0.016667,0.867925,0.910714,0.948335,0.894841,46,38,413,7
0.07,413,7,36,48,0.983333,0.919822,0.571429,0.428571,0.016667,0.872727,0.914683,0.950518,0.890873,48,36,413,7
0.08,412,8,34,50,0.980952,0.923767,0.595238,0.404762,0.019048,0.862069,0.916667,0.951501,0.884921,50,34,412,8
0.09,412,8,33,51,0.980952,0.925843,0.607143,0.392857,0.019048,0.864407,0.918651,0.952601,0.882937,51,33,412,8
0.1,411,9,33,51,0.978571,0.925676,0.607143,0.392857,0.021429,0.85,0.916667,0.951389,0.880952,51,33,411,9
0.11,411,9,33,51,0.978571,0.925676,0.607143,0.392857,0.021429,0.85,0.916667,0.951389,0.880952,51,33,411,9
0.12,411,9,33,51,0.978571,0.925676,0.607143,0.392857,0.021429,0.85,0.916667,0.951389,0.880952,51,33,411,9
0.13,411,9,32,52,0.978571,0.927765,0.619048,0.380952,0.021429,0.852459,0.918651,0.952491,0.878968,52,32,411,9
0.14,411,9,32,52,0.978571,0.927765,0.619048,0.380952,0.021429,0.852459,0.918651,0.952491,0.878968,52,32,411,9
0.15,411,9,31,53,0.978571,0.929864,0.630952,0.369048,0.021429,0.854839,0.920635,0.953596,0.876984,53,31,411,9
0.16,411,9,31,53,0.978571,0.929864,0.630952,0.369048,0.021429,0.854839,0.920635,0.953596,0.876984,53,31,411,9
0.17,411,9,30,54,0.978571,0.931973,0.642857,0.357143,0.021429,0.857143,0.922619,0.954704,0.875,54,30,411,9
0.18,411,9,29,55,0.978571,0.934091,0.654762,0.345238,0.021429,0.859375,0.924603,0.955814,0.873016,55,29,411,9
0.19,411,9,29,55,0.978571,0.934091,0.654762,0.345238,0.021429,0.859375,0.924603,0.955814,0.873016,55,29,411,9
0.2,411,9,29,55,0.978571,0.934091,0.654762,0.345238,0.021429,0.859375,0.924603,0.955814,0.873016,55,29,411,9
0.21,411,9,28,56,0.978571,0.936219,0.666667,0.333333,0.021429,0.861538,0.926587,0.956927,0.871032,56,28,411,9
0.22,409,11,27,57,0.97381,0.938073,0.678571,0.321429,0.02619,0.838235,0.924603,0.955607,0.865079,57,27,409,11
0.23,409,11,26,58,0.97381,0.94023,0.690476,0.309524,0.02619,0.84058,0.926587,0.956725,0.863095,58,26,409,11
0.24,409,11,26,58,0.97381,0.94023,0.690476,0.309524,0.02619,0.84058,0.926587,0.956725,0.863095,58,26,409,11
0.25,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.26,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.27,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.28,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.29,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.3,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.31,409,11,25,59,0.97381,0.942396,0.702381,0.297619,0.02619,0.842857,0.928571,0.957845,0.861111,59,25,409,11
0.32,409,11,24,60,0.97381,0.944573,0.714286,0.285714,0.02619,0.84507,0.930556,0.958968,0.859127,60,24,409,11
0.33,409,11,24,60,0.97381,0.944573,0.714286,0.285714,0.02619,0.84507,0.930556,0.958968,0.859127,60,24,409,11
0.34,409,11,24,60,0.97381,0.944573,0.714286,0.285714,0.02619,0.84507,0.930556,0.958968,0.859127,60,24,409,11
0.35,408,12,24,60,0.971429,0.944444,0.714286,0.285714,0.028571,0.833333,0.928571,0.957746,0.857143,60,24,408,12
0.36,408,12,23,61,0.971429,0.946636,0.72619,0.27381,0.028571,0.835616,0.930556,0.958872,0.855159,61,23,408,12
0.37,408,12,23,61,0.971429,0.946636,0.72619,0.27381,0.028571,0.835616,0.930556,0.958872,0.855159,61,23,408,12
0.38,408,12,23,61,0.971429,0.946636,0.72619,0.27381,0.028571,0.835616,0.930556,0.958872,0.855159,61,23,408,12
0.39,408,12,23,61,0.971429,0.946636,0.72619,0.27381,0.028571,0.835616,0.930556,0.958872,0.855159,61,23,408,12
0.4,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.41,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.42,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.43,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.44,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.45,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.46,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.47,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.48,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.49,408,12,22,62,0.971429,0.948837,0.738095,0.261905,0.028571,0.837838,0.93254,0.96,0.853175,62,22,408,12
0.5,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.51,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.52,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.53,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.54,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.55,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.56,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.57,408,12,20,64,0.971429,0.953271,0.761905,0.238095,0.028571,0.842105,0.936508,0.962264,0.849206,64,20,408,12
0.58,407,13,20,64,0.969048,0.953162,0.761905,0.238095,0.030952,0.831169,0.934524,0.961039,0.847222,64,20,407,13
0.59,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.6,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.61,406,14,20,64,0.966667,0.953052,0.761905,0.238095,0.033333,0.820513,0.93254,0.959811,0.845238,64,20,406,14
0.62,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
0.63,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
0.64,405,15,20,64,0.964286,0.952941,0.761905,0.238095,0.035714,0.810127,0.930556,0.95858,0.843254,64,20,405,15
0.65,404,16,20,64,0.961905,0.95283,0.761905,0.238095,0.038095,0.8,0.928571,0.957346,0.84127,64,20,404,16
0.66,403,17,20,64,0.959524,0.952719,0.761905,0.238095,0.040476,0.790123,0.926587,0.956109,0.839286,64,20,403,17
0.67,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.68,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.69,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.7,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.71,403,17,19,65,0.959524,0.954976,0.77381,0.22619,0.040476,0.792683,0.928571,0.957245,0.837302,65,19,403,17
0.72,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.73,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.74,402,18,19,65,0.957143,0.954869,0.77381,0.22619,0.042857,0.783133,0.926587,0.956005,0.835317,65,19,402,18
0.75,401,19,19,65,0.954762,0.954762,0.77381,0.22619,0.045238,0.77381,0.924603,0.954762,0.833333,65,19,401,19
0.76,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.77,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.78,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.79,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.8,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.81,399,21,19,65,0.95,0.954545,0.77381,0.22619,0.05,0.755814,0.920635,0.952267,0.829365,65,19,399,21
0.82,398,22,19,65,0.947619,0.954436,0.77381,0.22619,0.052381,0.747126,0.918651,0.951016,0.827381,65,19,398,22
0.83,395,25,19,65,0.940476,0.954106,0.77381,0.22619,0.059524,0.722222,0.912698,0.947242,0.821429,65,19,395,25
0.84,394,26,19,65,0.938095,0.953995,0.77381,0.22619,0.061905,0.714286,0.910714,0.945978,0.819444,65,19,394,26
0.85,393,27,19,65,0.935714,0.953883,0.77381,0.22619,0.064286,0.706522,0.90873,0.944712,0.81746,65,19,393,27
0.86,391,29,19,65,0.930952,0.953659,0.77381,0.22619,0.069048,0.691489,0.904762,0.942169,0.813492,65,19,391,29
0.87,390,30,19,65,0.928571,0.953545,0.77381,0.22619,0.071429,0.684211,0.902778,0.940893,0.811508,65,19,390,30
0.88,389,31,19,65,0.92619,0.953431,0.77381,0.22619,0.07381,0.677083,0.900794,0.939614,0.809524,65,19,389,31
0.89,386,34,18,66,0.919048,0.955446,0.785714,0.214286,0.080952,0.66,0.896825,0.936893,0.801587,66,18,386,34
0.9,385,35,18,66,0.916667,0.955335,0.785714,0.214286,0.083333,0.653465,0.894841,0.935601,0.799603,66,18,385,35
0.91,382,38,18,66,0.909524,0.955,0.785714,0.214286,0.090476,0.634615,0.888889,0.931707,0.793651,66,18,382,38
0.92,381,39,18,66,0.907143,0.954887,0.785714,0.214286,0.092857,0.628571,0.886905,0.930403,0.791667,66,18,381,39
0.93,381,39,17,67,0.907143,0.957286,0.797619,0.202381,0.092857,0.632075,0.888889,0.93154,0.789683,67,17,381,39
0.94,380,40,16,68,0.904762,0.959596,0.809524,0.190476,0.095238,0.62963,0.888889,0.931373,0.785714,68,16,380,40
0.95,380,40,15,69,0.904762,0.962025,0.821429,0.178571,0.095238,0.633028,0.890873,0.932515,0.78373,69,15,380,40
0.96,376,44,15,69,0.895238,0.961637,0.821429,0.178571,0.104762,0.610619,0.882937,0.92725,0.775794,69,15,376,44
0.97,370,50,15,69,0.880952,0.961039,0.821429,0.178571,0.119048,0.579832,0.871032,0.919255,0.763889,69,15,370,50
0.98,365,55,15,69,0.869048,0.960526,0.821429,0.178571,0.130952,0.556452,0.861111,0.9125,0.753968,69,15,365,55
0.99,356,64,12,72,0.847619,0.967391,0.857143,0.142857,0.152381,0.529412,0.849206,0.903553,0.730159,72,12,356,64
