epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,0.39104,0.46993,0.86667,1.0,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,44.30939531326294,44.31039094924927,32,1,32,7.21420288,7.21420288,4.674000384,0.93333,0.93333,1,0,0,1
2,0.37065,0.45697,0.86944,1.0,0.006617327586206896,0.006617327586206896,0.006617327586206896,41.198639154434204,85.50803446769714,32,2,64,7.230980096,7.230980096,4.692077056,0.93472,0.93472,2,0,0,1
3,0.39624,0.47083,0.84306,1.0,0.009884742200328407,0.009884742200328407,0.009884742200328407,41.36953139305115,126.8785662651062,32,2,64,7.239368704,7.239368704,4.67426304,0.92153,0.93472,2,0,0,0
4,0.38525,0.48539,0.83472,1.0,0.0098515,0.0098515,0.0098515,41.717111110687256,168.59467697143555,32,2,64,7.230980096,7.230980096,4.691814912,0.91736,0.93472,2,0,0,0
5,0.36904,0.47854,0.87361,1.0,0.009802,0.009802,0.009802,41.356327056884766,209.9520034790039,32,2,64,7.243563008,7.243563008,4.673738752,0.93681,0.93681,5,0,0,1
6,0.36712,0.48081,0.85694,1.0,0.009752499999999999,0.009752499999999999,0.009752499999999999,41.57836294174194,251.5303657054901,32,2,64,7.230980096,7.230980096,4.691814912,0.92847,0.93681,5,0,0,0
7,0.35788,0.46836,0.8625,1.0,0.009703,0.009703,0.009703,41.16175723075867,292.6911242008209,32,2,64,7.243563008,7.243563008,4.673738752,0.93125,0.93681,5,0,0,0
8,0.34511,0.51072,0.81528,1.0,0.009653499999999999,0.009653499999999999,0.009653499999999999,41.4180166721344,334.1111469268799,32,2,64,7.233077248,7.233077248,4.691814912,0.90764,0.93681,5,0,0,0
9,0.34909,0.4716,0.85278,1.0,0.009604,0.009604,0.009604,41.553892374038696,375.663033246994,32,2,64,7.243563008,7.243563008,4.673738752,0.92639,0.93681,5,0,0,0
10,0.3312,0.44432,0.88056,1.0,0.009554499999999999,0.009554499999999999,0.009554499999999999,42.53113317489624,418.1951656341553,32,2,64,7.230980096,7.230980096,4.691814912,0.94028,0.94028,10,0,0,1
11,0.32592,0.48625,0.8625,1.0,0.009505,0.009505,0.009505,45.00165843963623,463.1968243122101,32,2,64,7.243563008,7.243563008,4.673738752,0.93125,0.94028,10,0,0,0
