                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39104,                0.86667,                      1,                0.46993,              0.0033169,              0.0033169,              0.0033169
                      2,                0.37065,                0.86944,                      1,                0.45697,              0.0066173,              0.0066173,              0.0066173
                      3,                0.39624,                0.84306,                      1,                0.47083,              0.0098847,              0.0098847,              0.0098847
                      4,                0.38525,                0.83472,                      1,                0.48539,              0.0098515,              0.0098515,              0.0098515
                      5,                0.36904,                0.87361,                      1,                0.47854,               0.009802,               0.009802,               0.009802
                      6,                0.36712,                0.85694,                      1,                0.48081,              0.0097525,              0.0097525,              0.0097525
                      7,                0.35788,                 0.8625,                      1,                0.46836,               0.009703,               0.009703,               0.009703
                      8,                0.34511,                0.81528,                      1,                0.51072,              0.0096535,              0.0096535,              0.0096535
                      9,                0.34909,                0.85278,                      1,                 0.4716,               0.009604,               0.009604,               0.009604
                     10,                 0.3312,                0.88056,                      1,                0.44432,              0.0095545,              0.0095545,              0.0095545
                     11,                0.32592,                 0.8625,                      1,                0.48625,               0.009505,               0.009505,               0.009505
                     12,                0.32381,                 0.8875,                      1,                0.44273,              0.0094555,              0.0094555,              0.0094555
                     13,                0.32391,                0.88611,                      1,                0.43148,               0.009406,               0.009406,               0.009406
                     14,                0.31223,                0.88194,                      1,                0.43504,              0.0093565,              0.0093565,              0.0093565
                     15,                0.30145,                0.89444,                      1,                0.45968,               0.009307,               0.009307,               0.009307
                     16,                0.30354,                    0.9,                      1,                0.43325,              0.0092575,              0.0092575,              0.0092575
                     17,                0.30779,                0.89583,                      1,                0.44033,               0.009208,               0.009208,               0.009208
                     18,                0.30065,                    0.9,                      1,                  0.447,              0.0091585,              0.0091585,              0.0091585
                     19,                0.28907,                0.88333,                      1,                0.44344,               0.009109,               0.009109,               0.009109
                     20,                 0.2902,                0.89028,                      1,                0.44558,              0.0090595,              0.0090595,              0.0090595
                     21,                0.28629,                0.90278,                      1,                 0.4257,                0.00901,                0.00901,                0.00901
                     22,                0.27808,                0.89722,                      1,                0.42487,              0.0089605,              0.0089605,              0.0089605
                     23,                0.26944,                0.90278,                      1,                0.41931,               0.008911,               0.008911,               0.008911
                     24,                0.26346,                    0.9,                      1,                0.43156,              0.0088615,              0.0088615,              0.0088615
                     25,                0.26353,                0.89306,                      1,                0.42655,               0.008812,               0.008812,               0.008812
                     26,                0.26803,                0.90556,                      1,                0.42027,              0.0087625,              0.0087625,              0.0087625
                     27,                0.26568,                0.90139,                      1,                0.43384,               0.008713,               0.008713,               0.008713
                     28,                0.26182,                0.90556,                      1,                0.40953,              0.0086635,              0.0086635,              0.0086635
                     29,                0.25444,                    0.9,                      1,                0.42322,               0.008614,               0.008614,               0.008614
                     30,                0.24848,                    0.9,                      1,                0.43315,              0.0085645,              0.0085645,              0.0085645
                     31,                0.24495,                0.89444,                      1,                0.43392,               0.008515,               0.008515,               0.008515
                     32,                0.23825,                0.91111,                      1,                0.41473,              0.0084655,              0.0084655,              0.0084655
                     33,                0.24249,                0.91111,                      1,                0.41317,               0.008416,               0.008416,               0.008416
                     34,                0.23562,                0.90972,                      1,                0.41252,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.2385,                 0.9125,                      1,                0.41927,               0.008317,               0.008317,               0.008317
                     36,                0.22931,                0.91389,                      1,                0.42275,              0.0082675,              0.0082675,              0.0082675
                     37,                0.23074,                0.89028,                      1,                0.43221,               0.008218,               0.008218,               0.008218
                     38,                0.22728,                 0.9125,                      1,                0.41935,              0.0081685,              0.0081685,              0.0081685
                     39,                0.22734,                0.90278,                      1,                 0.4126,               0.008119,               0.008119,               0.008119
                     40,                0.21546,                0.90417,                      1,                0.41056,              0.0080695,              0.0080695,              0.0080695
                     41,                0.22285,                0.91528,                      1,                0.41536,                0.00802,                0.00802,                0.00802
                     42,                0.21779,                    0.9,                      1,                0.42261,              0.0079705,              0.0079705,              0.0079705
                     43,                0.21583,                0.90694,                      1,                0.40875,               0.007921,               0.007921,               0.007921
                     44,                0.21732,                0.90972,                      1,                0.41858,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.2071,                0.91111,                      1,                0.41302,               0.007822,               0.007822,               0.007822
                     46,                0.20921,                 0.9125,                      1,                0.40491,              0.0077725,              0.0077725,              0.0077725
                     47,                  0.208,                0.90278,                      1,                 0.4091,               0.007723,               0.007723,               0.007723
                     48,                0.19805,                0.90278,                      1,                0.41567,              0.0076735,              0.0076735,              0.0076735
                     49,                0.19618,                0.90694,                      1,                0.40867,               0.007624,               0.007624,               0.007624
                     50,                0.19611,                0.90972,                      1,                0.40627,              0.0075745,              0.0075745,              0.0075745
                     51,                0.19576,                 0.9125,                      1,                0.40112,               0.007525,               0.007525,               0.007525
                     52,                0.19147,                    0.9,                      1,                0.41538,              0.0074755,              0.0074755,              0.0074755
                     53,                0.19677,                0.91111,                      1,                0.41048,               0.007426,               0.007426,               0.007426
                     54,                0.19325,                    0.9,                      1,                0.40696,              0.0073765,              0.0073765,              0.0073765
                     55,                0.18632,                0.91667,                      1,                0.40491,               0.007327,               0.007327,               0.007327
                     56,                0.18581,                0.92083,                      1,                0.40013,              0.0072775,              0.0072775,              0.0072775
