row_id,img_id,split,gt_label,gt_index,img_rel_path,img_path,pred_label,pred_index,correct,top5_correct,top1_prob,top2_label,top2_prob,top3_label,top3_prob,margin,entropy,entropy_norm,p_normal,p_abnormal,abnormal_conf,width,height,aspect_ratio,embedding_index,top5_labels_json,top5_probs_json,probs_json
2,00004815,val,Deformation,0,val/Deformation/00004815.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00004815.png,Normal,3,0,1,0.8453707695007324,DepositAttachment,0.07909569889307022,Deformation,0.06177518889307976,0.7662750706076622,0.57901309732001,0.3231533625266491,0.8453707695007324,0.15462923049926758,0.15462923049926758,720,576,1.25,2,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""WallDamage"", ""Roots""]","[0.8453707695007324, 0.07909569889307022, 0.06177518889307976, 0.012376589700579643, 0.000918793142773211]","{""Deformation"": 0.06177518889307976, ""DepositAttachment"": 0.07909569889307022, ""JointAnomaly"": 0.00046296147047542036, ""Normal"": 0.8453707695007324, ""Roots"": 0.000918793142773211, ""WallDamage"": 0.012376589700579643}"
6,00020415,val,Deformation,0,val/Deformation/00020415.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00020415.png,Normal,3,0,1,0.5094571113586426,DepositAttachment,0.24881188571453094,WallDamage,0.16293500363826752,0.26064522564411163,1.232685246677422,0.6879747353636149,0.5094571113586426,0.4905428886413574,0.4905428886413574,720,576,1.25,6,"[""Normal"", ""DepositAttachment"", ""WallDamage"", ""Deformation"", ""JointAnomaly""]","[0.5094571113586426, 0.24881188571453094, 0.16293500363826752, 0.06270645558834076, 0.013397987000644207]","{""Deformation"": 0.06270645558834076, ""DepositAttachment"": 0.24881188571453094, ""JointAnomaly"": 0.013397987000644207, ""Normal"": 0.5094571113586426, ""Roots"": 0.0026915285270661116, ""WallDamage"": 0.16293500363826752}"
50,00169399,val,Deformation,0,val/Deformation/00169399.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00169399.png,Normal,3,0,1,0.7119292616844177,DepositAttachment,0.178500235080719,WallDamage,0.0692247748374939,0.5334290266036987,0.8716394810584033,0.48647125690030946,0.7119292616844177,0.2880707383155823,0.2880707383155823,720,576,1.25,50,"[""Normal"", ""DepositAttachment"", ""WallDamage"", ""Deformation"", ""JointAnomaly""]","[0.7119292616844177, 0.178500235080719, 0.0692247748374939, 0.03851305693387985, 0.0017545822774991393]","{""Deformation"": 0.03851305693387985, ""DepositAttachment"": 0.178500235080719, ""JointAnomaly"": 0.0017545822774991393, ""Normal"": 0.7119292616844177, ""Roots"": 7.802803156664595e-05, ""WallDamage"": 0.0692247748374939}"
77,00381217,val,Deformation,0,val/Deformation/00381217.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00381217.png,Normal,3,0,1,0.6506579518318176,DepositAttachment,0.30117252469062805,Deformation,0.045567791908979416,0.3494854271411896,0.7975840148799582,0.4451401142719128,0.6506579518318176,0.3493420481681824,0.3493420481681824,352,288,1.222222,77,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""WallDamage"", ""JointAnomaly""]","[0.6506579518318176, 0.30117252469062805, 0.045567791908979416, 0.002547155600041151, 3.789843322010711e-05]","{""Deformation"": 0.045567791908979416, ""DepositAttachment"": 0.30117252469062805, ""JointAnomaly"": 3.789843322010711e-05, ""Normal"": 0.6506579518318176, ""Roots"": 1.6653641068842262e-05, ""WallDamage"": 0.002547155600041151}"
78,00388524,val,Deformation,0,val/Deformation/00388524.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00388524.png,Normal,3,0,1,0.948600709438324,Deformation,0.046333037316799164,WallDamage,0.0032274851109832525,0.9022676721215248,0.22258584364899936,0.12422752466038099,0.948600709438324,0.051399290561676025,0.051399290561676025,352,288,1.222222,78,"[""Normal"", ""Deformation"", ""WallDamage"", ""DepositAttachment"", ""JointAnomaly""]","[0.948600709438324, 0.046333037316799164, 0.0032274851109832525, 0.001821119454689324, 1.5085613085830119e-05]","{""Deformation"": 0.046333037316799164, ""DepositAttachment"": 0.001821119454689324, ""JointAnomaly"": 1.5085613085830119e-05, ""Normal"": 0.948600709438324, ""Roots"": 2.4452333491353784e-06, ""WallDamage"": 0.0032274851109832525}"
84,00397175,val,Deformation,0,val/Deformation/00397175.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00397175.png,Normal,3,0,1,0.5592678189277649,Deformation,0.4116944968700409,DepositAttachment,0.02050786092877388,0.147573322057724,0.8167483117982911,0.4558359120324177,0.5592678189277649,0.4407321810722351,0.4407321810722351,352,288,1.222222,84,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""JointAnomaly"", ""WallDamage""]","[0.5592678189277649, 0.4116944968700409, 0.02050786092877388, 0.006491014268249273, 0.0013030291302129626]","{""Deformation"": 0.4116944968700409, ""DepositAttachment"": 0.02050786092877388, ""JointAnomaly"": 0.006491014268249273, ""Normal"": 0.5592678189277649, ""Roots"": 0.000735763693228364, ""WallDamage"": 0.0013030291302129626}"
89,00424763,val,Deformation,0,val/Deformation/00424763.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00424763.png,Normal,3,0,1,0.7916473746299744,Deformation,0.177092507481575,DepositAttachment,0.025403598323464394,0.6145548671483994,0.6181466649090049,0.34499422245292866,0.7916473746299744,0.20835262537002563,0.20835262537002563,352,288,1.222222,89,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""WallDamage"", ""JointAnomaly""]","[0.7916473746299744, 0.177092507481575, 0.025403598323464394, 0.00476529635488987, 0.0009599706972949207]","{""Deformation"": 0.177092507481575, ""DepositAttachment"": 0.025403598323464394, ""JointAnomaly"": 0.0009599706972949207, ""Normal"": 0.7916473746299744, ""Roots"": 0.00013127454440109432, ""WallDamage"": 0.00476529635488987}"
103,00498567,val,Deformation,0,val/Deformation/00498567.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\Deformation\00498567.png,Normal,3,0,1,0.5870271325111389,Deformation,0.2630476653575897,DepositAttachment,0.13857515156269073,0.3239794671535492,0.9933820078750508,0.5544170548198807,0.5870271325111389,0.4129728674888611,0.4129728674888611,352,288,1.222222,103,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""WallDamage"", ""JointAnomaly""]","[0.5870271325111389, 0.2630476653575897, 0.13857515156269073, 0.009958800859749317, 0.001240586512722075]","{""Deformation"": 0.2630476653575897, ""DepositAttachment"": 0.13857515156269073, ""JointAnomaly"": 0.001240586512722075, ""Normal"": 0.5870271325111389, ""Roots"": 0.00015061408339533955, ""WallDamage"": 0.009958800859749317}"
125,00032521,val,DepositAttachment,1,val/DepositAttachment/00032521.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\DepositAttachment\00032521.png,Normal,3,0,1,0.7437506914138794,DepositAttachment,0.22783973813056946,Roots,0.01567242108285427,0.5159109532833099,0.6863165515069546,0.3830405605740378,0.7437506914138794,0.2562493085861206,0.2562493085861206,720,576,1.25,125,"[""Normal"", ""DepositAttachment"", ""Roots"", ""WallDamage"", ""JointAnomaly""]","[0.7437506914138794, 0.22783973813056946, 0.01567242108285427, 0.01003951858729124, 0.001530879526399076]","{""Deformation"": 0.0011667250655591488, ""DepositAttachment"": 0.22783973813056946, ""JointAnomaly"": 0.001530879526399076, ""Normal"": 0.7437506914138794, ""Roots"": 0.01567242108285427, ""WallDamage"": 0.01003951858729124}"
134,00141003,val,DepositAttachment,1,val/DepositAttachment/00141003.png,C:\Users\ASUS\Desktop\YOLOv11\sewerml_cls6_train7200\val\DepositAttachment\00141003.png,Normal,3,0,1,0.6484792232513428,DepositAttachment,0.2378031611442566,Deformation,0.11337301880121231,0.4106760621070862,0.8722561246022168,0.48681541221490604,0.6484792232513428,0.3515207767486572,0.3515207767486572,720,576,1.25,134,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""WallDamage"", ""JointAnomaly""]","[0.6484792232513428, 0.2378031611442566, 0.11337301880121231, 0.00023144352599047124, 0.00010185637802351266]","{""Deformation"": 0.11337301880121231, ""DepositAttachment"": 0.2378031611442566, ""JointAnomaly"": 0.00010185637802351266, ""Normal"": 0.6484792232513428, ""Roots"": 1.1318120414216537e-05, ""WallDamage"": 0.00023144352599047124}"
