threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
1.0,1.0,0.001667,0.003328,1,599,0,120
1.0,1.0,0.003333,0.006645,2,598,0,120
1.0,1.0,0.003333,0.006645,2,598,0,120
1.0,1.0,0.006667,0.013245,4,596,0,120
1.0,1.0,0.008333,0.016529,5,595,0,120
1.0,1.0,0.01,0.019802,6,594,0,120
1.0,1.0,0.01,0.019802,6,594,0,120
1.0,1.0,0.011667,0.023064,7,593,0,120
1.0,1.0,0.013333,0.026316,8,592,0,120
1.0,1.0,0.015,0.029557,9,591,0,120
1.0,1.0,0.016667,0.032787,10,590,0,120
1.0,1.0,0.018333,0.036007,11,589,0,120
1.0,1.0,0.021667,0.042414,13,587,0,120
1.0,1.0,0.021667,0.042414,13,587,0,120
1.0,1.0,0.023333,0.045603,14,586,0,120
1.0,1.0,0.026667,0.051948,16,584,0,120
1.0,1.0,0.026667,0.051948,16,584,0,120
1.0,1.0,0.028333,0.055105,17,583,0,120
1.0,1.0,0.031667,0.061389,19,581,0,120
1.0,1.0,0.031667,0.061389,19,581,0,120
1.0,1.0,0.035,0.067633,21,579,0,120
1.0,1.0,0.035,0.067633,21,579,0,120
1.0,1.0,0.038333,0.073836,23,577,0,120
0.999999,1.0,0.04,0.076923,24,576,0,120
0.999999,1.0,0.041667,0.08,25,575,0,120
0.999999,1.0,0.043333,0.083067,26,574,0,120
0.999999,1.0,0.045,0.086124,27,573,0,120
0.999999,1.0,0.045,0.086124,27,573,0,120
0.999999,1.0,0.048333,0.09221,29,571,0,120
0.999999,1.0,0.05,0.095238,30,570,0,120
0.999999,1.0,0.05,0.095238,30,570,0,120
0.999999,1.0,0.051667,0.098257,31,569,0,120
0.999999,1.0,0.055,0.104265,33,567,0,120
0.999999,1.0,0.056667,0.107256,34,566,0,120
0.999998,1.0,0.056667,0.107256,34,566,0,120
0.999998,1.0,0.06,0.113208,36,564,0,120
0.999998,1.0,0.06,0.113208,36,564,0,120
0.999997,1.0,0.063333,0.119122,38,562,0,120
0.999997,1.0,0.065,0.122066,39,561,0,120
0.999997,1.0,0.065,0.122066,39,561,0,120
0.999996,1.0,0.068333,0.127925,41,559,0,120
0.999996,1.0,0.068333,0.127925,41,559,0,120
0.999995,1.0,0.071667,0.133748,43,557,0,120
0.999995,1.0,0.071667,0.133748,43,557,0,120
0.999994,1.0,0.075,0.139535,45,555,0,120
0.999994,1.0,0.075,0.139535,45,555,0,120
0.999993,1.0,0.076667,0.142415,46,554,0,120
0.999993,1.0,0.08,0.148148,48,552,0,120
0.999992,1.0,0.08,0.148148,48,552,0,120
0.999992,1.0,0.083333,0.153846,50,550,0,120
0.999992,1.0,0.085,0.156682,51,549,0,120
0.999991,1.0,0.085,0.156682,51,549,0,120
0.99999,1.0,0.088333,0.162328,53,547,0,120
0.999989,1.0,0.09,0.165138,54,546,0,120
0.999989,1.0,0.09,0.165138,54,546,0,120
0.999989,1.0,0.093333,0.170732,56,544,0,120
0.999988,1.0,0.095,0.173516,57,543,0,120
0.999987,1.0,0.095,0.173516,57,543,0,120
0.999987,1.0,0.096667,0.176292,58,542,0,120
0.999987,1.0,0.1,0.181818,60,540,0,120
0.999986,1.0,0.1,0.181818,60,540,0,120
0.999985,1.0,0.101667,0.184569,61,539,0,120
0.999985,1.0,0.103333,0.187311,62,538,0,120
0.999985,1.0,0.106667,0.192771,64,536,0,120
0.999985,1.0,0.106667,0.192771,64,536,0,120
0.999985,1.0,0.11,0.198198,66,534,0,120
0.999984,1.0,0.111667,0.2009,67,533,0,120
0.999983,1.0,0.111667,0.2009,67,533,0,120
0.999983,1.0,0.113333,0.203593,68,532,0,120
0.999983,1.0,0.115,0.206278,69,531,0,120
0.999982,1.0,0.118333,0.211624,71,529,0,120
0.999979,1.0,0.118333,0.211624,71,529,0,120
0.999978,1.0,0.121667,0.216939,73,527,0,120
0.999977,1.0,0.123333,0.219585,74,526,0,120
0.999973,1.0,0.125,0.222222,75,525,0,120
0.999972,1.0,0.125,0.222222,75,525,0,120
0.999971,1.0,0.126667,0.224852,76,524,0,120
0.999971,1.0,0.128333,0.227474,77,523,0,120
0.999971,1.0,0.13,0.230088,78,522,0,120
0.99997,1.0,0.131667,0.232695,79,521,0,120
0.999969,1.0,0.133333,0.235294,80,520,0,120
0.999969,1.0,0.136667,0.240469,82,518,0,120
0.999969,1.0,0.136667,0.240469,82,518,0,120
0.999968,1.0,0.138333,0.243045,83,517,0,120
0.999968,1.0,0.141667,0.248175,85,515,0,120
0.999966,1.0,0.143333,0.250729,86,514,0,120
0.999966,1.0,0.145,0.253275,87,513,0,120
0.999966,1.0,0.146667,0.255814,88,512,0,120
0.999964,1.0,0.148333,0.258345,89,511,0,120
0.999959,1.0,0.148333,0.258345,89,511,0,120
0.999959,1.0,0.15,0.26087,90,510,0,120
0.999957,1.0,0.151667,0.263386,91,509,0,120
0.999953,1.0,0.153333,0.265896,92,508,0,120
0.999953,1.0,0.156667,0.270893,94,506,0,120
0.999949,1.0,0.156667,0.270893,94,506,0,120
0.999947,1.0,0.16,0.275862,96,504,0,120
0.999947,1.0,0.161667,0.278336,97,503,0,120
0.999945,1.0,0.163333,0.280802,98,502,0,120
0.999944,1.0,0.165,0.283262,99,501,0,120
0.999943,1.0,0.166667,0.285714,100,500,0,120
0.999941,1.0,0.168333,0.28816,101,499,0,120
0.999937,1.0,0.168333,0.28816,101,499,0,120
0.999936,1.0,0.17,0.290598,102,498,0,120
0.999935,1.0,0.173333,0.295455,104,496,0,120
0.999931,1.0,0.173333,0.295455,104,496,0,120
0.999931,1.0,0.176667,0.300283,106,494,0,120
0.99993,1.0,0.178333,0.302687,107,493,0,120
0.999923,1.0,0.178333,0.302687,107,493,0,120
0.99992,1.0,0.18,0.305085,108,492,0,120
0.999918,1.0,0.181667,0.307475,109,491,0,120
0.999913,1.0,0.183333,0.309859,110,490,0,120
0.999911,1.0,0.186667,0.314607,112,488,0,120
0.999909,1.0,0.188333,0.316971,113,487,0,120
0.999907,1.0,0.19,0.319328,114,486,0,120
0.99989,1.0,0.19,0.319328,114,486,0,120
0.999885,1.0,0.191667,0.321678,115,485,0,120
0.999883,1.0,0.195,0.32636,117,483,0,120
0.99988,1.0,0.196667,0.328691,118,482,0,120
0.999876,1.0,0.196667,0.328691,118,482,0,120
0.999876,1.0,0.198333,0.331015,119,481,0,120
0.999869,1.0,0.201667,0.335645,121,479,0,120
0.999866,1.0,0.201667,0.335645,121,479,0,120
0.99986,1.0,0.205,0.340249,123,477,0,120
0.99985,1.0,0.205,0.340249,123,477,0,120
0.999844,1.0,0.206667,0.342541,124,476,0,120
0.999843,1.0,0.21,0.347107,126,474,0,120
0.999839,1.0,0.211667,0.349381,127,473,0,120
0.999838,1.0,0.213333,0.351648,128,472,0,120
0.999836,1.0,0.213333,0.351648,128,472,0,120
0.999836,1.0,0.216667,0.356164,130,470,0,120
0.999826,1.0,0.216667,0.356164,130,470,0,120
0.999824,1.0,0.22,0.360656,132,468,0,120
0.999822,1.0,0.221667,0.362892,133,467,0,120
0.999821,1.0,0.223333,0.365123,134,466,0,120
0.999821,1.0,0.223333,0.365123,134,466,0,120
0.999812,1.0,0.226667,0.369565,136,464,0,120
0.999802,1.0,0.226667,0.369565,136,464,0,120
0.999802,1.0,0.228333,0.371777,137,463,0,120
0.999798,1.0,0.23,0.373984,138,462,0,120
0.999797,1.0,0.233333,0.378378,140,460,0,120
0.999785,1.0,0.235,0.380567,141,459,0,120
0.999775,1.0,0.236667,0.382749,142,458,0,120
0.999775,1.0,0.238333,0.384926,143,457,0,120
0.999769,1.0,0.24,0.387097,144,456,0,120
0.999747,1.0,0.24,0.387097,144,456,0,120
0.999746,1.0,0.241667,0.389262,145,455,0,120
0.999742,1.0,0.245,0.393574,147,453,0,120
0.999734,1.0,0.245,0.393574,147,453,0,120
0.999728,1.0,0.246667,0.395722,148,452,0,120
0.999727,1.0,0.25,0.4,150,450,0,120
0.999722,1.0,0.25,0.4,150,450,0,120
0.999711,1.0,0.253333,0.404255,152,448,0,120
0.99971,1.0,0.255,0.406375,153,447,0,120
0.999709,1.0,0.255,0.406375,153,447,0,120
0.999705,1.0,0.256667,0.408488,154,446,0,120
0.999699,1.0,0.26,0.412698,156,444,0,120
0.999693,1.0,0.26,0.412698,156,444,0,120
0.999692,1.0,0.263333,0.416887,158,442,0,120
0.999688,1.0,0.263333,0.416887,158,442,0,120
0.999686,1.0,0.266667,0.421053,160,440,0,120
0.999684,1.0,0.268333,0.423127,161,439,0,120
0.999684,1.0,0.27,0.425197,162,438,0,120
0.999665,1.0,0.27,0.425197,162,438,0,120
0.999652,1.0,0.271667,0.427261,163,437,0,120
0.99964,1.0,0.275,0.431373,165,435,0,120
0.999627,1.0,0.276667,0.43342,166,434,0,120
0.999621,1.0,0.276667,0.43342,166,434,0,120
0.999602,1.0,0.28,0.4375,168,432,0,120
0.999601,1.0,0.281667,0.439532,169,431,0,120
0.999589,1.0,0.283333,0.441558,170,430,0,120
0.999588,1.0,0.285,0.44358,171,429,0,120
0.999579,1.0,0.285,0.44358,171,429,0,120
0.999567,1.0,0.288333,0.447607,173,427,0,120
0.999551,1.0,0.288333,0.447607,173,427,0,120
0.999529,1.0,0.291667,0.451613,175,425,0,120
0.999483,1.0,0.293333,0.453608,176,424,0,120
0.999457,1.0,0.293333,0.453608,176,424,0,120
0.999439,1.0,0.296667,0.457584,178,422,0,120
0.999421,1.0,0.298333,0.459564,179,421,0,120
0.999413,1.0,0.298333,0.459564,179,421,0,120
0.999401,1.0,0.301667,0.463508,181,419,0,120
0.999395,1.0,0.301667,0.463508,181,419,0,120
0.999385,1.0,0.305,0.467433,183,417,0,120
0.999383,0.994565,0.305,0.466837,183,417,1,119
0.999375,0.994595,0.306667,0.46879,184,416,1,119
0.999326,0.994624,0.308333,0.470738,185,415,1,119
0.999302,0.994652,0.31,0.472681,186,414,1,119
