                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4944,                0.50833,                0.98472,                  1.572,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.2971,                0.53611,                0.98889,                 1.5493,              0.0066255,              0.0066255,              0.0066255
                      3,                 1.2936,                0.51667,                0.97639,                 1.5672,              0.0098929,              0.0098929,              0.0098929
                      4,                 1.3716,                0.49722,                0.98056,                 1.5952,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3612,                0.47778,                0.98056,                 1.5968,               0.009802,               0.009802,               0.009802
                      6,                 1.3213,                0.50833,                0.98194,                  1.583,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2755,                0.55833,                0.98611,                   1.54,               0.009703,               0.009703,               0.009703
                      8,                 1.2188,                0.55417,                0.98611,                  1.542,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.198,                0.54722,                0.98333,                 1.5429,               0.009604,               0.009604,               0.009604
                     10,                 1.1685,                0.59167,                0.99306,                 1.5126,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.129,                  0.575,                0.98472,                 1.5116,               0.009505,               0.009505,               0.009505
                     12,                 1.1262,                 0.6125,                0.99583,                 1.4997,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0768,                0.61111,                0.99306,                 1.4858,               0.009406,               0.009406,               0.009406
                     14,                 1.0605,                0.60694,                0.99722,                 1.4994,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0318,                0.61806,                0.99306,                 1.4721,               0.009307,               0.009307,               0.009307
                     16,                 1.0035,                0.61667,                0.99306,                 1.4641,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0001,                0.62917,                0.99306,                  1.449,               0.009208,               0.009208,               0.009208
                     18,                 1.0007,                0.58889,                0.99028,                 1.4729,              0.0091585,              0.0091585,              0.0091585
                     19,                0.96071,                0.63056,                0.99444,                 1.4651,               0.009109,               0.009109,               0.009109
                     20,                0.97465,                0.60278,                0.99444,                 1.4728,              0.0090595,              0.0090595,              0.0090595
                     21,                0.95268,                0.63611,                0.99444,                 1.4511,                0.00901,                0.00901,                0.00901
                     22,                 0.9307,                0.62778,                0.99722,                 1.4611,              0.0089605,              0.0089605,              0.0089605
                     23,                0.91565,                0.64167,                0.99028,                 1.4366,               0.008911,               0.008911,               0.008911
                     24,                0.89356,                0.62917,                0.99306,                 1.4676,              0.0088615,              0.0088615,              0.0088615
                     25,                0.89266,                0.65694,                0.99583,                 1.4413,               0.008812,               0.008812,               0.008812
                     26,                0.88377,                0.64306,                0.99583,                 1.4585,              0.0087625,              0.0087625,              0.0087625
                     27,                0.85452,                0.65833,                0.99583,                 1.4438,               0.008713,               0.008713,               0.008713
                     28,                0.82951,                0.63194,                0.99722,                 1.4333,              0.0086635,              0.0086635,              0.0086635
                     29,                0.82303,                0.62639,                0.99306,                 1.4412,               0.008614,               0.008614,               0.008614
                     30,                0.80566,                0.64306,                0.99444,                 1.4399,              0.0085645,              0.0085645,              0.0085645
                     31,                0.79226,                0.66667,                0.99444,                 1.4178,               0.008515,               0.008515,               0.008515
                     32,                0.79999,                   0.65,                0.99167,                 1.4344,              0.0084655,              0.0084655,              0.0084655
                     33,                0.76031,                0.65694,                0.99306,                   1.41,               0.008416,               0.008416,               0.008416
                     34,                0.75063,                0.61389,                0.98889,                 1.4385,              0.0083665,              0.0083665,              0.0083665
                     35,                0.71475,                  0.675,                0.99722,                 1.4054,               0.008317,               0.008317,               0.008317
                     36,                0.72097,                0.63611,                0.99861,                 1.4231,              0.0082675,              0.0082675,              0.0082675
                     37,                0.69913,                0.64722,                0.99583,                 1.4099,               0.008218,               0.008218,               0.008218
                     38,                0.66386,                0.64306,                0.99722,                 1.4154,              0.0081685,              0.0081685,              0.0081685
                     39,                0.67444,                0.67083,                0.99167,                 1.3987,               0.008119,               0.008119,               0.008119
                     40,                0.64573,                0.65694,                0.99444,                 1.3989,              0.0080695,              0.0080695,              0.0080695
                     41,                0.63101,                0.64444,                0.99167,                  1.407,                0.00802,                0.00802,                0.00802
                     42,                0.61135,                0.64583,                0.99583,                 1.4076,              0.0079705,              0.0079705,              0.0079705
                     43,                0.62917,                 0.6625,                0.99583,                 1.4037,               0.007921,               0.007921,               0.007921
                     44,                0.57882,                0.65833,                0.99583,                 1.3998,              0.0078715,              0.0078715,              0.0078715
                     45,                0.57273,                0.64167,                0.99306,                 1.4088,               0.007822,               0.007822,               0.007822
                     46,                0.55227,                0.64306,                0.99444,                 1.3937,              0.0077725,              0.0077725,              0.0077725
                     47,                0.53616,                 0.6625,                0.99722,                 1.4032,               0.007723,               0.007723,               0.007723
                     48,                0.52605,                0.67222,                0.99722,                 1.3813,              0.0076735,              0.0076735,              0.0076735
                     49,                0.50488,                0.66389,                0.99306,                 1.3965,               0.007624,               0.007624,               0.007624
                     50,                0.51066,                0.65972,                0.99444,                 1.3965,              0.0075745,              0.0075745,              0.0075745
                     51,                0.50562,                0.66111,                0.99444,                 1.3953,               0.007525,               0.007525,               0.007525
                     52,                0.48691,                   0.65,                0.99444,                 1.3966,              0.0074755,              0.0074755,              0.0074755
                     53,                0.45753,                0.66389,                0.99583,                 1.3967,               0.007426,               0.007426,               0.007426
                     54,                0.44868,                0.66806,                0.99583,                 1.3834,              0.0073765,              0.0073765,              0.0073765
                     55,                 0.4358,                0.66806,                0.99306,                 1.3898,               0.007327,               0.007327,               0.007327
