threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.001667,0.001667,0.0,1.0,1,599,0,120
1.0,0.003333,0.003333,0.0,1.0,2,598,0,120
1.0,0.003333,0.003333,0.0,1.0,2,598,0,120
1.0,0.006667,0.006667,0.0,1.0,4,596,0,120
1.0,0.008333,0.008333,0.0,1.0,5,595,0,120
1.0,0.01,0.01,0.0,1.0,6,594,0,120
1.0,0.01,0.01,0.0,1.0,6,594,0,120
1.0,0.011667,0.011667,0.0,1.0,7,593,0,120
1.0,0.013333,0.013333,0.0,1.0,8,592,0,120
1.0,0.015,0.015,0.0,1.0,9,591,0,120
1.0,0.016667,0.016667,0.0,1.0,10,590,0,120
1.0,0.018333,0.018333,0.0,1.0,11,589,0,120
1.0,0.021667,0.021667,0.0,1.0,13,587,0,120
1.0,0.021667,0.021667,0.0,1.0,13,587,0,120
1.0,0.023333,0.023333,0.0,1.0,14,586,0,120
1.0,0.026667,0.026667,0.0,1.0,16,584,0,120
1.0,0.026667,0.026667,0.0,1.0,16,584,0,120
1.0,0.028333,0.028333,0.0,1.0,17,583,0,120
1.0,0.031667,0.031667,0.0,1.0,19,581,0,120
1.0,0.031667,0.031667,0.0,1.0,19,581,0,120
1.0,0.035,0.035,0.0,1.0,21,579,0,120
1.0,0.035,0.035,0.0,1.0,21,579,0,120
1.0,0.038333,0.038333,0.0,1.0,23,577,0,120
0.999999,0.04,0.04,0.0,1.0,24,576,0,120
0.999999,0.041667,0.041667,0.0,1.0,25,575,0,120
0.999999,0.043333,0.043333,0.0,1.0,26,574,0,120
0.999999,0.045,0.045,0.0,1.0,27,573,0,120
0.999999,0.045,0.045,0.0,1.0,27,573,0,120
0.999999,0.048333,0.048333,0.0,1.0,29,571,0,120
0.999999,0.05,0.05,0.0,1.0,30,570,0,120
0.999999,0.05,0.05,0.0,1.0,30,570,0,120
0.999999,0.051667,0.051667,0.0,1.0,31,569,0,120
0.999999,0.055,0.055,0.0,1.0,33,567,0,120
0.999999,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999998,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999998,0.06,0.06,0.0,1.0,36,564,0,120
0.999998,0.06,0.06,0.0,1.0,36,564,0,120
0.999997,0.063333,0.063333,0.0,1.0,38,562,0,120
0.999997,0.065,0.065,0.0,1.0,39,561,0,120
0.999997,0.065,0.065,0.0,1.0,39,561,0,120
0.999996,0.068333,0.068333,0.0,1.0,41,559,0,120
0.999996,0.068333,0.068333,0.0,1.0,41,559,0,120
0.999995,0.071667,0.071667,0.0,1.0,43,557,0,120
0.999995,0.071667,0.071667,0.0,1.0,43,557,0,120
0.999994,0.075,0.075,0.0,1.0,45,555,0,120
0.999994,0.075,0.075,0.0,1.0,45,555,0,120
0.999993,0.076667,0.076667,0.0,1.0,46,554,0,120
0.999993,0.08,0.08,0.0,1.0,48,552,0,120
0.999992,0.08,0.08,0.0,1.0,48,552,0,120
0.999992,0.083333,0.083333,0.0,1.0,50,550,0,120
0.999992,0.085,0.085,0.0,1.0,51,549,0,120
0.999991,0.085,0.085,0.0,1.0,51,549,0,120
0.99999,0.088333,0.088333,0.0,1.0,53,547,0,120
0.999989,0.09,0.09,0.0,1.0,54,546,0,120
0.999989,0.09,0.09,0.0,1.0,54,546,0,120
0.999989,0.093333,0.093333,0.0,1.0,56,544,0,120
0.999988,0.095,0.095,0.0,1.0,57,543,0,120
0.999987,0.095,0.095,0.0,1.0,57,543,0,120
0.999987,0.096667,0.096667,0.0,1.0,58,542,0,120
0.999987,0.1,0.1,0.0,1.0,60,540,0,120
0.999986,0.1,0.1,0.0,1.0,60,540,0,120
0.999985,0.101667,0.101667,0.0,1.0,61,539,0,120
0.999985,0.103333,0.103333,0.0,1.0,62,538,0,120
0.999985,0.106667,0.106667,0.0,1.0,64,536,0,120
0.999985,0.106667,0.106667,0.0,1.0,64,536,0,120
0.999985,0.11,0.11,0.0,1.0,66,534,0,120
0.999984,0.111667,0.111667,0.0,1.0,67,533,0,120
0.999983,0.111667,0.111667,0.0,1.0,67,533,0,120
0.999983,0.113333,0.113333,0.0,1.0,68,532,0,120
0.999983,0.115,0.115,0.0,1.0,69,531,0,120
0.999982,0.118333,0.118333,0.0,1.0,71,529,0,120
0.999979,0.118333,0.118333,0.0,1.0,71,529,0,120
0.999978,0.121667,0.121667,0.0,1.0,73,527,0,120
0.999977,0.123333,0.123333,0.0,1.0,74,526,0,120
0.999973,0.125,0.125,0.0,1.0,75,525,0,120
0.999972,0.125,0.125,0.0,1.0,75,525,0,120
0.999971,0.126667,0.126667,0.0,1.0,76,524,0,120
0.999971,0.128333,0.128333,0.0,1.0,77,523,0,120
0.999971,0.13,0.13,0.0,1.0,78,522,0,120
0.99997,0.131667,0.131667,0.0,1.0,79,521,0,120
