threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,600,0,102,18,1.0,0.854701,0.15,0.85,0.0,1.0,0.858333,0.921659,0.975,18,102,600,0
0.02,600,0,97,23,1.0,0.860832,0.191667,0.808333,0.0,1.0,0.865278,0.925212,0.968056,23,97,600,0
0.03,600,0,92,28,1.0,0.867052,0.233333,0.766667,0.0,1.0,0.872222,0.928793,0.961111,28,92,600,0
0.04,600,0,88,32,1.0,0.872093,0.266667,0.733333,0.0,1.0,0.877778,0.931677,0.955556,32,88,600,0
0.05,600,0,85,35,1.0,0.875912,0.291667,0.708333,0.0,1.0,0.881944,0.933852,0.951389,35,85,600,0
0.06,599,1,81,39,0.998333,0.880882,0.325,0.675,0.001667,0.975,0.886111,0.935937,0.944444,39,81,599,1
0.07,599,1,79,41,0.998333,0.883481,0.341667,0.658333,0.001667,0.97619,0.888889,0.937402,0.941667,41,79,599,1
0.08,599,1,76,44,0.998333,0.887407,0.366667,0.633333,0.001667,0.977778,0.893056,0.939608,0.9375,44,76,599,1
0.09,599,1,75,45,0.998333,0.888724,0.375,0.625,0.001667,0.978261,0.894444,0.940345,0.936111,45,75,599,1
0.1,599,1,75,45,0.998333,0.888724,0.375,0.625,0.001667,0.978261,0.894444,0.940345,0.936111,45,75,599,1
0.11,599,1,75,45,0.998333,0.888724,0.375,0.625,0.001667,0.978261,0.894444,0.940345,0.936111,45,75,599,1
0.12,598,2,74,46,0.996667,0.889881,0.383333,0.616667,0.003333,0.958333,0.894444,0.940252,0.933333,46,74,598,2
0.13,598,2,70,50,0.996667,0.89521,0.416667,0.583333,0.003333,0.961538,0.9,0.943218,0.927778,50,70,598,2
0.14,598,2,68,52,0.996667,0.897898,0.433333,0.566667,0.003333,0.962963,0.902778,0.944708,0.925,52,68,598,2
0.15,597,3,68,52,0.995,0.897744,0.433333,0.566667,0.005,0.945455,0.901389,0.943874,0.923611,52,68,597,3
0.16,596,4,65,55,0.993333,0.901664,0.458333,0.541667,0.006667,0.932203,0.904167,0.945282,0.918056,55,65,596,4
0.17,596,4,65,55,0.993333,0.901664,0.458333,0.541667,0.006667,0.932203,0.904167,0.945282,0.918056,55,65,596,4
0.18,596,4,65,55,0.993333,0.901664,0.458333,0.541667,0.006667,0.932203,0.904167,0.945282,0.918056,55,65,596,4
0.19,596,4,65,55,0.993333,0.901664,0.458333,0.541667,0.006667,0.932203,0.904167,0.945282,0.918056,55,65,596,4
0.2,595,5,64,56,0.991667,0.902883,0.466667,0.533333,0.008333,0.918033,0.904167,0.945195,0.915278,56,64,595,5
0.21,594,6,62,58,0.99,0.905488,0.483333,0.516667,0.01,0.90625,0.905556,0.94586,0.911111,58,62,594,6
