row_id,img_id,split,gt_label,gt_index,img_rel_path,img_path,pred_label,pred_index,correct,top5_correct,top1_prob,top2_label,top2_prob,top3_label,top3_prob,margin,entropy,entropy_norm,p_normal,p_abnormal,abnormal_conf,width,height,aspect_ratio,embedding_index,top5_labels_json,top5_probs_json,probs_json
2,00004815,val,Deformation,0,val/Deformation/00004815.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Deformation\00004815.png,Normal,3,0,1,0.9949204325675964,Deformation,0.004968478810042143,DepositAttachment,0.00011062153498642147,0.9899519537575543,0.03243739104354813,0.018103652639002463,0.9949204325675964,0.0050795674324035645,0.0050795674324035645,720,576,1.25,2,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""WallDamage"", ""JointAnomaly""]","[0.9949204325675964, 0.004968478810042143, 0.00011062153498642147, 4.48304973588165e-07, 2.6761485472093227e-08]","{""Deformation"": 0.004968478810042143, ""DepositAttachment"": 0.00011062153498642147, ""JointAnomaly"": 2.6761485472093227e-08, ""Normal"": 0.9949204325675964, ""Roots"": 1.5858551138947519e-09, ""WallDamage"": 4.48304973588165e-07}"
24,00040558,val,Deformation,0,val/Deformation/00040558.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Deformation\00040558.png,Normal,3,0,1,0.9734112620353699,Deformation,0.010377459228038788,DepositAttachment,0.009668092243373394,0.9630338028073311,0.15311287684706426,0.085453923630179,0.9734112620353699,0.026588737964630127,0.026588737964630127,720,576,1.25,24,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""WallDamage"", ""JointAnomaly""]","[0.9734112620353699, 0.010377459228038788, 0.009668092243373394, 0.006068388931453228, 0.000472255633212626]","{""Deformation"": 0.010377459228038788, ""DepositAttachment"": 0.009668092243373394, ""JointAnomaly"": 0.000472255633212626, ""Normal"": 0.9734112620353699, ""Roots"": 2.4935961846495047e-06, ""WallDamage"": 0.006068388931453228}"
77,00381217,val,Deformation,0,val/Deformation/00381217.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Deformation\00381217.png,Normal,3,0,1,0.866327166557312,DepositAttachment,0.12632983922958374,Deformation,0.007342732045799494,0.7399973273277283,0.4217563014092542,0.23538667363145555,0.866327166557312,0.133672833442688,0.133672833442688,352,288,1.222222,77,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""JointAnomaly"", ""WallDamage""]","[0.866327166557312, 0.12632983922958374, 0.007342732045799494, 1.6776250788552716e-07, 5.782951006949588e-08]","{""Deformation"": 0.007342732045799494, ""DepositAttachment"": 0.12632983922958374, ""JointAnomaly"": 1.6776250788552716e-07, ""Normal"": 0.866327166557312, ""Roots"": 1.7443340175060662e-11, ""WallDamage"": 5.782951006949588e-08}"
78,00388524,val,Deformation,0,val/Deformation/00388524.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Deformation\00388524.png,Normal,3,0,1,0.7537029981613159,Deformation,0.24605156481266022,DepositAttachment,0.00010203786951024085,0.5076514333486557,0.560442386850794,0.3127888516711731,0.7537029981613159,0.24629700183868408,0.24629700183868408,352,288,1.222222,78,"[""Normal"", ""Deformation"", ""DepositAttachment"", ""Roots"", ""WallDamage""]","[0.7537029981613159, 0.24605156481266022, 0.00010203786951024085, 7.151769386837259e-05, 7.111953891580924e-05]","{""Deformation"": 0.24605156481266022, ""DepositAttachment"": 0.00010203786951024085, ""JointAnomaly"": 7.815021376700315e-07, ""Normal"": 0.7537029981613159, ""Roots"": 7.151769386837259e-05, ""WallDamage"": 7.111953891580924e-05}"
88,00416204,val,Deformation,0,val/Deformation/00416204.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\Deformation\00416204.png,Normal,3,0,1,0.728446364402771,Deformation,0.26134705543518066,JointAnomaly,0.007164364214986563,0.46709930896759033,0.6352844623873906,0.3545590093412988,0.728446364402771,0.271553635597229,0.271553635597229,352,288,1.222222,88,"[""Normal"", ""Deformation"", ""JointAnomaly"", ""WallDamage"", ""DepositAttachment""]","[0.728446364402771, 0.26134705543518066, 0.007164364214986563, 0.002832359867170453, 0.00020936332293786108]","{""Deformation"": 0.26134705543518066, ""DepositAttachment"": 0.00020936332293786108, ""JointAnomaly"": 0.007164364214986563, ""Normal"": 0.728446364402771, ""Roots"": 4.919517095913761e-07, ""WallDamage"": 0.002832359867170453}"
126,00034454,val,DepositAttachment,1,val/DepositAttachment/00034454.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\DepositAttachment\00034454.png,Normal,3,0,1,0.9969139099121094,WallDamage,0.002347008790820837,DepositAttachment,0.0005754604935646057,0.9945669011212885,0.023055979425508653,0.0128677871229233,0.9969139099121094,0.003086090087890625,0.003086090087890625,720,576,1.25,126,"[""Normal"", ""WallDamage"", ""DepositAttachment"", ""JointAnomaly"", ""Deformation""]","[0.9969139099121094, 0.002347008790820837, 0.0005754604935646057, 0.000152713168063201, 9.524905181024224e-06]","{""Deformation"": 9.524905181024224e-06, ""DepositAttachment"": 0.0005754604935646057, ""JointAnomaly"": 0.000152713168063201, ""Normal"": 0.9969139099121094, ""Roots"": 1.4334694924400537e-06, ""WallDamage"": 0.002347008790820837}"
127,00039777,val,DepositAttachment,1,val/DepositAttachment/00039777.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\DepositAttachment\00039777.png,Normal,3,0,1,0.5017874240875244,DepositAttachment,0.2961443066596985,Deformation,0.20081375539302826,0.20564311742782593,1.0382438579227542,0.5794549300582525,0.5017874240875244,0.4982125759124756,0.4982125759124756,720,576,1.25,127,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""Roots"", ""JointAnomaly""]","[0.5017874240875244, 0.2961443066596985, 0.20081375539302826, 0.0008419950609095395, 0.00022853663540445268]","{""Deformation"": 0.20081375539302826, ""DepositAttachment"": 0.2961443066596985, ""JointAnomaly"": 0.00022853663540445268, ""Normal"": 0.5017874240875244, ""Roots"": 0.0008419950609095395, ""WallDamage"": 0.0001839939650380984}"
134,00141003,val,DepositAttachment,1,val/DepositAttachment/00141003.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\DepositAttachment\00141003.png,Normal,3,0,1,0.993685781955719,DepositAttachment,0.004114816430956125,Deformation,0.002199142938479781,0.9895709655247629,0.04235998164849928,0.02364155589854327,0.993685781955719,0.006314218044281006,0.006314218044281006,720,576,1.25,134,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""WallDamage"", ""JointAnomaly""]","[0.993685781955719, 0.004114816430956125, 0.002199142938479781, 2.8523243145173183e-07, 1.2106063929095967e-09]","{""Deformation"": 0.002199142938479781, ""DepositAttachment"": 0.004114816430956125, ""JointAnomaly"": 1.2106063929095967e-09, ""Normal"": 0.993685781955719, ""Roots"": 3.705594316637251e-14, ""WallDamage"": 2.8523243145173183e-07}"
143,00147722,val,DepositAttachment,1,val/DepositAttachment/00147722.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\DepositAttachment\00147722.png,Normal,3,0,1,0.6243247389793396,DepositAttachment,0.32435858249664307,Deformation,0.04450386017560959,0.29996615648269653,0.8356535981776243,0.4663871532587181,0.6243247389793396,0.3756752610206604,0.3756752610206604,720,576,1.25,143,"[""Normal"", ""DepositAttachment"", ""Deformation"", ""WallDamage"", ""JointAnomaly""]","[0.6243247389793396, 0.32435858249664307, 0.04450386017560959, 0.0051284534856677055, 0.0016775907715782523]","{""Deformation"": 0.04450386017560959, ""DepositAttachment"": 0.32435858249664307, ""JointAnomaly"": 0.0016775907715782523, ""Normal"": 0.6243247389793396, ""Roots"": 6.7258929448144045e-06, ""WallDamage"": 0.0051284534856677055}"
177,00323612,val,DepositAttachment,1,val/DepositAttachment/00323612.png,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\data\sewerml_cls6_train7200\val\DepositAttachment\00323612.png,Normal,3,0,1,0.7449397444725037,Deformation,0.25115153193473816,WallDamage,0.003791204420849681,0.4937882125377655,0.5886123872942538,0.3285108282686214,0.7449397444725037,0.25506025552749634,0.25506025552749634,480,576,0.833333,177,"[""Normal"", ""Deformation"", ""WallDamage"", ""DepositAttachment"", ""Roots""]","[0.7449397444725037, 0.25115153193473816, 0.003791204420849681, 0.00010474921145942062, 8.422467544733081e-06]","{""Deformation"": 0.25115153193473816, ""DepositAttachment"": 0.00010474921145942062, ""JointAnomaly"": 4.296445240470348e-06, ""Normal"": 0.7449397444725037, ""Roots"": 8.422467544733081e-06, ""WallDamage"": 0.003791204420849681}"
