threshold,precision,recall,f1,tp,fn,fp,tn
1.01,0.0,0.0,0.0,0,600,0,120
1.0,1.0,0.015,0.029557,9,591,0,120
1.0,1.0,0.066667,0.125,40,560,0,120
1.0,1.0,0.073333,0.136646,44,556,0,120
1.0,1.0,0.075,0.139535,45,555,0,120
1.0,1.0,0.076667,0.142415,46,554,0,120
1.0,1.0,0.076667,0.142415,46,554,0,120
1.0,1.0,0.08,0.148148,48,552,0,120
1.0,1.0,0.081667,0.151002,49,551,0,120
1.0,1.0,0.085,0.156682,51,549,0,120
1.0,1.0,0.085,0.156682,51,549,0,120
1.0,1.0,0.088333,0.162328,53,547,0,120
1.0,1.0,0.09,0.165138,54,546,0,120
1.0,1.0,0.09,0.165138,54,546,0,120
1.0,1.0,0.093333,0.170732,56,544,0,120
1.0,1.0,0.095,0.173516,57,543,0,120
1.0,1.0,0.096667,0.176292,58,542,0,120
1.0,1.0,0.098333,0.179059,59,541,0,120
1.0,1.0,0.1,0.181818,60,540,0,120
1.0,1.0,0.1,0.181818,60,540,0,120
1.0,1.0,0.103333,0.187311,62,538,0,120
1.0,1.0,0.103333,0.187311,62,538,0,120
1.0,1.0,0.108333,0.195489,65,535,0,120
1.0,1.0,0.11,0.198198,66,534,0,120
1.0,1.0,0.11,0.198198,66,534,0,120
1.0,1.0,0.111667,0.2009,67,533,0,120
1.0,1.0,0.113333,0.203593,68,532,0,120
1.0,1.0,0.116667,0.208955,70,530,0,120
1.0,1.0,0.118333,0.211624,71,529,0,120
1.0,1.0,0.121667,0.216939,73,527,0,120
1.0,1.0,0.121667,0.216939,73,527,0,120
1.0,1.0,0.123333,0.219585,74,526,0,120
1.0,1.0,0.126667,0.224852,76,524,0,120
1.0,1.0,0.126667,0.224852,76,524,0,120
1.0,1.0,0.128333,0.227474,77,523,0,120
1.0,1.0,0.13,0.230088,78,522,0,120
1.0,1.0,0.133333,0.235294,80,520,0,120
1.0,1.0,0.135,0.237885,81,519,0,120
1.0,1.0,0.136667,0.240469,82,518,0,120
1.0,1.0,0.136667,0.240469,82,518,0,120
1.0,1.0,0.138333,0.243045,83,517,0,120
1.0,1.0,0.141667,0.248175,85,515,0,120
1.0,1.0,0.143333,0.250729,86,514,0,120
1.0,1.0,0.143333,0.250729,86,514,0,120
1.0,1.0,0.145,0.253275,87,513,0,120
1.0,1.0,0.146667,0.255814,88,512,0,120
1.0,1.0,0.148333,0.258345,89,511,0,120
1.0,1.0,0.151667,0.263386,91,509,0,120
1.0,1.0,0.151667,0.263386,91,509,0,120
1.0,1.0,0.155,0.268398,93,507,0,120
1.0,1.0,0.155,0.268398,93,507,0,120
1.0,1.0,0.156667,0.270893,94,506,0,120
1.0,1.0,0.16,0.275862,96,504,0,120
1.0,1.0,0.16,0.275862,96,504,0,120
1.0,1.0,0.161667,0.278336,97,503,0,120
1.0,1.0,0.163333,0.280802,98,502,0,120
1.0,1.0,0.165,0.283262,99,501,0,120
1.0,1.0,0.166667,0.285714,100,500,0,120
1.0,1.0,0.17,0.290598,102,498,0,120
1.0,1.0,0.17,0.290598,102,498,0,120
1.0,1.0,0.171667,0.29303,103,497,0,120
1.0,1.0,0.175,0.297872,105,495,0,120
1.0,1.0,0.175,0.297872,105,495,0,120
1.0,1.0,0.176667,0.300283,106,494,0,120
1.0,1.0,0.178333,0.302687,107,493,0,120
1.0,1.0,0.18,0.305085,108,492,0,120
1.0,1.0,0.181667,0.307475,109,491,0,120
1.0,1.0,0.183333,0.309859,110,490,0,120
1.0,1.0,0.185,0.312236,111,489,0,120
1.0,1.0,0.186667,0.314607,112,488,0,120
1.0,1.0,0.19,0.319328,114,486,0,120
1.0,1.0,0.19,0.319328,114,486,0,120
1.0,1.0,0.193333,0.324022,116,484,0,120
1.0,1.0,0.193333,0.324022,116,484,0,120
1.0,1.0,0.196667,0.328691,118,482,0,120
1.0,1.0,0.196667,0.328691,118,482,0,120
1.0,1.0,0.198333,0.331015,119,481,0,120
1.0,1.0,0.2,0.333333,120,480,0,120
1.0,1.0,0.203333,0.33795,122,478,0,120
1.0,1.0,0.203333,0.33795,122,478,0,120
1.0,1.0,0.205,0.340249,123,477,0,120
1.0,1.0,0.206667,0.342541,124,476,0,120
1.0,1.0,0.208333,0.344828,125,475,0,120
1.0,1.0,0.21,0.347107,126,474,0,120
1.0,1.0,0.211667,0.349381,127,473,0,120
1.0,1.0,0.213333,0.351648,128,472,0,120
1.0,1.0,0.215,0.353909,129,471,0,120
1.0,1.0,0.216667,0.356164,130,470,0,120
1.0,1.0,0.22,0.360656,132,468,0,120
1.0,1.0,0.22,0.360656,132,468,0,120
1.0,1.0,0.223333,0.365123,134,466,0,120
1.0,1.0,0.223333,0.365123,134,466,0,120
1.0,1.0,0.225,0.367347,135,465,0,120
1.0,1.0,0.226667,0.369565,136,464,0,120
1.0,1.0,0.23,0.373984,138,462,0,120
1.0,1.0,0.23,0.373984,138,462,0,120
1.0,1.0,0.231667,0.376184,139,461,0,120
1.0,1.0,0.235,0.380567,141,459,0,120
1.0,1.0,0.236667,0.382749,142,458,0,120
1.0,1.0,0.236667,0.382749,142,458,0,120
1.0,1.0,0.24,0.387097,144,456,0,120
1.0,1.0,0.241667,0.389262,145,455,0,120
1.0,1.0,0.243333,0.391421,146,454,0,120
1.0,1.0,0.243333,0.391421,146,454,0,120
1.0,1.0,0.245,0.393574,147,453,0,120
1.0,1.0,0.248333,0.397864,149,451,0,120
1.0,1.0,0.248333,0.397864,149,451,0,120
1.0,1.0,0.25,0.4,150,450,0,120
1.0,1.0,0.251667,0.40213,151,449,0,120
1.0,1.0,0.255,0.406375,153,447,0,120
1.0,1.0,0.255,0.406375,153,447,0,120
1.0,1.0,0.256667,0.408488,154,446,0,120
1.0,1.0,0.258333,0.410596,155,445,0,120
1.0,1.0,0.26,0.412698,156,444,0,120
1.0,1.0,0.261667,0.414795,157,443,0,120
1.0,1.0,0.263333,0.416887,158,442,0,120
1.0,1.0,0.265,0.418972,159,441,0,120
1.0,1.0,0.268333,0.423127,161,439,0,120
1.0,1.0,0.268333,0.423127,161,439,0,120
1.0,1.0,0.271667,0.427261,163,437,0,120
1.0,1.0,0.273333,0.429319,164,436,0,120
1.0,1.0,0.275,0.431373,165,435,0,120
1.0,1.0,0.276667,0.43342,166,434,0,120
1.0,1.0,0.278333,0.435463,167,433,0,120
1.0,1.0,0.28,0.4375,168,432,0,120
1.0,1.0,0.281667,0.439532,169,431,0,120
1.0,1.0,0.283333,0.441558,170,430,0,120
1.0,1.0,0.283333,0.441558,170,430,0,120
1.0,1.0,0.285,0.44358,171,429,0,120
1.0,1.0,0.288333,0.447607,173,427,0,120
1.0,1.0,0.29,0.449612,174,426,0,120
1.0,1.0,0.291667,0.451613,175,425,0,120
1.0,1.0,0.293333,0.453608,176,424,0,120
1.0,1.0,0.293333,0.453608,176,424,0,120
1.0,1.0,0.295,0.455598,177,423,0,120
1.0,1.0,0.298333,0.459564,179,421,0,120
1.0,1.0,0.3,0.461538,180,420,0,120
1.0,1.0,0.3,0.461538,180,420,0,120
1.0,1.0,0.301667,0.463508,181,419,0,120
1.0,1.0,0.303333,0.465473,182,418,0,120
1.0,0.994565,0.305,0.466837,183,417,1,119
1.0,0.994595,0.306667,0.46879,184,416,1,119
1.0,0.994595,0.306667,0.46879,184,416,1,119
1.0,0.994652,0.31,0.472681,186,414,1,119
1.0,0.994652,0.31,0.472681,186,414,1,119
1.0,0.994681,0.311667,0.474619,187,413,1,119
1.0,0.994709,0.313333,0.476553,188,412,1,119
1.0,0.994764,0.316667,0.480405,190,410,1,119
1.0,0.994792,0.318333,0.482323,191,409,1,119
1.0,0.994819,0.32,0.484237,192,408,1,119
1.0,0.994819,0.32,0.484237,192,408,1,119
1.0,0.994872,0.323333,0.48805,194,406,1,119
1.0,0.994898,0.325,0.48995,195,405,1,119
1.0,0.994898,0.325,0.48995,195,405,1,119
1.0,0.994924,0.326667,0.491844,196,404,1,119
1.0,0.994949,0.328333,0.493734,197,403,1,119
1.0,0.995,0.331667,0.4975,199,401,1,119
1.0,0.995,0.331667,0.4975,199,401,1,119
1.0,0.99505,0.335,0.501247,201,399,1,119
1.0,0.99505,0.335,0.501247,201,399,1,119
