threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.015,0.015,0.0,1.0,9,591,0,120
1.0,0.066667,0.066667,0.0,1.0,40,560,0,120
1.0,0.073333,0.073333,0.0,1.0,44,556,0,120
1.0,0.075,0.075,0.0,1.0,45,555,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.076667,0.076667,0.0,1.0,46,554,0,120
1.0,0.08,0.08,0.0,1.0,48,552,0,120
1.0,0.081667,0.081667,0.0,1.0,49,551,0,120
1.0,0.085,0.085,0.0,1.0,51,549,0,120
1.0,0.085,0.085,0.0,1.0,51,549,0,120
1.0,0.088333,0.088333,0.0,1.0,53,547,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.09,0.09,0.0,1.0,54,546,0,120
1.0,0.093333,0.093333,0.0,1.0,56,544,0,120
1.0,0.095,0.095,0.0,1.0,57,543,0,120
1.0,0.096667,0.096667,0.0,1.0,58,542,0,120
1.0,0.098333,0.098333,0.0,1.0,59,541,0,120
1.0,0.1,0.1,0.0,1.0,60,540,0,120
1.0,0.1,0.1,0.0,1.0,60,540,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.103333,0.103333,0.0,1.0,62,538,0,120
1.0,0.108333,0.108333,0.0,1.0,65,535,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.11,0.11,0.0,1.0,66,534,0,120
1.0,0.111667,0.111667,0.0,1.0,67,533,0,120
1.0,0.113333,0.113333,0.0,1.0,68,532,0,120
1.0,0.116667,0.116667,0.0,1.0,70,530,0,120
1.0,0.118333,0.118333,0.0,1.0,71,529,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.121667,0.121667,0.0,1.0,73,527,0,120
1.0,0.123333,0.123333,0.0,1.0,74,526,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.126667,0.126667,0.0,1.0,76,524,0,120
1.0,0.128333,0.128333,0.0,1.0,77,523,0,120
1.0,0.13,0.13,0.0,1.0,78,522,0,120
1.0,0.133333,0.133333,0.0,1.0,80,520,0,120
1.0,0.135,0.135,0.0,1.0,81,519,0,120
1.0,0.136667,0.136667,0.0,1.0,82,518,0,120
1.0,0.136667,0.136667,0.0,1.0,82,518,0,120
1.0,0.138333,0.138333,0.0,1.0,83,517,0,120
1.0,0.141667,0.141667,0.0,1.0,85,515,0,120
1.0,0.143333,0.143333,0.0,1.0,86,514,0,120
1.0,0.143333,0.143333,0.0,1.0,86,514,0,120
1.0,0.145,0.145,0.0,1.0,87,513,0,120
1.0,0.146667,0.146667,0.0,1.0,88,512,0,120
1.0,0.148333,0.148333,0.0,1.0,89,511,0,120
1.0,0.151667,0.151667,0.0,1.0,91,509,0,120
1.0,0.151667,0.151667,0.0,1.0,91,509,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.155,0.155,0.0,1.0,93,507,0,120
1.0,0.156667,0.156667,0.0,1.0,94,506,0,120
1.0,0.16,0.16,0.0,1.0,96,504,0,120
1.0,0.16,0.16,0.0,1.0,96,504,0,120
1.0,0.161667,0.161667,0.0,1.0,97,503,0,120
1.0,0.163333,0.163333,0.0,1.0,98,502,0,120
1.0,0.165,0.165,0.0,1.0,99,501,0,120
1.0,0.166667,0.166667,0.0,1.0,100,500,0,120
1.0,0.17,0.17,0.0,1.0,102,498,0,120
1.0,0.17,0.17,0.0,1.0,102,498,0,120
1.0,0.171667,0.171667,0.0,1.0,103,497,0,120
1.0,0.175,0.175,0.0,1.0,105,495,0,120
1.0,0.175,0.175,0.0,1.0,105,495,0,120
1.0,0.176667,0.176667,0.0,1.0,106,494,0,120
1.0,0.178333,0.178333,0.0,1.0,107,493,0,120
1.0,0.18,0.18,0.0,1.0,108,492,0,120
1.0,0.181667,0.181667,0.0,1.0,109,491,0,120
1.0,0.183333,0.183333,0.0,1.0,110,490,0,120
1.0,0.185,0.185,0.0,1.0,111,489,0,120
1.0,0.186667,0.186667,0.0,1.0,112,488,0,120
1.0,0.19,0.19,0.0,1.0,114,486,0,120
1.0,0.19,0.19,0.0,1.0,114,486,0,120
1.0,0.193333,0.193333,0.0,1.0,116,484,0,120
1.0,0.193333,0.193333,0.0,1.0,116,484,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.196667,0.196667,0.0,1.0,118,482,0,120
1.0,0.198333,0.198333,0.0,1.0,119,481,0,120
1.0,0.2,0.2,0.0,1.0,120,480,0,120
1.0,0.203333,0.203333,0.0,1.0,122,478,0,120
1.0,0.203333,0.203333,0.0,1.0,122,478,0,120
