threshold,tp,fn,fp,tn,recall,precision,specificity,fpr,fnr,npv,accuracy,f1,ptr,normal_filtered,normal_left,abnormal_kept,abnormal_missed
0.01,420,0,80,4,1.0,0.84,0.047619,0.952381,0.0,1.0,0.84127,0.913043,0.992063,4,80,420,0
0.02,420,0,77,7,1.0,0.84507,0.083333,0.916667,0.0,1.0,0.847222,0.916031,0.986111,7,77,420,0
0.03,420,0,73,11,1.0,0.851927,0.130952,0.869048,0.0,1.0,0.855159,0.920044,0.978175,11,73,420,0
0.04,420,0,72,12,1.0,0.853659,0.142857,0.857143,0.0,1.0,0.857143,0.921053,0.97619,12,72,420,0
0.05,420,0,72,12,1.0,0.853659,0.142857,0.857143,0.0,1.0,0.857143,0.921053,0.97619,12,72,420,0
0.06,419,1,72,12,0.997619,0.85336,0.142857,0.857143,0.002381,0.923077,0.855159,0.919868,0.974206,12,72,419,1
0.07,419,1,72,12,0.997619,0.85336,0.142857,0.857143,0.002381,0.923077,0.855159,0.919868,0.974206,12,72,419,1
0.08,418,2,70,14,0.995238,0.856557,0.166667,0.833333,0.004762,0.875,0.857143,0.920705,0.968254,14,70,418,2
0.09,418,2,70,14,0.995238,0.856557,0.166667,0.833333,0.004762,0.875,0.857143,0.920705,0.968254,14,70,418,2
0.1,417,3,69,15,0.992857,0.858025,0.178571,0.821429,0.007143,0.833333,0.857143,0.92053,0.964286,15,69,417,3
0.11,417,3,67,17,0.992857,0.86157,0.202381,0.797619,0.007143,0.85,0.861111,0.922566,0.960317,17,67,417,3
0.12,417,3,65,19,0.992857,0.865145,0.22619,0.77381,0.007143,0.863636,0.865079,0.924612,0.956349,19,65,417,3
0.13,417,3,63,21,0.992857,0.86875,0.25,0.75,0.007143,0.875,0.869048,0.926667,0.952381,21,63,417,3
0.14,417,3,63,21,0.992857,0.86875,0.25,0.75,0.007143,0.875,0.869048,0.926667,0.952381,21,63,417,3
0.15,417,3,62,22,0.992857,0.870564,0.261905,0.738095,0.007143,0.88,0.871032,0.927697,0.950397,22,62,417,3
0.16,417,3,56,28,0.992857,0.881607,0.333333,0.666667,0.007143,0.903226,0.882937,0.933931,0.938492,28,56,417,3
0.17,417,3,54,30,0.992857,0.88535,0.357143,0.642857,0.007143,0.909091,0.886905,0.936027,0.934524,30,54,417,3
0.18,416,4,51,33,0.990476,0.890792,0.392857,0.607143,0.009524,0.891892,0.890873,0.937993,0.926587,33,51,416,4
0.19,416,4,51,33,0.990476,0.890792,0.392857,0.607143,0.009524,0.891892,0.890873,0.937993,0.926587,33,51,416,4
0.2,415,5,49,35,0.988095,0.894397,0.416667,0.583333,0.011905,0.875,0.892857,0.938914,0.920635,35,49,415,5
0.21,415,5,49,35,0.988095,0.894397,0.416667,0.583333,0.011905,0.875,0.892857,0.938914,0.920635,35,49,415,5
0.22,415,5,49,35,0.988095,0.894397,0.416667,0.583333,0.011905,0.875,0.892857,0.938914,0.920635,35,49,415,5
0.23,414,6,47,37,0.985714,0.898048,0.440476,0.559524,0.014286,0.860465,0.894841,0.939841,0.914683,37,47,414,6
0.24,413,7,45,39,0.983333,0.901747,0.464286,0.535714,0.016667,0.847826,0.896825,0.940774,0.90873,39,45,413,7
0.25,413,7,44,40,0.983333,0.90372,0.47619,0.52381,0.016667,0.851064,0.89881,0.941847,0.906746,40,44,413,7
0.26,413,7,43,41,0.983333,0.905702,0.488095,0.511905,0.016667,0.854167,0.900794,0.942922,0.904762,41,43,413,7
0.27,413,7,41,43,0.983333,0.909692,0.511905,0.488095,0.016667,0.86,0.904762,0.94508,0.900794,43,41,413,7
