epoch,train_loss,val_loss,top1,top5,lr_pg0,lr_pg1,lr_pg2,epoch_time_seconds,elapsed_seconds,batch_size,accumulate,effective_batch,gpu_mem_reserved_gb,gpu_mem_peak_reserved_gb,gpu_mem_peak_allocated_gb,fitness,best_fitness_so_far,best_epoch_so_far,possible_early_stop,stop_triggered,is_best_epoch
1,0.40772,0.47432,0.86111,1.0,0.0033169129720853857,0.0033169129720853857,0.0033169129720853857,144.24459838867188,144.24459838867188,32,1,32,26.132611072,26.132611072,18.114532352,0.93056,0.93056,1,0,0,1
2,0.34851,0.45223,0.85694,1.0,0.006617327586206896,0.006617327586206896,0.006617327586206896,148.45135641098022,292.6959547996521,32,2,64,27.17908992,27.17908992,18.210646016,0.92847,0.93056,1,0,0,0
3,0.36049,0.46533,0.86528,1.0,0.009884742200328407,0.009884742200328407,0.009884742200328407,110.59125685691833,403.28821182250977,32,2,64,25.528631296,25.528631296,18.09982976,0.93264,0.93264,3,0,0,1
4,0.37041,0.45292,0.86111,1.0,0.0098515,0.0098515,0.0098515,134.61148071289062,537.8986923694611,32,2,64,26.229080064,26.229080064,18.215348224,0.93056,0.93264,3,0,0,0
5,0.35436,0.45146,0.87917,1.0,0.009802,0.009802,0.009802,111.91374373435974,649.813437461853,32,2,64,25.537019904,25.537019904,18.097241088,0.93958,0.93958,5,0,0,1
6,0.33915,0.44906,0.875,1.0,0.009752499999999999,0.009752499999999999,0.009752499999999999,156.867249250412,806.6796853542328,32,2,64,27.176992768,27.176992768,18.215380992,0.9375,0.93958,5,0,0,0
7,0.32677,0.44295,0.88611,1.0,0.009703,0.009703,0.009703,113.4166042804718,920.0972900390625,32,2,64,25.52233984,25.52233984,18.09950208,0.94306,0.94306,7,0,0,1
8,0.29842,0.44071,0.89444,1.0,0.009653499999999999,0.009653499999999999,0.009653499999999999,156.6993019580841,1076.7955915927887,32,2,64,27.176992768,27.176992768,18.215151616,0.94722,0.94722,8,0,0,1
9,0.29829,0.42029,0.90278,1.0,0.009604,0.009604,0.009604,113.11407542228699,1189.9096670150757,32,2,64,25.528631296,25.528631296,18.103581696,0.95139,0.95139,9,0,0,1
10,0.28577,0.41508,0.90694,1.0,0.009554499999999999,0.009554499999999999,0.009554499999999999,151.02201628684998,1340.9316833019257,32,2,64,26.231177216,26.231177216,18.2159872,0.95347,0.95347,10,0,0,1
11,0.28032,0.42161,0.90139,1.0,0.009505,0.009505,0.009505,114.86229705810547,1455.7949805259705,32,2,64,25.526534144,25.526534144,18.09819136,0.95069,0.95347,10,0,0,0
12,0.27823,0.41992,0.90972,1.0,0.0094555,0.0094555,0.0094555,156.15217900276184,1611.9471604824066,32,2,64,27.176992768,27.176992768,18.215397376,0.95486,0.95486,12,0,0,1
13,0.25896,0.42149,0.89861,1.0,0.009406,0.009406,0.009406,116.30441474914551,1728.2505741119385,32,2,64,25.530728448,25.530728448,18.10056704,0.94931,0.95486,12,0,0,0
14,0.25959,0.42212,0.90417,1.0,0.009356500000000002,0.009356500000000002,0.009356500000000002,133.83695197105408,1862.0875260829926,32,2,64,26.239565824,26.239565824,18.215118848,0.95208,0.95486,12,0,0,0
15,0.25934,0.4199,0.91528,1.0,0.009307,0.009307,0.009307,111.44920659065247,1973.536732673645,32,2,64,25.52233984,25.52233984,18.097404928,0.95764,0.95764,15,0,0,1
16,0.25546,0.41022,0.90556,1.0,0.0092575,0.0092575,0.0092575,156.93817567825317,2130.474908351898,32,2,64,27.174895616,27.174895616,18.213332992,0.95278,0.95764,15,0,0,0
17,0.24216,0.42704,0.90556,1.0,0.009208000000000001,0.009208000000000001,0.009208000000000001,114.31016230583191,2244.78507065773,32,2,64,25.526534144,25.526534144,18.096782336,0.95278,0.95764,15,0,0,0
18,0.24182,0.4177,0.90694,1.0,0.0091585,0.0091585,0.0091585,167.34937834739685,2412.134449005127,32,2,64,27.174895616,27.174895616,18.215348224,0.95347,0.95764,15,0,0,0
19,0.24017,0.40668,0.91528,1.0,0.009109,0.009109,0.009109,128.48500633239746,2540.6194553375244,32,2,64,25.537019904,25.537019904,18.098011136,0.95764,0.95764,19,0,0,1
20,0.23176,0.41701,0.90417,1.0,0.0090595,0.0090595,0.0090595,166.26035523414612,2706.8808109760284,32,2,64,27.181187072,27.181187072,18.214692864,0.95208,0.95764,19,0,0,0
21,0.2233,0.41622,0.89861,1.0,0.00901,0.00901,0.00901,112.58129143714905,2819.4611020088196,32,2,64,25.518145536,25.518145536,18.097224704,0.94931,0.95764,19,0,0,0
22,0.2127,0.40422,0.91806,1.0,0.0089605,0.0089605,0.0089605,156.74989700317383,2976.2109990119934,32,2,64,27.18957568,27.18957568,18.215217152,0.95903,0.95903,22,0,0,1
23,0.20548,0.39559,0.92917,1.0,0.008911,0.008911,0.008911,117.23225140571594,3093.4432504177094,32,2,64,25.5328256,25.5328256,18.096602112,0.96458,0.96458,23,0,0,1
24,0.20607,0.41191,0.90556,1.0,0.0088615,0.0088615,0.0088615,156.15328216552734,3249.597532272339,32,2,64,27.176992768,27.176992768,18.216380416,0.95278,0.96458,23,0,0,0
25,0.20271,0.41374,0.90833,1.0,0.008812,0.008812,0.008812,116.67685794830322,3366.27339053154,32,2,64,25.526534144,25.526534144,18.100698112,0.95417,0.96458,23,0,0,0
26,0.19685,0.40651,0.90694,1.0,0.0087625,0.0087625,0.0087625,139.78338527679443,3506.057776927948,32,2,64,26.231177216,26.231177216,18.214856704,0.95347,0.96458,23,0,0,0
27,0.19096,0.40839,0.91944,1.0,0.008713,0.008713,0.008713,114.79492974281311,3620.8517055511475,32,2,64,25.528631296,25.528631296,18.098732032,0.95972,0.96458,23,0,0,0
28,0.19236,0.40346,0.9,1.0,0.0086635,0.0086635,0.0086635,141.58654403686523,3762.4382495880127,32,2,64,26.239565824,26.239565824,18.2155776,0.95,0.96458,23,0,0,0
29,0.18486,0.41018,0.90556,1.0,0.008614,0.008614,0.008614,118.89271688461304,3881.3309664726257,32,2,64,25.593643008,25.593643008,18.100419584,0.95278,0.96458,23,0,0,0
