                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40772,                0.86111,                      1,                0.47432,              0.0033169,              0.0033169,              0.0033169
                      2,                0.34851,                0.85694,                      1,                0.45223,              0.0066173,              0.0066173,              0.0066173
                      3,                0.36049,                0.86528,                      1,                0.46533,              0.0098847,              0.0098847,              0.0098847
                      4,                0.37041,                0.86111,                      1,                0.45292,              0.0098515,              0.0098515,              0.0098515
                      5,                0.35436,                0.87917,                      1,                0.45146,               0.009802,               0.009802,               0.009802
                      6,                0.33915,                  0.875,                      1,                0.44906,              0.0097525,              0.0097525,              0.0097525
                      7,                0.32677,                0.88611,                      1,                0.44295,               0.009703,               0.009703,               0.009703
                      8,                0.29842,                0.89444,                      1,                0.44071,              0.0096535,              0.0096535,              0.0096535
                      9,                0.29829,                0.90278,                      1,                0.42029,               0.009604,               0.009604,               0.009604
                     10,                0.28577,                0.90694,                      1,                0.41508,              0.0095545,              0.0095545,              0.0095545
                     11,                0.28032,                0.90139,                      1,                0.42161,               0.009505,               0.009505,               0.009505
                     12,                0.27823,                0.90972,                      1,                0.41992,              0.0094555,              0.0094555,              0.0094555
                     13,                0.25896,                0.89861,                      1,                0.42149,               0.009406,               0.009406,               0.009406
                     14,                0.25959,                0.90417,                      1,                0.42212,              0.0093565,              0.0093565,              0.0093565
                     15,                0.25934,                0.91528,                      1,                 0.4199,               0.009307,               0.009307,               0.009307
                     16,                0.25546,                0.90556,                      1,                0.41022,              0.0092575,              0.0092575,              0.0092575
                     17,                0.24216,                0.90556,                      1,                0.42704,               0.009208,               0.009208,               0.009208
                     18,                0.24182,                0.90694,                      1,                 0.4177,              0.0091585,              0.0091585,              0.0091585
                     19,                0.24017,                0.91528,                      1,                0.40668,               0.009109,               0.009109,               0.009109
                     20,                0.23176,                0.90417,                      1,                0.41701,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.2233,                0.89861,                      1,                0.41622,                0.00901,                0.00901,                0.00901
                     22,                 0.2127,                0.91806,                      1,                0.40422,              0.0089605,              0.0089605,              0.0089605
                     23,                0.20548,                0.92917,                      1,                0.39559,               0.008911,               0.008911,               0.008911
                     24,                0.20607,                0.90556,                      1,                0.41191,              0.0088615,              0.0088615,              0.0088615
                     25,                0.20271,                0.90833,                      1,                0.41374,               0.008812,               0.008812,               0.008812
                     26,                0.19685,                0.90694,                      1,                0.40651,              0.0087625,              0.0087625,              0.0087625
                     27,                0.19096,                0.91944,                      1,                0.40839,               0.008713,               0.008713,               0.008713
                     28,                0.19236,                    0.9,                      1,                0.40346,              0.0086635,              0.0086635,              0.0086635
                     29,                0.18486,                0.90556,                      1,                0.41018,               0.008614,               0.008614,               0.008614
                     30,                0.17976,                0.91806,                      1,                0.39899,              0.0085645,              0.0085645,              0.0085645
                     31,                0.16493,                0.90694,                      1,                0.40847,               0.008515,               0.008515,               0.008515
                     32,                0.17751,                0.91806,                      1,                0.39988,              0.0084655,              0.0084655,              0.0084655
                     33,                0.17554,                    0.9,                      1,                0.40649,               0.008416,               0.008416,               0.008416
                     34,                0.16808,                  0.925,                      1,                0.39286,              0.0083665,              0.0083665,              0.0083665
                     35,                0.15756,                0.91667,                      1,                0.40153,               0.008317,               0.008317,               0.008317
                     36,                0.15697,                0.91389,                      1,                0.41398,              0.0082675,              0.0082675,              0.0082675
                     37,                0.17088,                0.89583,                      1,                0.41258,               0.008218,               0.008218,               0.008218
                     38,                0.16347,                0.90556,                      1,                0.40953,              0.0081685,              0.0081685,              0.0081685
                     39,                0.15401,                0.91111,                      1,                0.39958,               0.008119,               0.008119,               0.008119
                     40,                0.13357,                0.90833,                      1,                0.40149,              0.0080695,              0.0080695,              0.0080695
                     41,                0.15159,                0.90833,                      1,                  0.408,                0.00802,                0.00802,                0.00802
                     42,                0.14467,                0.90833,                      1,                0.41103,              0.0079705,              0.0079705,              0.0079705
                     43,                0.14852,                0.91806,                      1,                0.40023,               0.007921,               0.007921,               0.007921
