threshold,tpr,recall,fpr,specificity,tp,fn,fp,tn
1.01,0.0,0.0,0.0,1.0,0,600,0,120
1.0,0.001667,0.001667,0.0,1.0,1,599,0,120
1.0,0.003333,0.003333,0.0,1.0,2,598,0,120
1.0,0.003333,0.003333,0.0,1.0,2,598,0,120
1.0,0.005,0.005,0.0,1.0,3,597,0,120
1.0,0.006667,0.006667,0.0,1.0,4,596,0,120
0.999999,0.008333,0.008333,0.0,1.0,5,595,0,120
0.999999,0.011667,0.011667,0.0,1.0,7,593,0,120
0.999999,0.011667,0.011667,0.0,1.0,7,593,0,120
0.999999,0.015,0.015,0.0,1.0,9,591,0,120
0.999999,0.016667,0.016667,0.0,1.0,10,590,0,120
0.999997,0.018333,0.018333,0.0,1.0,11,589,0,120
0.999997,0.02,0.02,0.0,1.0,12,588,0,120
0.999996,0.021667,0.021667,0.0,1.0,13,587,0,120
0.999996,0.021667,0.021667,0.0,1.0,13,587,0,120
0.999995,0.023333,0.023333,0.0,1.0,14,586,0,120
0.999994,0.025,0.025,0.0,1.0,15,585,0,120
0.999994,0.028333,0.028333,0.0,1.0,17,583,0,120
0.999993,0.03,0.03,0.0,1.0,18,582,0,120
0.999992,0.03,0.03,0.0,1.0,18,582,0,120
0.999991,0.031667,0.031667,0.0,1.0,19,581,0,120
0.999991,0.033333,0.033333,0.0,1.0,20,580,0,120
0.999991,0.035,0.035,0.0,1.0,21,579,0,120
0.99999,0.036667,0.036667,0.0,1.0,22,578,0,120
0.999989,0.038333,0.038333,0.0,1.0,23,577,0,120
0.999989,0.041667,0.041667,0.0,1.0,25,575,0,120
0.999988,0.043333,0.043333,0.0,1.0,26,574,0,120
0.999988,0.043333,0.043333,0.0,1.0,26,574,0,120
0.999987,0.045,0.045,0.0,1.0,27,573,0,120
0.999986,0.046667,0.046667,0.0,1.0,28,572,0,120
0.999986,0.048333,0.048333,0.0,1.0,29,571,0,120
0.999984,0.051667,0.051667,0.0,1.0,31,569,0,120
0.999981,0.051667,0.051667,0.0,1.0,31,569,0,120
0.999981,0.055,0.055,0.0,1.0,33,567,0,120
0.999979,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999978,0.056667,0.056667,0.0,1.0,34,566,0,120
0.999977,0.06,0.06,0.0,1.0,36,564,0,120
0.999976,0.061667,0.061667,0.0,1.0,37,563,0,120
0.999973,0.063333,0.063333,0.0,1.0,38,562,0,120
0.999971,0.065,0.065,0.0,1.0,39,561,0,120
0.999969,0.065,0.065,0.0,1.0,39,561,0,120
0.999969,0.066667,0.066667,0.0,1.0,40,560,0,120
0.999967,0.07,0.07,0.0,1.0,42,558,0,120
0.999966,0.071667,0.071667,0.0,1.0,43,557,0,120
0.999965,0.071667,0.071667,0.0,1.0,43,557,0,120
0.999965,0.073333,0.073333,0.0,1.0,44,556,0,120
0.999962,0.075,0.075,0.0,1.0,45,555,0,120
0.999962,0.078333,0.078333,0.0,1.0,47,553,0,120
0.999958,0.08,0.08,0.0,1.0,48,552,0,120
0.999957,0.081667,0.081667,0.0,1.0,49,551,0,120
0.999949,0.083333,0.083333,0.0,1.0,50,550,0,120
0.999947,0.083333,0.083333,0.0,1.0,50,550,0,120
0.999947,0.085,0.085,0.0,1.0,51,549,0,120
0.999946,0.088333,0.088333,0.0,1.0,53,547,0,120
0.999944,0.088333,0.088333,0.0,1.0,53,547,0,120
0.999944,0.09,0.09,0.0,1.0,54,546,0,120
0.999944,0.093333,0.093333,0.0,1.0,56,544,0,120
0.999941,0.095,0.095,0.0,1.0,57,543,0,120
0.99994,0.096667,0.096667,0.0,1.0,58,542,0,120
0.999933,0.096667,0.096667,0.0,1.0,58,542,0,120
0.999933,0.098333,0.098333,0.0,1.0,59,541,0,120
0.999932,0.101667,0.101667,0.0,1.0,61,539,0,120
0.99993,0.103333,0.103333,0.0,1.0,62,538,0,120
0.999924,0.105,0.105,0.0,1.0,63,537,0,120
0.999923,0.106667,0.106667,0.0,1.0,64,536,0,120
0.999921,0.108333,0.108333,0.0,1.0,65,535,0,120
0.99992,0.108333,0.108333,0.0,1.0,65,535,0,120
0.99992,0.111667,0.111667,0.0,1.0,67,533,0,120
0.999919,0.113333,0.113333,0.0,1.0,68,532,0,120
0.999919,0.113333,0.113333,0.0,1.0,68,532,0,120
0.999917,0.116667,0.116667,0.0,1.0,70,530,0,120
0.999915,0.118333,0.118333,0.0,1.0,71,529,0,120
0.999913,0.12,0.12,0.0,1.0,72,528,0,120
0.999909,0.12,0.12,0.0,1.0,72,528,0,120
0.999904,0.121667,0.121667,0.0,1.0,73,527,0,120
0.999901,0.125,0.125,0.0,1.0,75,525,0,120
0.9999,0.125,0.125,0.0,1.0,75,525,0,120
0.999895,0.126667,0.126667,0.0,1.0,76,524,0,120
0.999887,0.128333,0.128333,0.0,1.0,77,523,0,120
