"record_type","path_or_task","first_seen","last_touched","exists_now","representative_command","task_or_config","status","notes"
"entrypoint","scripts/cls_pretrain.ps1","2026-03-27 12:11:46 +0800","2026-03-28 15:37:44 +0800","true",".\\scripts\\cls_pretrain.ps1 -Config YOLOv11/configs/runtime/cls_source_cls6.json","cls_source_cls6.json","present","source classification pretraining wrapper"
"entrypoint","scripts/cls_finetune_target.ps1","2026-03-27 12:11:46 +0800","2026-03-27 12:11:46 +0800","true",".\\scripts\\cls_finetune_target.ps1 -Config YOLOv11/configs/runtime/cls_target_struct6.json","cls_target_struct6.json","present","target classification fine-tuning wrapper"
"entrypoint","main.py","2026-03-28 15:37:44 +0800","2026-04-08 15:19:32 +0800","true","uv run main.py --task <task>","multiple","present","unified training entrypoint"
"entrypoint","scripts/history/main_pipeline_full_174f329.py","2026-03-29 18:45:30 +0800","2026-03-30 13:29:16 +0800","false","uv run python scripts/history/main_pipeline_full_174f329.py","historical full pipeline","archived","removed from current repo but recoverable from git history"
"entrypoint","main_cls6_sweep.py","2026-03-30 13:03:25 +0800","2026-04-08 11:27:45 +0800","true","uv run main_cls6_sweep.py","cls6_sweep","present","compatibility wrapper for six-class sweep"
"entrypoint","scripts/run_stage1_gate_l_hn.ps1","2026-04-01 11:34:01 +0800","2026-04-01 11:54:15 +0800","true","powershell -ExecutionPolicy Bypass -File scripts\\run_stage1_gate_l_hn.ps1","stage1_gate_l_hn","present","one-click yolo11l HN 2 percent runner"
"entrypoint","scripts/run_stage1_gate_s_hn.ps1","2026-04-01 11:34:01 +0800","2026-04-01 11:54:15 +0800","true","powershell -ExecutionPolicy Bypass -File scripts\\run_stage1_gate_s_hn.ps1","stage1_gate_s_hn","present","one-click yolo11s HN 2 percent runner"
"entrypoint","main_A.py","2026-04-04 19:04:49 +0800","2026-04-08 11:27:45 +0800","true","uv run main_A.py","stage1_formal_gate_capacity","present","formal gate capacity wrapper"
"entrypoint","main_B.py","2026-04-04 19:04:49 +0800","2026-04-08 15:27:58 +0800","true","uv run main_B.py","stage1_formal_gate_hn_ns_all","present","role changed from formal cls6 capacity to machine-b n/s HN launcher"
"entrypoint","main_HN_A.py","2026-04-06 02:31:50 +0800","2026-04-08 11:27:45 +0800","true","uv run main_HN_A.py","stage1_formal_gate_hn_m_sweep","present","formal yolo11m HN sweep wrapper"
"entrypoint","main_HN_B.py","2026-04-06 02:31:50 +0800","2026-04-08 11:27:45 +0800","true","uv run main_HN_B.py","stage1_formal_gate_hn_x_crosscheck","present","formal yolo11x HN cross-check wrapper"
"entrypoint","main_HN.py","2026-04-06 02:34:06 +0800","2026-04-08 11:27:45 +0800","true","uv run main_HN.py","stage1_formal_gate_hn_all","present","combined formal HN wrapper"
"entrypoint","scripts/run_stage1_hn_ns_all.ps1","2026-04-08 15:19:32 +0800","2026-04-08 15:19:32 +0800","true","powershell -ExecutionPolicy Bypass -File scripts\\run_stage1_hn_ns_all.ps1","stage1_formal_gate_hn_ns_all","present","serial launcher for yolo11n and yolo11s full HN sweeps"
"main_task","stage1_formal_gate_info_sampling_lite","2026-04-08 13:20:45 +0800","2026-04-09 11:48:10 +0800","true","uv run main.py --task stage1_formal_gate_info_sampling_lite","stage1_formal_gate_info_sampling_lite.json","present","lite information-sampling task with latest png rebuild manifests on 2026-04-09"
